cluster_id,candidate_uid,champion_rank,grade,proof_status,daily_proxy_pass,representative_expression,source_phase,source_scope,source_lane,field_families,operator_families,retained_by_j2,retained_by_j4_relaxed,new_vs_149_proxy,max_corr_to_149_registry_proxy,median_turnover,p90_turnover,cost_adjusted_score,capacity_proxy,median_amount_20d,limit_hit_rate,suspension_rate,limit_suspension_loss_proxy,raw_pass_count,deployable_count,champion_score,turnover_status,cost_status,capacity_status,feasibility_status,book_filter_status,concentration_status,blocking_issues,warnings,required_missing_tests,audit_decision
s51_cluster_002,phase3k_b_fresh:s51_cluster_002,2,A,DAILY_PROXY_PASS__DEEP_TESTS_PENDING,True,"CSRank(Mul(CSRank(Mul(ZScore(Std($final_float_market_cap,8)),ZScore(Std($final_float_market_cap,21)))),ZScore(Mean(Abs(Delta($close,1)),20))))",Phase3K-B,kb_fresh_g2,formula_gen_v2_repair_expansion,price|size_capital,Abs|CSRank|Delta|Mean|Mul|Std|ZScore,True,True,True,0.761965,0.113772,0.113772,4.157599,41240100.479,1773087422.4,0.021467,0.0,0.021467,1,1,78.487142,PASS,PASS,PASS,PASS,PASS,PASS,,,subperiod_stability|regime_stability|sign_flip_placebo|low_order_ablation,ENTER_DAILY_PROXY_BOOK
cluster_014,phase3j_locked:cluster_014,3,A,DAILY_PROXY_PASS__DEEP_TESTS_PENDING,True,"CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($final_float_market_cap,34))))",Phase3J,phase3j_locked_book,formula_gen_v2_repair_expansion,cap|price,CSRank|Mean|Mul|ZScore,True,True,False,,0.03501,0.041078,2.682759,118236558.781,2447796083.2,0.009236,0.0,0.009236,2,2,77.801143,PASS,PASS,PASS,PASS,PASS,PASS,,,subperiod_stability|regime_stability|sign_flip_placebo|low_order_ablation,ENTER_DAILY_PROXY_BOOK
cluster_008,phase3j_locked:cluster_008,4,A,DAILY_PROXY_PASS__DEEP_TESTS_PENDING,True,"CSRank(Mul(CSRank(Mul(ZScore($final_float_market_cap),ZScore($amount))),ZScore(Mean(Abs(Delta($close,1)),20))))",Phase3J,phase3j_locked_book,formula_gen_v2_repair_expansion,cap|flow|price,Abs|CSRank|Delta|Mean|Mul|ZScore,True,True,False,,0.148589,0.148589,3.494263,46935603.135,2111390753.6,0.018605,0.0,0.018605,1,1,76.098578,PASS,PASS,PASS,PASS,PASS,PASS,,,subperiod_stability|regime_stability|sign_flip_placebo|low_order_ablation,ENTER_DAILY_PROXY_BOOK
s52_cluster_013,phase3k_b_fresh:s52_cluster_013,5,A,DAILY_PROXY_PASS__DEEP_TESTS_PENDING,True,"CSRank(CSResidual(ZScore(Mean(Abs(Delta($open,1)),34)),CSRank($high)))",Phase3K-B,kb_fresh_g2,agnostic_freeform_ast,price,Abs|CSRank|CSResidual|Delta|Mean|ZScore,True,True,True,0.75741,0.069113,0.069113,3.905575,27201787.564,1214148345.6,0.018574,0.0,0.018574,1,1,75.532379,PASS,PASS,PASS,PASS,PASS,PASS,,,subperiod_stability|regime_stability|sign_flip_placebo|low_order_ablation,ENTER_DAILY_PROXY_BOOK
s54_cluster_007,phase3k_b_fresh:s54_cluster_007,6,A,DAILY_PROXY_PASS__DEEP_TESTS_PENDING,True,"CSRank(Mul(CSRank($close),ZScore(Mean(Abs(Delta($close,1)),20))))",Phase3K-B,kb_fresh_g2,formula_gen_v2_repair_expansion,price,Abs|CSRank|Delta|Mean|Mul|ZScore,True,True,False,0.349309,0.098279,0.098279,3.080926,25480245.859,1184123244.8,0.01699,0.0,0.01699,1,1,74.870983,PASS,PASS,PASS,PASS,PASS,PASS,,,subperiod_stability|regime_stability|sign_flip_placebo|low_order_ablation,ENTER_DAILY_PROXY_BOOK
s52_cluster_012,phase3k_b_fresh:s52_cluster_012,7,A,DAILY_PROXY_PASS__DEEP_TESTS_PENDING,True,"CSRank(Mul(ZScore(Mean(Abs($close),8)),ZScore(Mean(Abs($close),2))))",Phase3K-B,kb_fresh_g2,r0_cem_led,price,Abs|CSRank|Mean|Mul|ZScore,True,True,True,0.45254,0.146011,0.146011,2.555187,31496725.0,995730528.0,0.008959,0.0,0.008959,1,1,73.090563,PASS,PASS,PASS,PASS,PASS,PASS,,,subperiod_stability|regime_stability|sign_flip_placebo|low_order_ablation,ENTER_DAILY_PROXY_BOOK
s52_cluster_011,phase3k_b_fresh:s52_cluster_011,8,A,DAILY_PROXY_PASS__DEEP_TESTS_PENDING,True,"CSRank(Mul(ZScore(Mean($close,34)),ZScore(Mean($final_float_market_cap,5))))",Phase3K-B,kb_fresh_g2,r0_cem_led,price|size_capital,CSRank|Mean|Mul|ZScore,True,True,True,0.717528,0.028193,0.028193,2.283187,118609766.952,2439256185.6,0.009236,0.0,0.009236,1,1,71.922162,PASS,PASS,PASS,PASS,PASS,PASS,,,subperiod_stability|regime_stability|sign_flip_placebo|low_order_ablation,ENTER_DAILY_PROXY_BOOK
s53_cluster_005,phase3k_b_fresh:s53_cluster_005,9,A,DAILY_PROXY_PASS__DEEP_TESTS_PENDING,True,"CSRank(Mul(Neg(Neg(CSRank($close))),ZScore(Mean(Abs(Delta($close,1)),20))))",Phase3K-B,kb_fresh_g2,formula_gen_v2_repair_expansion,price,Abs|CSRank|Delta|Mean|Mul|Neg|ZScore,True,True,True,0.581423,0.098279,0.098279,3.080926,25480245.859,1184123244.8,0.01699,0.0,0.01699,1,1,71.819599,PASS,PASS,PASS,PASS,PASS,PASS,,,subperiod_stability|regime_stability|sign_flip_placebo|low_order_ablation,ENTER_DAILY_PROXY_BOOK
cluster_017,phase3j_locked:cluster_017,10,A,DAILY_PROXY_PASS__DEEP_TESTS_PENDING,True,"CSRank(Mul(Sign($vwap),Mul(CSRank($open),CSRank(Mean($amount,8)))))",Phase3J,phase3j_locked_book,agnostic_freeform_ast,flow|price,CSRank|Mean|Mul|Sign,True,True,False,,0.104046,0.125839,2.098815,61115043.581,2530544800.0,0.017839,0.0,0.017839,2,2,71.739812,PASS,PASS,PASS,PASS,PASS,PASS,,,subperiod_stability|regime_stability|sign_flip_placebo|low_order_ablation,ENTER_DAILY_PROXY_BOOK
s53_cluster_001,phase3k_b_fresh:s53_cluster_001,12,A,DAILY_PROXY_PASS__DEEP_TESTS_PENDING,True,"CSRank(Mean($low,34))",Phase3K-B,kb_fresh_g2,agnostic_freeform_ast,price,CSRank|Mean,True,True,False,0.99562,0.052267,0.052267,3.835719,32905658.172,996631756.8,0.00903,0.0,0.00903,3,3,71.636592,PASS,PASS,PASS,PASS,PASS,PASS,,,subperiod_stability|regime_stability|sign_flip_placebo|low_order_ablation,ENTER_DAILY_PROXY_BOOK
