book,cluster_count,grade_a_count,new_vs_149_proxy_count,median_turnover,p90_turnover,median_capacity_proxy,mean_cost_adjusted_score,limit_suspension_loss_proxy,raw_pass_total,max_raw_share,source_lane_top_share,top_source_lane,field_family_top_share,top_field_family,clusters
L0_grade_a_daily_proxy,14,14,6,0.098279,0.145158,29349256.282,3.171705,0.016416,24,0.166667,0.5,formula_gen_v2_repair_expansion,0.583333,price,cluster_018|s51_cluster_002|cluster_014|cluster_008|s52_cluster_013|s54_cluster_007|s52_cluster_012|s52_cluster_011|s53_cluster_005|cluster_017|s53_cluster_001|s53_cluster_002|cluster_031|s54_cluster_002
L1_grade_a_low_turnover_capacity,14,14,6,0.098279,0.145158,29349256.282,3.171705,0.016416,24,0.166667,0.5,formula_gen_v2_repair_expansion,0.583333,price,cluster_018|s51_cluster_002|cluster_014|cluster_008|s52_cluster_013|s54_cluster_007|s52_cluster_012|s52_cluster_011|s53_cluster_005|cluster_017|s53_cluster_001|s53_cluster_002|cluster_031|s54_cluster_002
L2_grade_a_diversified,12,12,6,0.100838,0.145727,32201191.586,3.119236,0.015721,16,0.1875,0.5,formula_gen_v2_repair_expansion,0.6,price,s51_cluster_002|cluster_014|cluster_008|s52_cluster_013|s54_cluster_007|s52_cluster_012|s52_cluster_011|s53_cluster_005|cluster_017|s53_cluster_001|s53_cluster_002|cluster_031
