scope,vector_cluster_id,member_count,top_replay_cluster,top_replay_cluster_count,purity
phase3e,vec_001,36,cluster_015,14,0.388889
phase3e,vec_002,9,not_clustered_non_metric,9,1.0
phase3e,vec_003,25,cluster_033,25,1.0
phase3e,vec_004,12,cluster_162,8,0.666667
phase3e,vec_005,15,not_clustered_non_metric,13,0.866667
phase3e,vec_006,287,cluster_001,282,0.982578
phase3e,vec_007,10,not_clustered_non_metric,8,0.8
phase3e,vec_008,1,cluster_077,1,1.0
phase3e,vec_009,6,not_clustered_non_metric,6,1.0
phase3e,vec_010,8,cluster_158,8,1.0
phase3e,vec_011,13,not_clustered_non_metric,9,0.692308
phase3e,vec_012,31,not_clustered_non_metric,31,1.0
phase3e,vec_013,1,not_clustered_non_metric,1,1.0
phase3e,vec_014,30,not_clustered_non_metric,22,0.733333
phase3e,vec_015,3,not_clustered_non_metric,2,0.666667
phase3e,vec_016,3,not_clustered_non_metric,3,1.0
phase3e,vec_017,8,not_clustered_non_metric,7,0.875
phase3e,vec_018,6,cluster_088,3,0.5
phase3e,vec_019,1,not_clustered_non_metric,1,1.0
phase3e,vec_020,9,cluster_002,9,1.0
phase3e,vec_021,12,cluster_005,12,1.0
phase3e,vec_022,26,cluster_006,23,0.884615
phase3e,vec_023,6,cluster_056,6,1.0
phase3e,vec_024,9,cluster_063,9,1.0
phase3e,vec_025,1,not_clustered_non_metric,1,1.0
phase3e,vec_026,1,not_clustered_non_metric,1,1.0
phase3e,vec_027,2,not_clustered_non_metric,2,1.0
phase3e,vec_028,1,not_clustered_non_metric,1,1.0
phase3e,vec_029,1,not_clustered_non_metric,1,1.0
phase3e,vec_030,1,not_clustered_non_metric,1,1.0
phase3e,vec_031,3,cluster_019,2,0.666667
phase3e,vec_032,3,cluster_097,2,0.666667
phase3e,vec_033,1,not_clustered_non_metric,1,1.0
phase3e,vec_034,1,not_clustered_non_metric,1,1.0
phase3e,vec_035,2,not_clustered_non_metric,2,1.0
phase3e,vec_036,28,cluster_045,28,1.0
phase3e,vec_037,3,not_clustered_non_metric,3,1.0
phase3e,vec_038,7,not_clustered_non_metric,7,1.0
phase3e,vec_039,29,cluster_010,26,0.896552
phase3e,vec_040,1,not_clustered_non_metric,1,1.0
phase3e,vec_041,28,cluster_009,17,0.607143
phase3e,vec_042,4,cluster_018,3,0.75
phase3e,vec_043,18,cluster_019,13,0.722222
phase3e,vec_044,1,cluster_026,1,1.0
phase3e,vec_045,15,not_clustered_non_metric,14,0.933333
phase3e,vec_046,6,cluster_032,3,0.5
phase3e,vec_047,2,cluster_057,1,0.5
phase3e,vec_048,7,cluster_047,7,1.0
phase3e,vec_049,4,not_clustered_non_metric,4,1.0
phase3e,vec_050,11,not_clustered_non_metric,9,0.818182
phase3e,vec_051,6,not_clustered_non_metric,6,1.0
phase3e,vec_052,1,cluster_089,1,1.0
phase3e,vec_053,11,cluster_012,11,1.0
phase3e,vec_054,1,cluster_034,1,1.0
phase3e,vec_055,35,not_clustered_non_metric,30,0.857143
phase3e,vec_056,28,not_clustered_non_metric,28,1.0
phase3e,vec_057,9,not_clustered_non_metric,9,1.0
phase3e,vec_058,5,not_clustered_non_metric,3,0.6
phase3e,vec_059,3,not_clustered_non_metric,1,0.333333
phase3e,vec_060,1,not_clustered_non_metric,1,1.0
phase3e,vec_061,12,not_clustered_non_metric,8,0.666667
phase3e,vec_062,21,cluster_079,13,0.619048
phase3e,vec_063,3,cluster_064,2,0.666667
phase3e,vec_064,2,cluster_084,2,1.0
phase3e,vec_065,6,not_clustered_non_metric,6,1.0
phase3e,vec_066,8,cluster_082,4,0.5
phase3e,vec_067,1,not_clustered_non_metric,1,1.0
phase3e,vec_068,4,cluster_014,4,1.0
phase3e,vec_069,1,not_clustered_non_metric,1,1.0
phase3e,vec_070,1,cluster_004,1,1.0
phase3e,vec_071,2,cluster_013,1,0.5
phase3e,vec_072,1,cluster_001,1,1.0
phase3e,vec_073,2,cluster_028,2,1.0
phase3e,vec_074,8,cluster_029,7,0.875
phase3e,vec_075,1,cluster_042,1,1.0
phase3e,vec_076,7,not_clustered_non_metric,6,0.857143
phase3e,vec_077,1,not_clustered_non_metric,1,1.0
phase3e,vec_078,18,cluster_007,17,0.944444
phase3e,vec_079,5,not_clustered_non_metric,2,0.4
phase3e,vec_080,9,not_clustered_non_metric,9,1.0
phase3e,vec_081,1,not_clustered_non_metric,1,1.0
phase3e,vec_082,1,not_clustered_non_metric,1,1.0
phase3e,vec_083,4,cluster_027,4,1.0
phase3e,vec_084,1,not_clustered_non_metric,1,1.0
phase3e,vec_085,3,not_clustered_non_metric,3,1.0
phase3e,vec_086,1,cluster_081,1,1.0
phase3e,vec_087,3,not_clustered_non_metric,3,1.0
phase3e,vec_088,4,not_clustered_non_metric,4,1.0
phase3e,vec_089,1,not_clustered_non_metric,1,1.0
phase3e,vec_090,2,not_clustered_non_metric,2,1.0
