declared_cluster_id,source_global_signal_cluster_id,candidate_id,source_arm,source_seed,source_lane,strict_mean_one_way_turnover,representative_expression
cluster_135,cluster_004,agnostic-freeform-806d5235bba6,Phase3H_H0_G0_stable,s33_h0,agnostic_freeform_ast,0.342091,"CSRank(Sub(CSRank(Mom($vwap,34)),ZScore(Std($volume,3))))"
cluster_136,cluster_015,fgv2-repair-add_state_gate-8c5791d8cd,Phase3H_H0_G0_stable,s34_h0,formula_gen_v2_repair_expansion,0.356734,"CSRank(Mul(CSRank(Mul(ZScore(Delta($close,5)),ZScore(Delta($close,5)))),ZScore(Mean(Abs(Delta($close,1)),20))))"
cluster_137,cluster_018,agnostic-freeform-3012000864f6,Phase3H_H1_G2_signal_vector_control,s35_h1,agnostic_freeform_ast,0.232384,"CSRank(Add(ZScore(Mean($vwap,34)),CSRank(Delta($volume,8))))"
cluster_138,cluster_019,agnostic-freeform-1ee07626df7e,Phase3H_H1_G2_signal_vector_control,s36_h1,agnostic_freeform_ast,0.625144,"CSRank(CSResidual(Sign(Delta($low,21)),ZScore(Delta($low,2))))"
cluster_139,cluster_020,agnostic-freeform-e4ab618059c8,Phase3H_H1_G2_signal_vector_control,s36_h1,agnostic_freeform_ast,0.391989,"CSRank(Mul(ZScore(Mean(Abs(Delta($vwap,1)),13)),Corr(Delta($amount,21),Delay($close,1),5)))"
cluster_140,cluster_021,agnostic-freeform-7ec86bf35fbd,Phase3H_H1_G2_signal_vector_control,s36_h1,agnostic_freeform_ast,0.127749,"CSRank(Mul(CSRank(Std($final_total_market_cap,13)),Mul(CSRank($final_total_market_cap),ZScore(Std($final_total_market_cap,21)))))"
cluster_141,cluster_025,agnostic-freeform-96b7cdc28100,Phase3H_H1_G2_signal_vector_control,s34_h1,agnostic_freeform_ast,0.111955,"CSRank(Add(ZScore(Mean($close,34)),CSRank(Delta($final_total_market_cap,21))))"
cluster_142,cluster_026,agnostic-freeform-a89759d3657a,Phase3H_H0_G0_stable,s33_h0,agnostic_freeform_ast,0.10336,"CSRank(Mul(ZScore(Mean(Abs(Delta($high,1)),13)),Mul(ZScore($vwap),CSRank(Mean($vwap,8)))))"
cluster_143,cluster_028,agnostic-freeform-16b6c661391f,Phase3H_H0_G0_stable,s36_h0,replay_aware_residual,0.154218,"CSRank(CSResidual(ZScore(Delta($low,34)),ZScore(Mean($turnover_rate,3))))"
cluster_144,cluster_034,agnostic-freeform-e372c7319500,Phase3H_H0_G0_stable,s36_h0,agnostic_freeform_ast,0.376419,"CSRank(Mul(CSRank($open),CSRank(Delta($high,2))))"
cluster_145,cluster_038,agnostic-freeform-c22dd26ab358,Phase3H_H0_G0_stable,s35_h0,replay_aware_residual,0.412346,"CSRank(Mul(ZScore(Mean($vwap,13)),Corr(Mom($high,21),$volume,5)))"
cluster_146,cluster_039,phase3repair-failure_detail-duplicate_escape-066245d90aa4,Phase3H_H0_G0_stable,s34_h0,ast_failure_aware_repair,0.162536,"CSRank(Mul(ZScore(Mean($final_total_market_cap,34)),ZScore(Delta($final_total_market_cap,17))))"
cluster_147,cluster_045,stockpit-cem_adaptive_grammar-ba2754d1bf17,Phase3H_H0_G0_stable,s33_h0,r0_cem_led,0.081663,"CSRank(CSResidual(CSRank(Mean(Abs($volume),5)),CSRank(Mean(Abs($close),21))))"
cluster_148,cluster_046,stockpit-cem_adaptive_grammar-5d96a5aa6e5c,Phase3H_H0_G0_stable,s34_h0,r0_cem_led,0.61568,"CSRank(CSResidual(CSRank(Mom($close,8)),CSRank(Mom($final_float_market_cap,8))))"
cluster_149,cluster_049,agnostic-freeform-1dcf28148787,Phase3H_H1_G2_signal_vector_control,s36_h1,agnostic_freeform_ast,0.255658,"CSRank(CSResidual(ZScore(Delta($vwap,13)),CSRank(Delta($low,3))))"
