profile,status,book_version,data_date,gate_active,active_or_cash,selected_universe_count,signal_row_count,position_count,pnl_status,realized_shadow_return_proxy,no_gate_counterfactual_return_proxy,gate_off_missed_return_proxy
x0_official6_r3_liquidity_low,formal_candidate_shadow,phase3p_x0_official6_r3_v1,2026-05-08,False,cash,5490,0,0,pending_next_trade_date,,,
x4_plus003_minus002_r3_liquidity_low,research_candidate_shadow_diagnostic,phase3p_x4_plus003_minus002_r3_v1,2026-05-08,False,cash,5490,0,0,pending_next_trade_date,,,
