factor_lane,count,best_abs_aligned_ic,followup_count,future_wrong_lag_count
rx_interaction::rx_range_location::rx_opening_amount::spread,3,0.2430968985,0,3
rx_interaction::rx_range_location::rx_opening_amount::product,9,0.2287750707,0,9
rx_interaction::rx_range_location::rx_flow_amount_volume::spread,3,0.2214346423,0,3
rx_interaction::rx_intraday_return::rx_opening_amount::spread,6,0.2020045099,0,6
cem_interaction::rx_range_location::rx_opening_amount::spread,2,0.1987508233,0,2
cem_interaction::rx_range_location::rx_flow_amount_volume::spread,1,0.1909399731,0,1
rx_interaction::rx_intraday_return::rx_opening_amount::product,5,0.1899159722,0,5
cem_interaction::rx_range_location::rx_opening_amount::signed_state,2,0.1463187248,0,2
cem_resample::rx_intraday_return::rx_flow_amount_volume::elite_spread_mean3,2,0.1446927689,0,2
rx_interaction::rx_intraday_return::rx_flow_amount_volume::spread,13,0.126364533,0,3
cem_interaction::rx_intraday_return::rx_opening_amount::signed_state,6,0.116913007,1,4
rx_interaction::rx_intraday_return::rx_range_location::spread,6,0.1095992504,0,4
rx_interaction::rx_intraday_return::rx_volatility_state::spread,4,0.08317362152,0,2
rx_interaction::rx_range_location::rx_range_location::product,8,0.07652022554,0,0
cem_interaction::rx_range_location::rx_range_location::signed_state,5,0.06095242365,0,0
cem_interaction::rx_opening_amount::rx_range_location::signed_state,2,0.04604440229,0,0
rx_range_location::inverted,3,0.04403896325,0,1
rx_range_location::rank,1,0.04403896325,0,1
rx_interaction::rx_intraday_return::rx_range_location::product,3,0.03599850884,0,2
rx_interaction::rx_range_location::rx_volatility_state::product,4,0.03542083176,0,0
rx_interaction::rx_opening_divergence::rx_volatility_state::spread,7,0.03120008373,0,1
rx_interaction::rx_opening_range::rx_volatility_state::spread,3,0.02970246269,0,0
rx_interaction::rx_opening_divergence::rx_range_location::spread,4,0.029495765,0,0
cem_interaction::rx_opening_divergence::rx_volatility_state::spread,1,0.02519724606,0,0
cem_interaction::rx_intraday_return::rx_range_location::signed_state,1,0.02465653885,0,1
rx_interaction::rx_intraday_return::rx_flow_amount_volume::product,1,0.02411926598,0,0
rx_interaction::rx_opening_range::rx_volatility_state::product,1,0.02399175697,0,1
rx_interaction::rx_opening_range::rx_range_location::product,1,0.02380579761,0,1
cem_interaction::rx_range_location::rx_volatility_state::signed_state,1,0.02322597623,0,0
rx_interaction::rx_intraday_return::rx_volatility_state::product,3,0.02303790241,0,0
cem_resample::rx_intraday_return::rx_flow_amount_volume::elite_delta_product,1,0.0215526445,0,1
