candidate_uid,cluster_id,source_scope,source_phase,representative_expression,canonical_expression,representative_candidate_id,source_lane,field_families,operator_families,retained_by_j2,retained_by_j4_relaxed,new_vs_149_proxy,known_vs_149_reason,max_corr_to_149_registry_proxy,p90_turnover,median_turnover,cost_adjusted_score,capacity_proxy,median_amount_20d,limit_hit_rate,suspension_rate,raw_pass_count,deployable_count,champion_score,grade,discovery_strength_component,book_readiness_component,cost_proxy_component,turnover_component,capacity_component,novelty_corr_component,feasibility_component,penalties,proof_gaps,champion_decision,merged_duplicate_candidate_uids,duplicate_candidate_count,champion_rank,legacy_cluster_id
phase3j_locked:cluster_018,cluster_018,phase3j_locked_book,Phase3J,"CSRank(Mul(CSRank(CSResidual(CSRank($close),CSRank($volume))),ZScore(Mean(Abs(Delta($close,1)),20))))","CSRank(Mul(CSRank(CSResidual(CSRank($close),CSRank($volume))),ZScore(Mean(Abs(Delta($close,1)),20))))",fgv2-repair-add_state_gate-83cdcc1ba7,formula_gen_v2_repair_expansion,flow|price,Abs|CSRank|CSResidual|Delta|Mean|Mul|ZScore,True,True,False,existing_locked_phase3j_book,,0.128412,0.090804,3.209146,26582522.4,1291399550.4,0.017169,0.0,4,4,79.167244,A,0.803006,1.0,0.641829,1.0,0.557732,0.55,0.856925,,subperiod_stability_not_yet_audited|sign_flip_placebo_not_yet_audited|low_order_ablation_not_yet_audited,ENTER_PHASE3L_C_DEEP_AUDIT,phase3j_locked:cluster_018,1,1,
phase3k_b_fresh:s51_cluster_002,s51_cluster_002,kb_fresh_g2,Phase3K-B,"CSRank(Mul(CSRank(Mul(ZScore(Std($final_float_market_cap,8)),ZScore(Std($final_float_market_cap,21)))),ZScore(Mean(Abs(Delta($close,1)),20))))","CSRank(Mul(CSRank(Mul(ZScore(Std($final_float_market_cap,8)),ZScore(Std($final_float_market_cap,21)))),ZScore(Mean(Abs(Delta($close,1)),20))))",fgv2-repair-add_state_gate-3e256047af,formula_gen_v2_repair_expansion,price|size_capital,Abs|CSRank|Delta|Mean|Mul|Std|ZScore,True,True,True,,0.761965,0.113772,0.113772,4.157599,41240100.479346,1773087422.4,0.021467,0.0,1,1,78.487142,A,0.590669,1.0,0.83152,1.0,0.704326,0.438035,0.821108,,subperiod_stability_not_yet_audited|sign_flip_placebo_not_yet_audited|low_order_ablation_not_yet_audited,ENTER_PHASE3L_C_DEEP_AUDIT,phase3k_b_fresh:s51_cluster_002,1,2,
phase3j_locked:cluster_014,cluster_014,phase3j_locked_book,Phase3J,"CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($final_float_market_cap,34))))","CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($final_float_market_cap,34))))",stockpit-cem_adaptive_grammar-b7428c35f0d0,formula_gen_v2_repair_expansion,cap|price,CSRank|Mean|Mul|ZScore,True,True,False,existing_locked_phase3j_book,,0.041078,0.03501,2.682759,118236558.78125,2447796083.2,0.009236,0.0,2,2,77.801143,A,0.56177,1.0,0.536552,1.0,1.0,0.55,0.923033,,subperiod_stability_not_yet_audited|sign_flip_placebo_not_yet_audited|low_order_ablation_not_yet_audited,ENTER_PHASE3L_C_DEEP_AUDIT,phase3j_locked:cluster_014,1,3,
phase3j_locked:cluster_008,cluster_008,phase3j_locked_book,Phase3J,"CSRank(Mul(CSRank(Mul(ZScore($final_float_market_cap),ZScore($amount))),ZScore(Mean(Abs(Delta($close,1)),20))))","CSRank(Mul(CSRank(Mul(ZScore($final_float_market_cap),ZScore($amount))),ZScore(Mean(Abs(Delta($close,1)),20))))",fgv2-repair-add_state_gate-424025168b,formula_gen_v2_repair_expansion,cap|flow|price,Abs|CSRank|Delta|Mean|Mul|ZScore,True,True,False,existing_locked_phase3j_book,,0.148589,0.148589,3.494263,46935603.134766,2111390753.6,0.018605,0.0,1,1,76.098578,A,0.517702,1.0,0.698853,1.0,0.74751,0.55,0.844958,,subperiod_stability_not_yet_audited|sign_flip_placebo_not_yet_audited|low_order_ablation_not_yet_audited,ENTER_PHASE3L_C_DEEP_AUDIT,phase3j_locked:cluster_008,1,4,
phase3k_b_fresh:s52_cluster_013,s52_cluster_013,kb_fresh_g2,Phase3K-B,"CSRank(CSResidual(ZScore(Mean(Abs(Delta($open,1)),34)),CSRank($high)))","CSRank(CSResidual(ZScore(Mean(Abs(Delta($open,1)),34)),CSRank($high)))",agnostic-freeform-fba56bd17cd8,agnostic_freeform_ast,price,Abs|CSRank|CSResidual|Delta|Mean|ZScore,True,True,True,,0.75741,0.069113,0.069113,3.905575,27201787.563672,1214148345.6,0.018574,0.0,1,1,75.532379,A,0.562947,1.0,0.781115,1.0,0.565419,0.44259,0.845217,,subperiod_stability_not_yet_audited|sign_flip_placebo_not_yet_audited|low_order_ablation_not_yet_audited,ENTER_PHASE3L_C_DEEP_AUDIT,phase3k_b_fresh:s52_cluster_013,1,5,
phase3k_b_fresh:s54_cluster_007,s54_cluster_007,kb_fresh_g2,Phase3K-B,"CSRank(Mul(CSRank($close),ZScore(Mean(Abs(Delta($close,1)),20))))","CSRank(Mul(CSRank($close),ZScore(Mean(Abs(Delta($close,1)),20))))",fgv2-repair-add_state_gate-68d2626882,formula_gen_v2_repair_expansion,price,Abs|CSRank|Delta|Mean|Mul|ZScore,True,True,False,exact_expression_match,0.349309,0.098279,0.098279,3.080926,25480245.859375,1184123244.8,0.01699,0.0,1,1,74.870983,A,0.472235,1.0,0.616185,1.0,0.543595,1.0,0.858417,,subperiod_stability_not_yet_audited|sign_flip_placebo_not_yet_audited|low_order_ablation_not_yet_audited,ENTER_PHASE3L_C_DEEP_AUDIT,phase3k_b_fresh:s52_cluster_009|phase3k_b_fresh:s54_cluster_007|registry149:registry_062,3,6,
phase3k_b_fresh:s52_cluster_012,s52_cluster_012,kb_fresh_g2,Phase3K-B,"CSRank(Mul(ZScore(Mean(Abs($close),8)),ZScore(Mean(Abs($close),2))))","CSRank(Mul(ZScore(Mean(Abs($close),8)),ZScore(Mean(Abs($close),2))))",stockpit-cem_adaptive_grammar-5f048933181f,r0_cem_led,price,Abs|CSRank|Mean|Mul|ZScore,True,True,True,,0.45254,0.146011,0.146011,2.555187,31496725.0,995730528.0,0.008959,0.0,1,1,73.090563,A,0.414404,1.0,0.511037,1.0,0.614356,1.0,0.925342,,subperiod_stability_not_yet_audited|sign_flip_placebo_not_yet_audited|low_order_ablation_not_yet_audited,ENTER_PHASE3L_C_DEEP_AUDIT,phase3k_b_fresh:s52_cluster_012,1,7,
phase3k_b_fresh:s52_cluster_011,s52_cluster_011,kb_fresh_g2,Phase3K-B,"CSRank(Mul(ZScore(Mean($close,34)),ZScore(Mean($final_float_market_cap,5))))","CSRank(Mul(ZScore(Mean($close,34)),ZScore(Mean($final_float_market_cap,5))))",stockpit-cem_adaptive_grammar-88b6b63c5f2f,r0_cem_led,price|size_capital,CSRank|Mean|Mul|ZScore,True,True,True,,0.717528,0.028193,0.028193,2.283187,118609766.951953,2439256185.6,0.009236,0.0,1,1,71.922162,A,0.384484,1.0,0.456637,1.0,1.0,0.482472,0.923033,,subperiod_stability_not_yet_audited|sign_flip_placebo_not_yet_audited|low_order_ablation_not_yet_audited,ENTER_PHASE3L_C_DEEP_AUDIT,phase3k_b_fresh:s52_cluster_011,1,8,
phase3k_b_fresh:s53_cluster_005,s53_cluster_005,kb_fresh_g2,Phase3K-B,"CSRank(Mul(Neg(Neg(CSRank($close))),ZScore(Mean(Abs(Delta($close,1)),20))))","CSRank(Mul(Neg(Neg(CSRank($close))),ZScore(Mean(Abs(Delta($close,1)),20))))",fgv2-repair-add_state_gate-7a09229418,formula_gen_v2_repair_expansion,price,Abs|CSRank|Delta|Mean|Mul|Neg|ZScore,True,True,True,,0.581423,0.098279,0.098279,3.080926,25480245.859375,1184123244.8,0.01699,0.0,1,1,71.819599,A,0.472235,1.0,0.616185,1.0,0.543595,0.618577,0.858417,,subperiod_stability_not_yet_audited|sign_flip_placebo_not_yet_audited|low_order_ablation_not_yet_audited,ENTER_PHASE3L_C_DEEP_AUDIT,phase3k_b_fresh:s51_cluster_007|phase3k_b_fresh:s53_cluster_005,2,9,
phase3j_locked:cluster_017,cluster_017,phase3j_locked_book,Phase3J,"CSRank(Mul(Sign($vwap),Mul(CSRank($open),CSRank(Mean($amount,8)))))","CSRank(Mul(Sign($vwap),Mul(CSRank($open),CSRank(Mean($amount,8)))))",agnostic-freeform-cd2b2335578f,agnostic_freeform_ast,flow|price,CSRank|Mean|Mul|Sign,True,True,False,existing_locked_phase3j_book,,0.125839,0.104046,2.098815,61115043.58125,2530544800.0,0.017839,0.0,2,2,71.739812,A,0.497536,1.0,0.419763,1.0,0.835629,0.55,0.851342,,subperiod_stability_not_yet_audited|sign_flip_placebo_not_yet_audited|low_order_ablation_not_yet_audited,ENTER_PHASE3L_C_DEEP_AUDIT,phase3j_locked:cluster_017,1,10,
