field,count,integration_lane,preserve
ctx_fund_ps_operate_profit_margin,61,lagged_fundamental_context_sidecar,True
ctx_fund_ps_netprofit_margin,61,lagged_fundamental_context_sidecar,True
ctx_fund_ps_research_to_income,61,lagged_fundamental_context_sidecar,True
ctx_fund_bs_cash_to_assets,61,lagged_fundamental_context_sidecar,True
final_float_market_cap,38,lagged_cap_float_share_sidecar,True
daily_ret,32,blocked_legacy_daily_ret_requires_explicit_lagged_daily_context,True
evt_limit_fengdan_money_last_by_0930,14,event_state_observable_time_adapter,True
evt_limit_fengdan_money_last_by_0935,14,event_state_observable_time_adapter,True
evt_limit_fengdan_money_last_by_1000,14,event_state_observable_time_adapter,True
evt_limit_fengdan_money_last_by_1130,14,event_state_observable_time_adapter,True
ctx_holder_change_shares,13,lagged_holder_context_sidecar,True
ctx_billboard_free_market_cap,13,lagged_billboard_context_sidecar,True
float_share,12,lagged_cap_float_share_sidecar,True
final_total_market_cap,12,lagged_cap_float_share_sidecar,True
ctx_billboard_accum_amount,12,lagged_billboard_context_sidecar,True
ctx_billboard_deal_amount_ratio,12,lagged_billboard_context_sidecar,True
ctx_fulla_ps_total_operate_income,11,lagged_fundamental_context_sidecar,True
ctx_rzrq_rzyezb,10,lagged_rzrq_context_sidecar,True
ctx_billboard_billboard_net_amt,10,lagged_billboard_context_sidecar,True
ctx_billboard_net_bs_amt,10,lagged_billboard_context_sidecar,True
ctx_billboard_turnoverrate,10,lagged_billboard_context_sidecar,True
ctx_rzrq_spj,10,lagged_rzrq_context_sidecar,True
ctx_rzrq_zdf,10,lagged_rzrq_context_sidecar,True
ctx_billboard_billboard_buy_amt,10,lagged_billboard_context_sidecar,True
ctx_billboard_billboard_deal_amt,10,lagged_billboard_context_sidecar,True
ctx_billboard_billboard_sell_amt,10,lagged_billboard_context_sidecar,True
ctx_billboard_buy_ratio,10,lagged_billboard_context_sidecar,True
ctx_billboard_deal_net_ratio,10,lagged_billboard_context_sidecar,True
ctx_billboard_sell_ratio,10,lagged_billboard_context_sidecar,True
ctx_billboard_sum_buy_amt,10,lagged_billboard_context_sidecar,True
ctx_billboard_sum_sell_amt,10,lagged_billboard_context_sidecar,True
ctx_fulla_bs_total_assets,9,lagged_fundamental_context_sidecar,True
ctx_sent_uplimit_num,9,lagged_sentiment_market_context_sidecar,True
ctx_sent_downlimit_num,8,lagged_sentiment_market_context_sidecar,True
evt_uplimit_fd_close,8,event_state_observable_time_adapter,True
evt_uplimit_fd_max,8,event_state_observable_time_adapter,True
evt_limit_fengdan_rate_last_by_0930,8,event_state_observable_time_adapter,True
