arm,signal_cluster_id,candidate_count,cluster_budget_share,strict_pass_count,cluster_replay_contribution_count,cluster_replay_pass_rate,representative_expression,representative_fields,field_families,true_candidate_id,pair_role,input_fields,input_field_families,min_input_field_coverage,min_input_field_nonnull_rows
paired_true_ae2,cluster_008,7,0.225806,0,0,0.0,CSRank($evt_limit_fengdan_rate_last_by_1130),evt_limit_fengdan_rate_last_by_1130,event_limit_membership,phase3aa_event_0025_phase3ae_brepair_v1_00025,true,evt_limit_fengdan_rate_last_by_1130,event_limit_membership,0.007883,7788
paired_true_ae2,cluster_001,1,0.032258,0,0,0.0,CSRank($ctx_rzrq_zdf),ctx_rzrq_zdf,rzrq_leverage_flow,phase3aa_event_0163_phase3ae_brepair_v1_00241,true,ctx_rzrq_zdf,rzrq_leverage_flow,0.583795,576792
paired_true_ae2,cluster_002,1,0.032258,1,1,1.0,CSRank($ctx_billboard_net_bs_amt),ctx_billboard_net_bs_amt,billboard_flow,phase3aa_event_0121_phase3ae_brepair_v1_00199,true,ctx_billboard_net_bs_amt,billboard_flow,0.661305,653373
paired_true_ae2,cluster_003,1,0.032258,0,0,0.0,"CSRank(Mean($ctx_rzrq_zdf,3))",ctx_rzrq_zdf,rzrq_leverage_flow,phase3aa_event_0167_phase3ae_brepair_v1_00245,true,ctx_rzrq_zdf,rzrq_leverage_flow,0.583795,576792
paired_true_ae2,cluster_004,1,0.032258,0,0,0.0,"CSRank(Delta($ctx_rzrq_zdf,3))",ctx_rzrq_zdf,rzrq_leverage_flow,phase3aa_event_0168_phase3ae_brepair_v1_00246,true,ctx_rzrq_zdf,rzrq_leverage_flow,0.583795,576792
paired_true_ae2,cluster_005,1,0.032258,0,0,0.0,"CSRank(Delta($ctx_rzrq_zdf,5))",ctx_rzrq_zdf,rzrq_leverage_flow,phase3aa_event_0170_phase3ae_brepair_v1_00248,true,ctx_rzrq_zdf,rzrq_leverage_flow,0.583795,576792
paired_true_ae2,cluster_006,1,0.032258,0,1,1.0,"CSRank(Delta($ctx_rzrq_spj,5))",ctx_rzrq_spj,rzrq_leverage_flow,phase3aa_event_0160_phase3ae_brepair_v1_00238,true,ctx_rzrq_spj,rzrq_leverage_flow,0.595936,588788
paired_true_ae2,cluster_007,1,0.032258,0,0,0.0,"CSRank(Delta($ctx_rzrq_zdf,10))",ctx_rzrq_zdf,rzrq_leverage_flow,phase3aa_event_0172_phase3ae_brepair_v1_00250,true,ctx_rzrq_zdf,rzrq_leverage_flow,0.583795,576792
paired_true_ae2,cluster_009,1,0.032258,0,0,0.0,CSRank($evt_limit_fengdan_rate_last_by_0930),evt_limit_fengdan_rate_last_by_0930,event_limit_membership,phase3aa_event_0001_phase3ae_brepair_v1_00001,true,evt_limit_fengdan_rate_last_by_0930,event_limit_membership,0.000883,872
paired_true_ae2,cluster_010,1,0.032258,0,1,1.0,CSRank(ZScore($ctx_billboard_turnoverrate)),ctx_billboard_turnoverrate,billboard_flow,phase3aa_event_0134_phase3ae_brepair_v1_00212,true,ctx_billboard_turnoverrate,billboard_flow,0.661305,653373
paired_true_ae2,cluster_011,1,0.032258,0,0,0.0,"CSRank(Delta($ctx_billboard_turnoverrate,5))",ctx_billboard_turnoverrate,billboard_flow,phase3aa_event_0138_phase3ae_brepair_v1_00216,true,ctx_billboard_turnoverrate,billboard_flow,0.661305,653373
