file,line,patterns,text
src\our_system_phase2\runtime\cn_build_augmented_signal_panel.py,15,phase2_stock_tdx_official;tdx_official,"DEFAULT_MATURE_PANEL = Path(""G:/Project_V7_Rotation/scripts/data/phase2_stock_tdx_official_20250806_to_20260508_maxopt.parquet"")"
src\our_system_phase2\runtime\cn_build_augmented_signal_panel.py,19,phase2_stock_tdx_official;tdx_official,"""runtime/datasets/phase2_stock_tdx_official_20250806_to_20260508_cn_event_augmented_v1_20260531.parquet"""
src\our_system_phase2\runtime\cn_build_research_signal_panel_v2.py,15,phase2_stock_tdx_official;tdx_official,"""runtime/datasets/phase2_stock_tdx_official_20250806_to_20260508_cn_event_augmented_v1_20260531.parquet"""
src\our_system_phase2\runtime\cn_build_research_signal_panel_v2.py,20,phase2_stock_tdx_official;tdx_official,"""runtime/datasets/phase2_stock_tdx_official_20250806_to_20260508_cn_event_fundamental_augmented_v2_20260531.parquet"""
src\our_system_phase2\runtime\cn_controlled_data_smoke.py,48,stock_1min,"""stock_1min_2026_manifest"","
src\our_system_phase2\runtime\cn_controlled_data_smoke.py,49,stock_1min,"LOCAL_MINUTE_DAILY_ROOT / ""stock_1min_2026_manifest.csv"","
src\our_system_phase2\runtime\cn_controlled_data_smoke.py,59,stock_1min,"""stock_1min_2026_sample_partition"","
src\our_system_phase2\runtime\cn_controlled_data_smoke.py,60,stock_1min,"LOCAL_MINUTE_DAILY_ROOT / ""stock_1min_2026_parquet_by_date/date=20260105.parquet"","
src\our_system_phase2\runtime\cn_controlled_data_smoke.py,254,stock_1min,"if spec.table_id == ""stock_1min_2026_manifest"":"
src\our_system_phase2\runtime\cn_factor_pack_shared_pool_preflight.py,19,phase2_stock_tdx_official;tdx_official,"DEFAULT_MATURE_PANEL = Path(""G:/Project_V7_Rotation/scripts/data/phase2_stock_tdx_official_20250806_to_20260508_maxopt.parquet"")"
src\our_system_phase2\runtime\cn_field_integration_completeness_audit_v1.py,31,phase2_stock_tdx_official;tdx_official,"Path(r""G:\Project_V7_Rotation\data\company_phase2_panels\phase2_stock_tdx_official_20250806_to_20260410_cn_integrated_v2_all_fields_local.parquet""),"
src\our_system_phase2\runtime\cn_field_integration_completeness_audit_v1.py,32,phase2_stock_tdx_official;tdx_official,"Path(r""G:\Project_V7_Rotation\data\company_phase2_panels\phase2_stock_tdx_official_20250806_to_20260410_cn_integrated_v2_phase3ad_newdata_v1_20260603.parquet""),"
src\our_system_phase2\runtime\cn_field_integration_completeness_audit_v1.py,33,phase2_stock_tdx_official;tdx_official,"Path(r""G:\Project_V7_Rotation\data\company_phase2_panels\phase2_stock_tdx_official_20250806_to_20260410_cn_integrated_v2_phase3ad_newdata_hfqvaluation_v1_20260603.parquet""),"
src\our_system_phase2\runtime\cn_field_integration_completeness_audit_v1.py,37,cn_minute_feature_panel,"Path(""runtime/minute_feature_panels/cn_minute_feature_panel_v2_20260602_full_retry1""),"
src\our_system_phase2\runtime\cn_field_utilization_audit.py,18,phase2_stock_tdx_official;tdx_official,"DEFAULT_PANEL = Path(""runtime/datasets/phase2_stock_tdx_official_20250806_to_20260508_cn_event_fundamental_augmented_v2_20260531.parquet"")"
src\our_system_phase2\runtime\cn_flow_liquidity_factor_pack_v1.py,19,phase2_stock_tdx_official;tdx_official,"DEFAULT_PANEL = Path(""runtime/datasets/phase2_stock_tdx_official_20250806_to_20260508_cn_event_fundamental_augmented_v2_20260531.parquet"")"
src\our_system_phase2\runtime\cn_fundamental_pit_feature_panel.py,19,phase2_stock_tdx_official;tdx_official,"DEFAULT_DAILY_PANEL = Path(""runtime/datasets/phase2_stock_tdx_official_20250806_to_20260508_cn_event_augmented_v1_20260531.parquet"")"
src\our_system_phase2\runtime\cn_integrated_feature_transform_plan_v1.py,29,cn_minute_feature_panel,"DEFAULT_MINUTE_PANEL = Path(""runtime/minute_feature_panels/cn_minute_feature_panel_v2_20260602_full_retry1"")"
src\our_system_phase2\runtime\cn_integrated_field_utility_map_v1.py,36,phase2_stock_tdx_official;tdx_official,"DEFAULT_DATASET = Path(r""G:\Project_V7_Rotation\data\company_phase2_panels\phase2_stock_tdx_official_20250806_to_20260410_cn_integrated_v2_all_fields_local.parquet"")"
src\our_system_phase2\runtime\cn_integrated_pit_join_preflight.py,30,cn_minute_feature_panel,"""runtime/minute_feature_panels/cn_minute_feature_panel_v2_20260602_full_retry1"""
src\our_system_phase2\runtime\cn_integrated_pit_selected_panel_builder.py,24,cn_minute_feature_panel,"""runtime/minute_feature_panels/cn_minute_feature_panel_v2_20260602_full_retry1"""
src\our_system_phase2\runtime\cn_integrated_pit_selected_panel_builder.py,31,phase2_stock_tdx_official;tdx_official,"""phase2_stock_tdx_official_"","
src\our_system_phase2\runtime\cn_integrated_pit_selected_panel_builder.py,32,phase3n_stock_tdx_official;tdx_official,"""phase3n_stock_tdx_official_"","
src\our_system_phase2\runtime\cn_integrated_pit_selected_panel_builder.py,33,tdx_official,"""tdx_official"","
src\our_system_phase2\runtime\cn_minute_2023_2025_reconvert.py,31,stock_1min,"r""G:\Project_V7_Rotation\data\cn_public_enrichment\cn_local_minute_daily_silver_v1_20260531\stock_1min_2023_2025_symbol_parquet_v2"""
src\our_system_phase2\runtime\cn_minute_2023_2025_reconvert.py,186,stock_1min,"required = ""stock_1min_2023_2025_symbol_parquet_v2"""
src\our_system_phase2\runtime\cn_minute_2023_2025_reconvert.py,192,stock_1min,"manifest_path = report_root / ""stock_1min_2023_2025_reconvert_manifest.csv"""
src\our_system_phase2\runtime\cn_minute_2023_2025_reconvert.py,271,stock_1min,"write_json_artifact(report_root / ""stock_1min_2023_2025_reconvert_report.json"", summary)"
src\our_system_phase2\runtime\cn_minute_feature_alignment_audit.py,28,phase2_stock_tdx_official;tdx_official,"""runtime/datasets/phase2_stock_tdx_official_20250806_to_20260508_cn_event_fundamental_augmented_v2_20260531.parquet"""
