candidate_uid,cluster_id,source_scope,source_phase,representative_expression,canonical_expression,representative_candidate_id,source_lane,field_families,operator_families,retained_by_j2,retained_by_j4_relaxed,new_vs_149_proxy,known_vs_149_reason,max_corr_to_149_registry_proxy,p90_turnover,median_turnover,cost_adjusted_score,capacity_proxy,median_amount_20d,limit_hit_rate,suspension_rate,raw_pass_count,deployable_count,champion_score,grade,discovery_strength_component,book_readiness_component,cost_proxy_component,turnover_component,capacity_component,novelty_corr_component,feasibility_component,penalties,proof_gaps,champion_decision,merged_duplicate_candidate_uids,duplicate_candidate_count,champion_rank,legacy_cluster_id
phase3k_b_fresh:s47_cluster_006,s47_cluster_006,kb_fresh_g2,Phase3K-B,"CSRank(Mul(Sign(ZScore(CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($amount,2)))))),Mul(ZScore(CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($amount,2))))),ZScore(CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($amount,2))))))))","CSRank(Mul(Sign(ZScore(CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($amount,2)))))),Mul(ZScore(CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($amount,2))))),ZScore(CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($amount,2))))))))",fgv2-repair-nonlinearize-214b37a1d2,formula_gen_v2_repair_expansion,flow|price,CSRank|Mean|Mul|Sign|ZScore,True,True,True,,0.385674,0.151724,0.151724,7.468191,66581701.945312,2771479948.8,0.018473,0.0,1,1,86.640339,A,0.683333,1.0,1.0,0.747701,0.864227,1.0,0.846058,,subperiod_stability_not_yet_audited|sign_flip_placebo_not_yet_audited|low_order_ablation_not_yet_audited,ENTER_PHASE3L_C_DEEP_AUDIT,phase3k_b_fresh:s47_cluster_006,1,1,
phase3j_locked:cluster_018,cluster_018,phase3j_locked_book,Phase3J,"CSRank(Mul(CSRank(CSResidual(CSRank($close),CSRank($volume))),ZScore(Mean(Abs(Delta($close,1)),20))))","CSRank(Mul(CSRank(CSResidual(CSRank($close),CSRank($volume))),ZScore(Mean(Abs(Delta($close,1)),20))))",fgv2-repair-add_state_gate-83cdcc1ba7,formula_gen_v2_repair_expansion,flow|price,Abs|CSRank|CSResidual|Delta|Mean|Mul|ZScore,True,True,False,existing_locked_phase3j_book,,0.128412,0.090804,3.209146,26582522.4,1291399550.4,0.017169,0.0,4,4,79.167244,A,0.803006,1.0,0.641829,1.0,0.557732,0.55,0.856925,,subperiod_stability_not_yet_audited|sign_flip_placebo_not_yet_audited|low_order_ablation_not_yet_audited,ENTER_PHASE3L_C_DEEP_AUDIT,phase3j_locked:cluster_018,1,2,
phase3j_locked:cluster_014,cluster_014,phase3j_locked_book,Phase3J,"CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($final_float_market_cap,34))))","CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($final_float_market_cap,34))))",stockpit-cem_adaptive_grammar-b7428c35f0d0,formula_gen_v2_repair_expansion,cap|price,CSRank|Mean|Mul|ZScore,True,True,False,existing_locked_phase3j_book,,0.041078,0.03501,2.682759,118236558.78125,2447796083.2,0.009236,0.0,2,2,77.801143,A,0.56177,1.0,0.536552,1.0,1.0,0.55,0.923033,,subperiod_stability_not_yet_audited|sign_flip_placebo_not_yet_audited|low_order_ablation_not_yet_audited,ENTER_PHASE3L_C_DEEP_AUDIT,phase3j_locked:cluster_014,1,3,
phase3k_b_fresh:s48_cluster_006,s48_cluster_006,kb_fresh_g2,Phase3K-B,"CSRank(Mul(Sign(Std($turnover_rate,8)),Mul(CSRank(Mean($turnover_rate,5)),ZScore(Mean($close,13)))))","CSRank(Mul(Sign(Std($turnover_rate,8)),Mul(CSRank(Mean($turnover_rate,5)),ZScore(Mean($close,13)))))",agnostic-freeform-f33ea665e532,agnostic_freeform_ast,flow|price,CSRank|Mean|Mul|Sign|Std|ZScore,True,True,True,,0.711935,0.094871,0.094871,4.221407,20723887.289746,1097520553.6,0.01302,0.0,1,1,77.078222,A,0.597688,1.0,0.844281,1.0,0.474625,0.488065,0.8915,,subperiod_stability_not_yet_audited|sign_flip_placebo_not_yet_audited|low_order_ablation_not_yet_audited,ENTER_PHASE3L_C_DEEP_AUDIT,phase3k_b_fresh:s48_cluster_006,1,4,
phase3k_b_fresh:s50_cluster_005,s50_cluster_005,kb_fresh_g2,Phase3K-B,"CSRank(Mul(CSRank(Mul(ZScore(Mean($amount,34)),ZScore(Mean($final_float_market_cap,8)))),ZScore(Mean(Abs(Delta($close,1)),20))))","CSRank(Mul(CSRank(Mul(ZScore(Mean($amount,34)),ZScore(Mean($final_float_market_cap,8)))),ZScore(Mean(Abs(Delta($close,1)),20))))",fgv2-repair-add_state_gate-6523db44e6,formula_gen_v2_repair_expansion,flow|price|size_capital,Abs|CSRank|Delta|Mean|Mul|ZScore,True,True,True,,0.784251,0.065529,0.065529,3.742877,49459578.09375,2196895331.2,0.020729,0.0,1,1,76.589442,A,0.54505,1.0,0.748575,1.0,0.764994,0.415749,0.827258,,subperiod_stability_not_yet_audited|sign_flip_placebo_not_yet_audited|low_order_ablation_not_yet_audited,ENTER_PHASE3L_C_DEEP_AUDIT,phase3k_b_fresh:s50_cluster_005,1,5,
phase3k_b_fresh:s49_cluster_007,s49_cluster_007,kb_fresh_g2,Phase3K-B,"CSRank(Mul(ZScore(Mean($final_float_market_cap,21)),ZScore(Mean($close,34))))","CSRank(Mul(ZScore(Mean($final_float_market_cap,21)),ZScore(Mean($close,34))))",stockpit-cem_adaptive_grammar-7bfc629d9b9f,r0_cem_led,price|size_capital,CSRank|Mean|Mul|ZScore,True,True,True,,0.481107,0.025655,0.025655,2.293998,119191295.125,2426874816.0,0.009236,0.0,1,1,76.127468,A,0.385673,1.0,0.4588,1.0,1.0,1.0,0.923033,,subperiod_stability_not_yet_audited|sign_flip_placebo_not_yet_audited|low_order_ablation_not_yet_audited,ENTER_PHASE3L_C_DEEP_AUDIT,phase3k_b_fresh:s49_cluster_007,1,6,
phase3j_locked:cluster_008,cluster_008,phase3j_locked_book,Phase3J,"CSRank(Mul(CSRank(Mul(ZScore($final_float_market_cap),ZScore($amount))),ZScore(Mean(Abs(Delta($close,1)),20))))","CSRank(Mul(CSRank(Mul(ZScore($final_float_market_cap),ZScore($amount))),ZScore(Mean(Abs(Delta($close,1)),20))))",fgv2-repair-add_state_gate-424025168b,formula_gen_v2_repair_expansion,cap|flow|price,Abs|CSRank|Delta|Mean|Mul|ZScore,True,True,False,existing_locked_phase3j_book,,0.148589,0.148589,3.494263,46935603.134766,2111390753.6,0.018605,0.0,1,1,76.098578,A,0.517702,1.0,0.698853,1.0,0.74751,0.55,0.844958,,subperiod_stability_not_yet_audited|sign_flip_placebo_not_yet_audited|low_order_ablation_not_yet_audited,ENTER_PHASE3L_C_DEEP_AUDIT,phase3j_locked:cluster_008,1,7,
phase3k_b_fresh:s47_cluster_013,s47_cluster_013,kb_fresh_g2,Phase3K-B,"CSRank(Mul(ZScore(Mean(Abs($close),8)),ZScore(Mean(Abs($final_float_market_cap),2))))","CSRank(Mul(ZScore(Mean(Abs($close),8)),ZScore(Mean(Abs($final_float_market_cap),2))))",stockpit-cem_adaptive_grammar-b7038a21e31f,r0_cem_led,price|size_capital,Abs|CSRank|Mean|Mul|ZScore,True,True,True,,0.714463,0.033048,0.033048,2.493115,115067321.087109,2361664499.2,0.009437,0.0,1,1,73.197048,A,0.407576,1.0,0.498623,1.0,1.0,0.485537,0.921358,,subperiod_stability_not_yet_audited|sign_flip_placebo_not_yet_audited|low_order_ablation_not_yet_audited,ENTER_PHASE3L_C_DEEP_AUDIT,phase3k_b_fresh:s47_cluster_013,1,8,
phase3k_b_fresh:s50_cluster_006,s50_cluster_006,kb_fresh_g2,Phase3K-B,"CSRank(Mul(Sign(ZScore(CSRank(Mul(ZScore($close),ZScore($amount))))),Mul(ZScore(CSRank(Mul(ZScore($close),ZScore($amount)))),ZScore(CSRank(Mul(ZScore($close),ZScore($amount)))))))","CSRank(Mul(Sign(ZScore(CSRank(Mul(ZScore($close),ZScore($amount))))),Mul(ZScore(CSRank(Mul(ZScore($close),ZScore($amount)))),ZScore(CSRank(Mul(ZScore($close),ZScore($amount)))))))",fgv2-repair-nonlinearize-f7e4dc60a5,formula_gen_v2_repair_expansion,flow|price,CSRank|Mul|Sign|ZScore,True,True,True,,0.411485,0.221826,0.221826,2.795691,64781224.645313,2744154799.238095,0.019876,0.0,1,1,71.858483,A,0.440859,1.0,0.559138,0.654232,0.855076,1.0,0.834367,,subperiod_stability_not_yet_audited|sign_flip_placebo_not_yet_audited|low_order_ablation_not_yet_audited,ENTER_PHASE3L_C_DEEP_AUDIT,phase3k_b_fresh:s50_cluster_006,1,9,
phase3j_locked:cluster_017,cluster_017,phase3j_locked_book,Phase3J,"CSRank(Mul(Sign($vwap),Mul(CSRank($open),CSRank(Mean($amount,8)))))","CSRank(Mul(Sign($vwap),Mul(CSRank($open),CSRank(Mean($amount,8)))))",agnostic-freeform-cd2b2335578f,agnostic_freeform_ast,flow|price,CSRank|Mean|Mul|Sign,True,True,False,existing_locked_phase3j_book,,0.125839,0.104046,2.098815,61115043.58125,2530544800.0,0.017839,0.0,2,2,71.739812,A,0.497536,1.0,0.419763,1.0,0.835629,0.55,0.851342,,subperiod_stability_not_yet_audited|sign_flip_placebo_not_yet_audited|low_order_ablation_not_yet_audited,ENTER_PHASE3L_C_DEEP_AUDIT,phase3j_locked:cluster_017,1,10,
