gate,active_day_ratio,full_ann_compound,full_sharpe,full_sortino,full_max_drawdown,full_total_return,active_ann_compound,inactive_ann_compound
R0_no_gate,1.0,0.729231,2.219926,4.391617,-0.10425684,0.173653,0.729231,
R1_volatility_high,0.602564,0.936759,3.541104,6.113221,-0.04994616,0.220477,1.992347,-0.248754
R2_trend_low,0.448718,0.590611,2.812692,4.087046,-0.0472475,0.149667,1.809913,0.163962
R3_liquidity_low,0.487179,1.175657,4.547115,6.085253,-0.03442312,0.266314,3.918442,-0.361992
R4_limit_density_high,0.615385,0.197755,0.88946,1.443628,-0.09227455,0.050736,0.340663,1.597015
R5_vol_or_trendlow_or_liqlow,0.666667,1.12819,3.827856,7.265461,-0.04184402,0.255818,2.102041,-0.46483
R6_at_least_2_of_vol_trend_liq,0.551282,0.983379,3.842269,6.113946,-0.04667989,0.230081,2.458477,-0.264002
F1_breadth_low_failed_control,0.371795,-0.011777,-0.083235,-0.090794,-0.08071471,-0.006774,-0.031363,1.435238
F2_trend_high_failed_control,0.307692,-0.011854,-0.082592,-0.088514,-0.06133498,-0.006896,-0.038015,1.24314
F3_liquidity_high_failed_control,0.205128,-0.060578,-0.503754,-0.506358,-0.0653037,-0.021486,-0.262721,1.153729
R7_weighted_train_score_gate,0.602564,0.936759,3.541104,6.113221,-0.04994616,0.220477,1.992347,-0.248754
