gate,primary_gate,true_full_ann_compound,random_p95_ann,block_p95_ann,circular_p95_ann,inverted_ann,robustness_pass_count,decision
R3_liquidity_low,True,1.175657,0.933008,0.9983,1.098173,-0.205755,3,PASS_STRICT_GATE_ROBUSTNESS
R5_vol_or_trendlow_or_liqlow,True,1.12819,0.998501,0.942271,1.112831,-0.18797,3,PASS_STRICT_GATE_ROBUSTNESS
R6_at_least_2_of_vol_trend_liq,True,0.983379,0.932219,0.970535,1.119395,-0.128464,2,PASS_STRICT_GATE_ROBUSTNESS
R1_volatility_high,False,0.936759,1.002085,0.895563,1.097095,-0.107418,1,HOLD_STRICT_GATE_ROBUSTNESS
R2_trend_low,False,0.590611,0.807392,0.91899,1.017133,0.087316,0,HOLD_STRICT_GATE_ROBUSTNESS
F1_breadth_low_failed_control,False,-0.011777,0.774509,0.741615,0.829881,0.749793,0,HOLD_STRICT_GATE_ROBUSTNESS
F2_trend_high_failed_control,False,-0.011854,0.645939,0.728816,0.769324,0.749928,0,HOLD_STRICT_GATE_ROBUSTNESS
F3_liquidity_high_failed_control,False,-0.060578,0.490547,0.559761,0.558409,0.840462,0,HOLD_STRICT_GATE_ROBUSTNESS
