cluster_id,alpha_family_short_name,selection_reason,source_lane,turnover_proxy,liquidity_proxy,known_failure_risk
cluster_001,vwap_abs_delta_volatility_state,core,agnostic_freeform_ast,0.073418,not_directly_scored_in_X0_freeze,positive_sign_flip_score_but_placebo_not_passed|weak_regime_proxy_axes=liquidity_lag_quantile:HOLD_AXIS_CONCENTRATED_OR_WEAK;pit_regime_label:HOLD_INSUFFICIENT_AXIS_COVERAGE;volatility_lag_quantile:HOLD_AXIS_CONCENTRATED_OR_WEAK
cluster_005,open_volatility_x_vwap_abs_delta,core,agnostic_freeform_ast,0.199872,not_directly_scored_in_X0_freeze,high_turnover|weak_regime_proxy_axes=pit_regime_label:HOLD_INSUFFICIENT_AXIS_COVERAGE;volatility_lag_quantile:HOLD_AXIS_CONCENTRATED_OR_WEAK
cluster_006,close_magnitude_x_amount_magnitude,core,r0_cem_led,0.051814,not_directly_scored_in_X0_freeze,weak_regime_proxy_axes=pit_regime_label:HOLD_INSUFFICIENT_AXIS_COVERAGE;volatility_lag_quantile:HOLD_AXIS_CONCENTRATED_OR_WEAK
cluster_009,close_size_residual_x_abs_close_delta,support,formula_gen_v2_repair_expansion,0.103397,not_directly_scored_in_X0_freeze,positive_sign_flip_score_but_placebo_not_passed|weak_regime_proxy_axes=pit_regime_label:HOLD_INSUFFICIENT_AXIS_COVERAGE;volatility_lag_quantile:HOLD_AXIS_CONCENTRATED_OR_WEAK
cluster_002,open_rank_x_amount_mean,support,agnostic_freeform_ast,0.076805,not_directly_scored_in_X0_freeze,weak_regime_proxy_axes=pit_regime_label:HOLD_AXIS_CONCENTRATED_OR_WEAK;volatility_lag_quantile:HOLD_AXIS_CONCENTRATED_OR_WEAK
cluster_004,close_mean_x_float_mcap_state,support,formula_gen_v2_repair_expansion,0.027425,not_directly_scored_in_X0_freeze,weak_regime_proxy_axes=liquidity_lag_quantile:HOLD_AXIS_CONCENTRATED_OR_WEAK;pit_regime_label:HOLD_INSUFFICIENT_AXIS_COVERAGE;volatility_lag_quantile:HOLD_AXIS_CONCENTRATED_OR_WEAK
