threshold_label,train_quantile,threshold,active_days,calendar_days,active_ratio,full_ann_compound,sharpe,max_drawdown,total_return,active_ann_compound,random_active_days_p95_ann,placebo_decision
q25,0.25,0.8726597829,10,78,0.128205,0.435259,4.17047,-0.00259208,0.117064,15.524531,0.35567,PASS_TRUE_GT_RANDOM_P95
q30,0.3,0.9189783066,18,78,0.230769,0.599803,3.972418,-0.01576915,0.154078,6.612961,0.552589,PASS_TRUE_GT_RANDOM_P95
q33,0.333333,0.9888283512,38,78,0.487179,1.175657,4.547115,-0.03442312,0.266314,3.918442,0.837281,PASS_TRUE_GT_RANDOM_P95
q35,0.35,1.0000377873,40,78,0.512821,1.124614,4.370534,-0.04156776,0.256944,3.338024,0.906951,PASS_TRUE_GT_RANDOM_P95
q40,0.4,1.0568332034,45,78,0.576923,0.969264,3.644568,-0.04918273,0.226827,2.233145,0.957589,PASS_TRUE_GT_RANDOM_P95
