date,gate_active,book_return_proxy,gated_return_proxy,equity,drawdown
2026-01-05,True,0.01638852,0.01638852,1.01638852,0.0
2026-01-06,True,-0.0136466,-0.0136466,1.00251827,-0.0136466
2026-01-07,False,0.00280885,0.0,1.00251827,-0.0136466
2026-01-08,False,0.00110605,0.0,1.00251827,-0.0136466
2026-01-09,False,-0.02077654,0.0,1.00251827,-0.0136466
2026-01-12,False,0.00781671,0.0,1.00251827,-0.0136466
2026-01-13,False,0.01139079,0.0,1.00251827,-0.0136466
2026-01-14,False,0.02744098,0.0,1.00251827,-0.0136466
2026-01-15,False,-0.01165255,0.0,1.00251827,-0.0136466
2026-01-16,False,-0.02546879,0.0,1.00251827,-0.0136466
2026-01-19,False,0.01350862,0.0,1.00251827,-0.0136466
2026-01-20,False,-0.00101014,0.0,1.00251827,-0.0136466
2026-01-21,False,0.00605321,0.0,1.00251827,-0.0136466
2026-01-22,False,-0.01499294,0.0,1.00251827,-0.0136466
2026-01-23,False,0.02614557,0.0,1.00251827,-0.0136466
2026-01-26,False,-0.00169069,0.0,1.00251827,-0.0136466
2026-01-27,False,-0.02322463,0.0,1.00251827,-0.0136466
2026-01-28,False,0.01348515,0.0,1.00251827,-0.0136466
2026-01-29,False,-0.02039039,0.0,1.00251827,-0.0136466
2026-01-30,False,0.01672105,0.0,1.00251827,-0.0136466
2026-02-02,False,-0.02379563,0.0,1.00251827,-0.0136466
2026-02-03,False,-0.01666709,0.0,1.00251827,-0.0136466
2026-02-04,False,-0.01077031,0.0,1.00251827,-0.0136466
2026-02-05,False,0.02295838,0.0,1.00251827,-0.0136466
2026-02-06,False,-0.0034262,0.0,1.00251827,-0.0136466
2026-02-09,False,-0.01294049,0.0,1.00251827,-0.0136466
2026-02-10,False,0.02687682,0.0,1.00251827,-0.0136466
2026-02-11,False,-0.0036818,0.0,1.00251827,-0.0136466
2026-02-12,False,-0.01157878,0.0,1.00251827,-0.0136466
2026-02-13,False,-0.0062403,0.0,1.00251827,-0.0136466
2026-02-24,False,0.01121654,0.0,1.00251827,-0.0136466
2026-02-25,False,-0.00670961,0.0,1.00251827,-0.0136466
2026-02-26,False,0.00772875,0.0,1.00251827,-0.0136466
2026-02-27,False,-0.02686366,0.0,1.00251827,-0.0136466
2026-03-02,False,0.00453716,0.0,1.00251827,-0.0136466
2026-03-03,False,0.00093699,0.0,1.00251827,-0.0136466
2026-03-04,False,-0.00836965,0.0,1.00251827,-0.0136466
2026-03-05,False,-0.00767392,0.0,1.00251827,-0.0136466
2026-03-06,False,0.02340668,0.0,1.00251827,-0.0136466
2026-03-09,False,-0.0111612,0.0,1.00251827,-0.0136466
2026-03-10,False,-0.01017959,0.0,1.00251827,-0.0136466
2026-03-11,True,-0.00767949,-0.00767949,0.99481944,-0.0212213
2026-03-12,True,0.01345425,0.01345425,1.00820399,-0.00805256
2026-03-13,True,-0.02658464,-0.02658464,0.98140126,-0.03442312
2026-03-16,True,0.02768527,0.02768527,1.00857161,-0.00769087
2026-03-17,True,0.00121331,0.00121331,1.00979531,-0.0064869
2026-03-18,True,0.01584713,0.01584713,1.02579767,0.0
2026-03-19,True,0.00066148,0.00066148,1.02647622,0.0
2026-03-20,True,-0.00477534,-0.00477534,1.02157444,-0.00477534
2026-03-23,True,0.00858908,0.00858908,1.03034882,0.0
2026-03-24,True,-0.00516962,-0.00516962,1.02502231,-0.00516962
2026-03-25,True,0.00393259,0.00393259,1.0290533,-0.00125736
2026-03-26,True,0.00358041,0.00358041,1.03273774,0.0
2026-03-27,True,-0.02466424,-0.02466424,1.00726605,-0.02466424
2026-03-30,True,0.02532601,0.02532601,1.03277607,0.0
2026-03-31,True,-0.01576915,-0.01576915,1.01649007,-0.01576915
2026-04-01,True,0.02744174,0.02744174,1.04438433,0.0
2026-04-02,True,-0.00598447,-0.00598447,1.03813423,-0.00598447
2026-04-03,True,0.0371153,0.0371153,1.0766649,0.0
2026-04-07,True,0.01783041,0.01783041,1.09586227,0.0
2026-04-08,True,0.00880327,0.00880327,1.10550944,0.0
2026-04-09,True,0.00339787,0.00339787,1.10926582,0.0
2026-04-10,True,0.01848619,0.01848619,1.12977192,0.0
2026-04-13,True,-0.00259207,-0.00259207,1.12684346,-0.00259207
2026-04-14,True,0.01396262,0.01396262,1.14257715,0.0
2026-04-15,True,0.01029467,0.01029467,1.15433959,0.0
2026-04-16,True,-0.00232171,-0.00232171,1.15165955,-0.00232171
2026-04-17,True,0.00694861,0.00694861,1.15966199,0.0
2026-04-20,True,0.02192648,0.02192648,1.18508929,0.0
2026-04-21,True,-0.01491292,-0.01491292,1.16741615,-0.01491292
2026-04-22,True,0.0071738,0.0071738,1.17579096,-0.0078461
2026-04-23,True,0.01774739,0.01774739,1.19665817,0.0
2026-04-24,True,-0.00397304,-0.00397304,1.1919038,-0.00397304
2026-04-27,True,-0.0021719,-0.0021719,1.1893151,-0.00613632
2026-04-28,True,0.01752478,0.01752478,1.21015758,0.0
2026-04-29,True,0.02613716,0.02613716,1.24178766,0.0
2026-04-30,True,0.01975078,0.01975078,1.26631394,0.0
2026-05-06,False,-0.01614392,0.0,1.26631394,0.0
