lane,factor_lane,source_lane,fresh_bucket,row_count,unique_candidate_count,unique_expression_count,shard_coverage,mean_ic_abs_mean,max_ic_abs_mean,top_candidate_id,top_fields
sidecar_context_formula,ba_ay_ax_add,phase3ba_focused_minute_expansion,fresh,2560,40,40,16,0.1263099827383225,0.18457482248508475,phase3ba_focused_minute_expansion_00287,amount|final_float_market_cap|vwap
sidecar_context_formula,ba_triple_add,phase3ba_focused_minute_expansion,fresh,3712,58,58,16,0.12551723996745584,0.17736134246502624,phase3ba_focused_minute_expansion_00663,amount|float_share|m1_first30_high|m1_first30_low|open|vwap
sidecar_context_formula,ba_ax_resid_opening,phase3ba_focused_minute_expansion,fresh,3392,53,53,16,0.11754233585197235,0.15843971873464543,phase3ba_focused_minute_expansion_00079,amount|float_share|m1_first5_amount
sidecar_context_formula,ba_ay_resid_opening,phase3ba_focused_minute_expansion,fresh,5632,88,88,16,0.11157007808475816,0.15157101591546018,phase3ba_focused_minute_expansion_00429,amount_yuan|m1_first15_range|vwap
sidecar_context_formula,ba_ay_azb_add,phase3ba_focused_minute_expansion,fresh,5632,88,88,16,0.10306652162638906,0.1660359814306377,phase3ba_focused_minute_expansion_00380,m1_first30_high|m1_first30_low|open|vwap
sidecar_context_formula,ba_ay_resid_ax,phase3ba_focused_minute_expansion,fresh,2560,40,40,16,0.10029378193418607,0.14886235747081064,phase3ba_focused_minute_expansion_00360,amount|close|final_total_market_cap|vwap
sidecar_context_formula,ba_triple_interaction,phase3ba_focused_minute_expansion,fresh,3712,58,58,16,0.09948754049358868,0.1364524705315206,phase3ba_focused_minute_expansion_00712,amount|float_share|m1_first30_range|m1_first30_vol|vwap
sidecar_context_formula,ba_ax_azb_add_inverse,phase3ba_focused_minute_expansion,fresh,3456,54,54,16,0.09836342531137073,0.16764753327941675,phase3ba_focused_minute_expansion_00027,amount|float_share|m1_first30_high|m1_first30_low|open
sidecar_context_formula,ba_ax_azb_add,phase3ba_focused_minute_expansion,fresh,3456,54,54,16,0.09836342531116002,0.1676475332794168,phase3ba_focused_minute_expansion_00026,amount|float_share|m1_first30_high|m1_first30_low|open
sidecar_context_formula,ba_ax_resid_ay,phase3ba_focused_minute_expansion,fresh,2560,40,40,16,0.09359089215509817,0.13774397351313838,phase3ba_focused_minute_expansion_00298,amount|final_total_market_cap|vwap
sidecar_context_formula,ba_opening_resid_ay,phase3ba_focused_minute_expansion,fresh,5632,88,88,16,0.08331699129332791,0.11660690532105028,phase3ba_focused_minute_expansion_00562,amount|close|final_float_market_cap|float_share|m1_first30_range|m1_first30_vol
sidecar_context_formula,ba_opening_resid_ax,phase3ba_focused_minute_expansion,fresh,3392,53,53,16,0.07557221628243643,0.11714735031524323,phase3ba_focused_minute_expansion_00005,amount|float_share|m1_first30_amount
sidecar_context_formula,ba_ax_azb_interaction,phase3ba_focused_minute_expansion,fresh,3456,54,54,16,0.055536314568506905,0.06831117657641007,phase3ba_focused_minute_expansion_00268,amount|float_share|m1_first30_high|m1_first30_low|open
