horizon_min,top_n,pandas_top,numba_top,top1_same,top_overlap,required_overlap,passed
1,5,phase3ba_focused_minute_expansion_00443|phase3ba_focused_minute_expansion_00275|phase3ba_focused_minute_expansion_00272|phase3ba_focused_minute_expansion_00440|phase3ba_focused_minute_expansion_00437,phase3ba_focused_minute_expansion_00443|phase3ba_focused_minute_expansion_00275|phase3ba_focused_minute_expansion_00272|phase3ba_focused_minute_expansion_00440|phase3ba_focused_minute_expansion_00437,True,5,5,True
5,5,phase3ba_focused_minute_expansion_00275|phase3ba_focused_minute_expansion_00443|phase3ba_focused_minute_expansion_00272|phase3ba_focused_minute_expansion_00440|phase3ba_focused_minute_expansion_00437,phase3ba_focused_minute_expansion_00275|phase3ba_focused_minute_expansion_00443|phase3ba_focused_minute_expansion_00272|phase3ba_focused_minute_expansion_00440|phase3ba_focused_minute_expansion_00437,True,5,5,True
15,5,phase3ba_focused_minute_expansion_00683|phase3ba_focused_minute_expansion_00663|phase3ba_focused_minute_expansion_00667|phase3ba_focused_minute_expansion_00687|phase3ba_focused_minute_expansion_00443,phase3ba_focused_minute_expansion_00683|phase3ba_focused_minute_expansion_00663|phase3ba_focused_minute_expansion_00667|phase3ba_focused_minute_expansion_00687|phase3ba_focused_minute_expansion_00443,True,5,5,True
30,5,phase3ba_focused_minute_expansion_00663|phase3ba_focused_minute_expansion_00667|phase3ba_focused_minute_expansion_00683|phase3ba_focused_minute_expansion_00687|phase3ba_focused_minute_expansion_00275,phase3ba_focused_minute_expansion_00663|phase3ba_focused_minute_expansion_00667|phase3ba_focused_minute_expansion_00683|phase3ba_focused_minute_expansion_00687|phase3ba_focused_minute_expansion_00275,True,5,5,True
