candidate_id,lane,source_lane,horizon_min,ic_mean,ic_abs_mean,ic_count,spread_mean,spread_count,memory_hit
cn_integrated_v2_quality_size_residual_00065,sidecar_context_formula,cn_integrated_feature_layer,30,0.0645937477665425,0.1916007657123545,2359,0.00355846382007,2359,False
cn_integrated_v2_quality_size_residual_00065,sidecar_context_formula,cn_integrated_feature_layer,15,0.0502571367461872,0.1847093051393055,2374,0.0017927125717897,2374,False
cn_integrated_v2_quality_size_residual_00065,sidecar_context_formula,cn_integrated_feature_layer,5,0.0336401859773304,0.1843781832886697,2384,0.0004550887593494,2384,False
cn_integrated_v2_quality_x_minute_pressure_00259,sidecar_context_formula,cn_integrated_feature_layer,30,0.0328550781996832,0.1536366094307222,2230,-7.78330167481621e-05,2230,False
phase3ae_brepair_v1_00372,sidecar_context_formula,phase3ae_bounded_repair_feature_layer,30,0.0274433975260538,0.2130445101956828,2370,0.0018400090642043,2370,False
cn_integrated_v2_quality_size_residual_00065,sidecar_context_formula,cn_integrated_feature_layer,1,0.0262911667581983,0.1742321460548344,2388,0.0003104927126131,2388,False
phase3ae_brepair_v1_00376,sidecar_context_formula,phase3ae_bounded_repair_feature_layer,30,0.0246851580164666,0.2139021750124254,2370,0.0014886354608881,2370,False
cn_integrated_v2_quality_x_minute_pressure_00275,sidecar_context_formula,cn_integrated_feature_layer,30,0.0244235034203519,0.1531797615650128,2330,-0.0011611166682097,2330,False
cn_integrated_v2_quality_x_minute_pressure_00198,sidecar_context_formula,cn_integrated_feature_layer,30,0.024407823235832,0.1997056833287888,2230,0.0032620785028335,2230,False
cn_integrated_v2_quality_x_minute_pressure_00259,sidecar_context_formula,cn_integrated_feature_layer,15,0.0234438010104223,0.1738061821942214,2245,0.0003831095965967,2245,False
cn_integrated_v2_quality_x_minute_pressure_00206,sidecar_context_formula,cn_integrated_feature_layer,30,0.0232979438360132,0.1947711504029737,2084,0.0021053285629967,2084,False
cn_integrated_v2_quality_holder_residual_00074,sidecar_context_formula,cn_integrated_feature_layer,30,0.021314287064716,0.2185411276436872,2360,0.0039258851567263,2360,False
cn_integrated_v2_quality_x_minute_pressure_00275,sidecar_context_formula,cn_integrated_feature_layer,15,0.0194155757493523,0.1739710014438634,2345,4.200457129646265e-05,2345,False
cn_integrated_v2_quality_size_residual_00064,sidecar_context_formula,cn_integrated_feature_layer,30,0.018904198123955,0.1938249880366009,2370,0.004702985215426,2370,False
cn_integrated_v2_quality_x_rzrq_flow_00227,sidecar_context_formula,cn_integrated_feature_layer,30,0.0180498571216157,0.2333398764332802,2350,0.0006078206721974,2350,False
cn_integrated_v2_quality_x_minute_pressure_00198,sidecar_context_formula,cn_integrated_feature_layer,15,0.0160399586357017,0.1883286394881789,2245,0.0013191218016921,2245,False
cn_integrated_v2_quality_x_minute_pressure_00198,sidecar_context_formula,cn_integrated_feature_layer,5,0.0156141693932899,0.1765991449998293,2255,0.0005944513070066,2255,False
cn_integrated_v2_quality_x_minute_pressure_00206,sidecar_context_formula,cn_integrated_feature_layer,15,0.014612945379146,0.1908335165326334,2097,0.0014778438480419,2097,False
cn_integrated_v2_quality_x_minute_pressure_00259,sidecar_context_formula,cn_integrated_feature_layer,5,0.0143276670804924,0.1832137759900022,2255,0.0003419065389102,2255,False
cn_integrated_v2_quality_x_minute_pressure_00206,sidecar_context_formula,cn_integrated_feature_layer,5,0.0134348945710557,0.1785634081024256,2106,0.0008121523688045,2106,False
phase3ae_brepair_v1_00378,sidecar_context_formula,phase3ae_bounded_repair_feature_layer,1,0.0132658332626729,0.2042018486372243,2399,-0.0001303586108371,2399,False
cn_integrated_v2_quality_holder_residual_00074,sidecar_context_formula,cn_integrated_feature_layer,15,0.0127534598304836,0.2070014409070809,2375,0.0021004792750985,2375,False
phase3ae_brepair_v1_00373,sidecar_context_formula,phase3ae_bounded_repair_feature_layer,1,0.0125649550925838,0.204738683614009,2399,-0.0001375067332994,2399,False
cn_integrated_v2_quality_x_rzrq_flow_00226,sidecar_context_formula,cn_integrated_feature_layer,30,0.0122902746319871,0.2397183600149173,2350,0.0006426385214647,2350,False
cn_integrated_v2_quality_x_minute_pressure_00206,sidecar_context_formula,cn_integrated_feature_layer,1,0.0121813287219269,0.1735987749410125,2110,0.0002426103542824,2110,False
