factor_lane,count,best_abs_aligned_ic,followup_count,future_wrong_lag_count
cem_atom::rx_range_location::rank,5,0.2468934542,0,4
cem_interaction::rx_range_location::rx_opening_amount::spread,3,0.2450190161,0,3
cem_atom::rx_range_location::inverted,1,0.2447040945,0,1
cem_resample::rx_range_location::rx_opening_amount::elite_spread_mean3,1,0.2423017218,0,1
cem_resample::rx_range_location::rx_opening_amount::elite_inverted_product,1,0.2347243805,0,1
cem_interaction::rx_range_location::rx_opening_amount::product,3,0.2347243805,0,3
cem_interaction::rx_range_location::rx_opening_amount::signed_state,7,0.1946148653,0,7
cem_interaction::rx_range_location::rx_flow_amount_volume::spread,6,0.1927378967,0,6
cem_resample::rx_range_location::rx_range_location::elite_spread_mean3,2,0.1880679197,0,2
cem_interaction::rx_range_location::rx_range_location::spread,1,0.1865667614,0,1
cem_resample::rx_range_location::rx_volatility_state::elite_spread_mean3,2,0.1848148146,0,2
cem_interaction::rx_range_location::rx_volatility_state::spread,1,0.1834834334,0,1
cem_resample::rx_intraday_return::rx_opening_amount::elite_spread_mean3,2,0.153626394,0,2
cem_resample::rx_intraday_return::rx_opening_amount::elite_inverted_product,2,0.1524445297,0,1
cem_interaction::rx_intraday_return::rx_opening_amount::product,4,0.1524445297,0,2
cem_interaction::rx_intraday_return::rx_flow_amount_volume::spread,4,0.1477971083,0,2
cem_atom::rx_intraday_return::inverted,3,0.1434441793,1,0
cem_atom::rx_intraday_return::rank,2,0.1195341846,0,0
cem_interaction::rx_intraday_return::rx_range_location::spread,2,0.1107945128,1,1
cem_resample::rx_intraday_return::rx_range_location::elite_spread_mean3,1,0.1105000532,0,1
cem_interaction::rx_intraday_return::rx_opening_amount::signed_state,10,0.106551045,0,6
cem_interaction::rx_intraday_return::rx_opening_amount::spread,3,0.1024409098,0,1
cem_resample::rx_intraday_return::rx_opening_amount::elite_delta_product,1,0.09812219661,0,1
cem_resample::rx_range_location::rx_range_location::elite_inverted_product,1,0.06863414827,0,0
cem_interaction::rx_range_location::rx_range_location::signed_state,1,0.05663152501,0,0
cem_interaction::rx_opening_amount::rx_volatility_state::signed_state,3,0.05170378309,0,2
cem_interaction::rx_opening_amount::rx_range_location::signed_state,4,0.0497219181,0,2
cem_atom::rx_volatility_state::inverted,1,0.04791178301,0,1
cem_atom::rx_volatility_state::rank,1,0.04791178301,0,1
cem_interaction::rx_opening_amount::rx_volatility_state::spread,1,0.04507234643,0,1
cem_interaction::rx_opening_amount::rx_range_location::spread,1,0.04373692982,0,0
cem_interaction::rx_opening_amount::rx_volatility_state::product,1,0.03948897045,0,0
cem_interaction::rx_opening_divergence::rx_volatility_state::spread,2,0.03130044347,0,1
cem_interaction::rx_opening_divergence::rx_range_location::spread,3,0.03123144658,0,0
cem_interaction::rx_opening_range::rx_range_location::spread,1,0.02601890983,0,0
cem_interaction::rx_opening_divergence::rx_flow_amount_volume::spread,4,0.0254304201,0,4
cem_resample::rx_intraday_return::rx_volatility_state::elite_inverted_product,1,0.02509987432,0,0
cem_interaction::rx_opening_range::rx_volatility_state::signed_state,1,0.02397367336,0,1
cem_resample::rx_range_location::rx_volatility_state::elite_inverted_product,1,0.02370784171,0,0
cem_interaction::rx_intraday_return::rx_flow_amount_volume::signed_state,4,0.02360251007,0,3
cem_interaction::rx_opening_range::rx_volatility_state::product,1,0.02344694912,0,0
cem_resample::rx_intraday_return::rx_range_location::elite_delta_product,1,0.02259392065,0,1
cem_resample::rx_intraday_return::rx_flow_amount_volume::elite_inverted_product,3,0.0225794505,0,1
cem_resample::rx_intraday_return::rx_range_location::elite_inverted_product,2,0.02212795176,0,2
cem_interaction::rx_intraday_return::rx_volatility_state::signed_state,1,0.02168260184,0,0
cem_interaction::rx_opening_range::rx_range_location::signed_state,3,0.02130615528,0,2
cem_interaction::rx_intraday_return::rx_range_location::signed_state,2,0.01804759093,0,2
cem_interaction::rx_opening_divergence::rx_flow_amount_volume::product,1,0.01550100136,0,0
