cluster_id,candidate_uid,in_l2_daily_proxy_book,grade,daily_proxy_pass,proof_status_before_deep_tests,audit_decision,representative_expression,source_lane,source_phase,field_count,operator_count,field_list,operator_list,p90_turnover,cost_adjusted_score,capacity_proxy,new_vs_149_proxy,subperiod_stability_status,regime_stability_status,sign_flip_placebo_status,low_order_ablation_status,minute_execution_capacity_status,missing_tests,required_next_action
cluster_018,phase3j_locked:cluster_018,False,A,True,DAILY_PROXY_PASS__DEEP_TESTS_PENDING,HOLD_KEEP_PROMOTION_PENDING_DEEP_TESTS,"CSRank(Mul(CSRank(CSResidual(CSRank($close),CSRank($volume))),ZScore(Mean(Abs(Delta($close,1)),20))))",formula_gen_v2_repair_expansion,Phase3J,2,7,$close|$volume,Abs|CSRank|CSResidual|Delta|Mean|Mul|ZScore,0.128412,3.209146,26582522.4,False,MISSING_REPLAY_TEST,MISSING_REPLAY_TEST,QUEUE_READY,QUEUE_READY,MISSING_MINUTE_DATA,subperiod_stability_replay|regime_bucket_replay|sign_flip_placebo|low_order_ablation|minute_execution_capacity,RUN_PHASE3L_E_DEEP_TEST_BATCH
s51_cluster_002,phase3k_b_fresh:s51_cluster_002,True,A,True,DAILY_PROXY_PASS__DEEP_TESTS_PENDING,HOLD_KEEP_PROMOTION_PENDING_DEEP_TESTS,"CSRank(Mul(CSRank(Mul(ZScore(Std($final_float_market_cap,8)),ZScore(Std($final_float_market_cap,21)))),ZScore(Mean(Abs(Delta($close,1)),20))))",formula_gen_v2_repair_expansion,Phase3K-B,2,7,$close|$final_float_market_cap,Abs|CSRank|Delta|Mean|Mul|Std|ZScore,0.113772,4.157599,41240100.479,True,MISSING_REPLAY_TEST,MISSING_REPLAY_TEST,QUEUE_READY,QUEUE_READY,MISSING_MINUTE_DATA,subperiod_stability_replay|regime_bucket_replay|sign_flip_placebo|low_order_ablation|minute_execution_capacity,RUN_PHASE3L_E_DEEP_TEST_BATCH
cluster_014,phase3j_locked:cluster_014,True,A,True,DAILY_PROXY_PASS__DEEP_TESTS_PENDING,HOLD_KEEP_PROMOTION_PENDING_DEEP_TESTS,"CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($final_float_market_cap,34))))",formula_gen_v2_repair_expansion,Phase3J,2,4,$close|$final_float_market_cap,CSRank|Mean|Mul|ZScore,0.041078,2.682759,118236558.781,False,MISSING_REPLAY_TEST,MISSING_REPLAY_TEST,QUEUE_READY,QUEUE_READY,MISSING_MINUTE_DATA,subperiod_stability_replay|regime_bucket_replay|sign_flip_placebo|low_order_ablation|minute_execution_capacity,RUN_PHASE3L_E_DEEP_TEST_BATCH
cluster_008,phase3j_locked:cluster_008,True,A,True,DAILY_PROXY_PASS__DEEP_TESTS_PENDING,HOLD_KEEP_PROMOTION_PENDING_DEEP_TESTS,"CSRank(Mul(CSRank(Mul(ZScore($final_float_market_cap),ZScore($amount))),ZScore(Mean(Abs(Delta($close,1)),20))))",formula_gen_v2_repair_expansion,Phase3J,3,6,$amount|$close|$final_float_market_cap,Abs|CSRank|Delta|Mean|Mul|ZScore,0.148589,3.494263,46935603.135,False,MISSING_REPLAY_TEST,MISSING_REPLAY_TEST,QUEUE_READY,QUEUE_READY,MISSING_MINUTE_DATA,subperiod_stability_replay|regime_bucket_replay|sign_flip_placebo|low_order_ablation|minute_execution_capacity,RUN_PHASE3L_E_DEEP_TEST_BATCH
s52_cluster_013,phase3k_b_fresh:s52_cluster_013,True,A,True,DAILY_PROXY_PASS__DEEP_TESTS_PENDING,HOLD_KEEP_PROMOTION_PENDING_DEEP_TESTS,"CSRank(CSResidual(ZScore(Mean(Abs(Delta($open,1)),34)),CSRank($high)))",agnostic_freeform_ast,Phase3K-B,2,6,$high|$open,Abs|CSRank|CSResidual|Delta|Mean|ZScore,0.069113,3.905575,27201787.564,True,MISSING_REPLAY_TEST,MISSING_REPLAY_TEST,QUEUE_READY,MISSING_ROLE_SLOTS_OR_PARSEABLE_INTERACTION,MISSING_MINUTE_DATA,subperiod_stability_replay|regime_bucket_replay|sign_flip_placebo|low_order_ablation_parser_or_role_slots|minute_execution_capacity,RUN_PHASE3L_E_DEEP_TEST_BATCH
s54_cluster_007,phase3k_b_fresh:s54_cluster_007,True,A,True,DAILY_PROXY_PASS__DEEP_TESTS_PENDING,HOLD_KEEP_PROMOTION_PENDING_DEEP_TESTS,"CSRank(Mul(CSRank($close),ZScore(Mean(Abs(Delta($close,1)),20))))",formula_gen_v2_repair_expansion,Phase3K-B,1,6,$close,Abs|CSRank|Delta|Mean|Mul|ZScore,0.098279,3.080926,25480245.859,False,MISSING_REPLAY_TEST,MISSING_REPLAY_TEST,QUEUE_READY,QUEUE_READY,MISSING_MINUTE_DATA,subperiod_stability_replay|regime_bucket_replay|sign_flip_placebo|low_order_ablation|minute_execution_capacity,RUN_PHASE3L_E_DEEP_TEST_BATCH
s52_cluster_012,phase3k_b_fresh:s52_cluster_012,True,A,True,DAILY_PROXY_PASS__DEEP_TESTS_PENDING,HOLD_KEEP_PROMOTION_PENDING_DEEP_TESTS,"CSRank(Mul(ZScore(Mean(Abs($close),8)),ZScore(Mean(Abs($close),2))))",r0_cem_led,Phase3K-B,1,5,$close,Abs|CSRank|Mean|Mul|ZScore,0.146011,2.555187,31496725.0,True,MISSING_REPLAY_TEST,MISSING_REPLAY_TEST,QUEUE_READY,QUEUE_READY,MISSING_MINUTE_DATA,subperiod_stability_replay|regime_bucket_replay|sign_flip_placebo|low_order_ablation|minute_execution_capacity,RUN_PHASE3L_E_DEEP_TEST_BATCH
s52_cluster_011,phase3k_b_fresh:s52_cluster_011,True,A,True,DAILY_PROXY_PASS__DEEP_TESTS_PENDING,HOLD_KEEP_PROMOTION_PENDING_DEEP_TESTS,"CSRank(Mul(ZScore(Mean($close,34)),ZScore(Mean($final_float_market_cap,5))))",r0_cem_led,Phase3K-B,2,4,$close|$final_float_market_cap,CSRank|Mean|Mul|ZScore,0.028193,2.283187,118609766.952,True,MISSING_REPLAY_TEST,MISSING_REPLAY_TEST,QUEUE_READY,QUEUE_READY,MISSING_MINUTE_DATA,subperiod_stability_replay|regime_bucket_replay|sign_flip_placebo|low_order_ablation|minute_execution_capacity,RUN_PHASE3L_E_DEEP_TEST_BATCH
s53_cluster_005,phase3k_b_fresh:s53_cluster_005,True,A,True,DAILY_PROXY_PASS__DEEP_TESTS_PENDING,HOLD_KEEP_PROMOTION_PENDING_DEEP_TESTS,"CSRank(Mul(Neg(Neg(CSRank($close))),ZScore(Mean(Abs(Delta($close,1)),20))))",formula_gen_v2_repair_expansion,Phase3K-B,1,7,$close,Abs|CSRank|Delta|Mean|Mul|Neg|ZScore,0.098279,3.080926,25480245.859,True,MISSING_REPLAY_TEST,MISSING_REPLAY_TEST,QUEUE_READY,QUEUE_READY,MISSING_MINUTE_DATA,subperiod_stability_replay|regime_bucket_replay|sign_flip_placebo|low_order_ablation|minute_execution_capacity,RUN_PHASE3L_E_DEEP_TEST_BATCH
cluster_017,phase3j_locked:cluster_017,True,A,True,DAILY_PROXY_PASS__DEEP_TESTS_PENDING,HOLD_KEEP_PROMOTION_PENDING_DEEP_TESTS,"CSRank(Mul(Sign($vwap),Mul(CSRank($open),CSRank(Mean($amount,8)))))",agnostic_freeform_ast,Phase3J,3,4,$amount|$open|$vwap,CSRank|Mean|Mul|Sign,0.125839,2.098815,61115043.581,False,MISSING_REPLAY_TEST,MISSING_REPLAY_TEST,QUEUE_READY,QUEUE_READY,MISSING_MINUTE_DATA,subperiod_stability_replay|regime_bucket_replay|sign_flip_placebo|low_order_ablation|minute_execution_capacity,RUN_PHASE3L_E_DEEP_TEST_BATCH
