cluster_id,candidate_uid,source_lane,base_expression,test_type,test_expression,ablation_role,ablation_kind,expected_result
s51_cluster_002,phase3k_b_fresh:s51_cluster_002,formula_gen_v2_repair_expansion,"CSRank(Mul(CSRank(Mul(ZScore(Std($final_float_market_cap,8)),ZScore(Std($final_float_market_cap,21)))),ZScore(Mean(Abs(Delta($close,1)),20))))",low_order_ablation,"CSRank(CSRank(Mul(ZScore(Std($final_float_market_cap,8)),ZScore(Std($final_float_market_cap,21)))))",component_1,top_level_mul_component,full_formula_should_add_value_over_low_order_variant
s51_cluster_002,phase3k_b_fresh:s51_cluster_002,formula_gen_v2_repair_expansion,"CSRank(Mul(CSRank(Mul(ZScore(Std($final_float_market_cap,8)),ZScore(Std($final_float_market_cap,21)))),ZScore(Mean(Abs(Delta($close,1)),20))))",low_order_ablation,"CSRank(ZScore(Mean(Abs(Delta($close,1)),20)))",component_2,top_level_mul_component,full_formula_should_add_value_over_low_order_variant
cluster_014,phase3j_locked:cluster_014,formula_gen_v2_repair_expansion,"CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($final_float_market_cap,34))))",low_order_ablation,"CSRank(ZScore(Mean($close,8)))",component_1,top_level_mul_component,full_formula_should_add_value_over_low_order_variant
cluster_014,phase3j_locked:cluster_014,formula_gen_v2_repair_expansion,"CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($final_float_market_cap,34))))",low_order_ablation,"CSRank(ZScore(Mean($final_float_market_cap,34)))",component_2,top_level_mul_component,full_formula_should_add_value_over_low_order_variant
cluster_008,phase3j_locked:cluster_008,formula_gen_v2_repair_expansion,"CSRank(Mul(CSRank(Mul(ZScore($final_float_market_cap),ZScore($amount))),ZScore(Mean(Abs(Delta($close,1)),20))))",low_order_ablation,"CSRank(CSRank(Mul(ZScore($final_float_market_cap),ZScore($amount))))",component_1,top_level_mul_component,full_formula_should_add_value_over_low_order_variant
cluster_008,phase3j_locked:cluster_008,formula_gen_v2_repair_expansion,"CSRank(Mul(CSRank(Mul(ZScore($final_float_market_cap),ZScore($amount))),ZScore(Mean(Abs(Delta($close,1)),20))))",low_order_ablation,"CSRank(ZScore(Mean(Abs(Delta($close,1)),20)))",component_2,top_level_mul_component,full_formula_should_add_value_over_low_order_variant
s54_cluster_007,phase3k_b_fresh:s54_cluster_007,formula_gen_v2_repair_expansion,"CSRank(Mul(CSRank($close),ZScore(Mean(Abs(Delta($close,1)),20))))",low_order_ablation,CSRank(CSRank($close)),component_1,top_level_mul_component,full_formula_should_add_value_over_low_order_variant
s54_cluster_007,phase3k_b_fresh:s54_cluster_007,formula_gen_v2_repair_expansion,"CSRank(Mul(CSRank($close),ZScore(Mean(Abs(Delta($close,1)),20))))",low_order_ablation,"CSRank(ZScore(Mean(Abs(Delta($close,1)),20)))",component_2,top_level_mul_component,full_formula_should_add_value_over_low_order_variant
s52_cluster_012,phase3k_b_fresh:s52_cluster_012,r0_cem_led,"CSRank(Mul(ZScore(Mean(Abs($close),8)),ZScore(Mean(Abs($close),2))))",low_order_ablation,"CSRank(ZScore(Mean(Abs($close),8)))",component_1,top_level_mul_component,full_formula_should_add_value_over_low_order_variant
s52_cluster_012,phase3k_b_fresh:s52_cluster_012,r0_cem_led,"CSRank(Mul(ZScore(Mean(Abs($close),8)),ZScore(Mean(Abs($close),2))))",low_order_ablation,"CSRank(ZScore(Mean(Abs($close),2)))",component_2,top_level_mul_component,full_formula_should_add_value_over_low_order_variant
s52_cluster_011,phase3k_b_fresh:s52_cluster_011,r0_cem_led,"CSRank(Mul(ZScore(Mean($close,34)),ZScore(Mean($final_float_market_cap,5))))",low_order_ablation,"CSRank(ZScore(Mean($close,34)))",component_1,top_level_mul_component,full_formula_should_add_value_over_low_order_variant
s52_cluster_011,phase3k_b_fresh:s52_cluster_011,r0_cem_led,"CSRank(Mul(ZScore(Mean($close,34)),ZScore(Mean($final_float_market_cap,5))))",low_order_ablation,"CSRank(ZScore(Mean($final_float_market_cap,5)))",component_2,top_level_mul_component,full_formula_should_add_value_over_low_order_variant
s53_cluster_005,phase3k_b_fresh:s53_cluster_005,formula_gen_v2_repair_expansion,"CSRank(Mul(Neg(Neg(CSRank($close))),ZScore(Mean(Abs(Delta($close,1)),20))))",low_order_ablation,CSRank(Neg(Neg(CSRank($close)))),component_1,top_level_mul_component,full_formula_should_add_value_over_low_order_variant
s53_cluster_005,phase3k_b_fresh:s53_cluster_005,formula_gen_v2_repair_expansion,"CSRank(Mul(Neg(Neg(CSRank($close))),ZScore(Mean(Abs(Delta($close,1)),20))))",low_order_ablation,"CSRank(ZScore(Mean(Abs(Delta($close,1)),20)))",component_2,top_level_mul_component,full_formula_should_add_value_over_low_order_variant
cluster_017,phase3j_locked:cluster_017,agnostic_freeform_ast,"CSRank(Mul(Sign($vwap),Mul(CSRank($open),CSRank(Mean($amount,8)))))",low_order_ablation,CSRank(Sign($vwap)),component_1,top_level_mul_component,full_formula_should_add_value_over_low_order_variant
cluster_017,phase3j_locked:cluster_017,agnostic_freeform_ast,"CSRank(Mul(Sign($vwap),Mul(CSRank($open),CSRank(Mean($amount,8)))))",low_order_ablation,CSRank(CSRank($open)),component_2,top_level_mul_component,full_formula_should_add_value_over_low_order_variant
cluster_017,phase3j_locked:cluster_017,agnostic_freeform_ast,"CSRank(Mul(Sign($vwap),Mul(CSRank($open),CSRank(Mean($amount,8)))))",low_order_ablation,"CSRank(CSRank(Mean($amount,8)))",component_3,top_level_mul_component,full_formula_should_add_value_over_low_order_variant
cluster_017,phase3j_locked:cluster_017,agnostic_freeform_ast,"CSRank(Mul(Sign($vwap),Mul(CSRank($open),CSRank(Mean($amount,8)))))",low_order_ablation,"CSRank(Mul(CSRank($open),CSRank(Mean($amount,8))))",drop_component_1,leave_one_out_mul_component,full_formula_should_add_value_over_low_order_variant
cluster_017,phase3j_locked:cluster_017,agnostic_freeform_ast,"CSRank(Mul(Sign($vwap),Mul(CSRank($open),CSRank(Mean($amount,8)))))",low_order_ablation,"CSRank(Mul(Sign($vwap),CSRank(Mean($amount,8))))",drop_component_2,leave_one_out_mul_component,full_formula_should_add_value_over_low_order_variant
cluster_017,phase3j_locked:cluster_017,agnostic_freeform_ast,"CSRank(Mul(Sign($vwap),Mul(CSRank($open),CSRank(Mean($amount,8)))))",low_order_ablation,"CSRank(Mul(Sign($vwap),CSRank($open)))",drop_component_3,leave_one_out_mul_component,full_formula_should_add_value_over_low_order_variant
cluster_031,phase3j_locked:cluster_031,formula_gen_v2_repair_expansion,"CSRank(Mul(CSRank(CSResidual(CSRank(CSRank($close)),CSRank(Log($final_total_market_cap)))),ZScore(Mean(Abs(Delta($close,1)),20))))",low_order_ablation,"CSRank(CSRank(CSResidual(CSRank(CSRank($close)),CSRank(Log($final_total_market_cap)))))",component_1,top_level_mul_component,full_formula_should_add_value_over_low_order_variant
cluster_031,phase3j_locked:cluster_031,formula_gen_v2_repair_expansion,"CSRank(Mul(CSRank(CSResidual(CSRank(CSRank($close)),CSRank(Log($final_total_market_cap)))),ZScore(Mean(Abs(Delta($close,1)),20))))",low_order_ablation,"CSRank(ZScore(Mean(Abs(Delta($close,1)),20)))",component_2,top_level_mul_component,full_formula_should_add_value_over_low_order_variant
