candidate_id,source_lane,source_generator,factor_lane,expression,portfolio_replay_pass,cost_survives,cost_turnover_deployable,strict_cost_adjusted_sortino,strict_mean_rank_ic,portfolio_replay_long_short_sortino,portfolio_replay_avg_one_way_turnover
phase3aa_event_0245_cn_integrated_v2_rzrq_size_normalized_00306,cn_integrated_feature_layer,cn_integrated_factor_pack_v2,rzrq_size_normalized,"CSRank(Div($ctx_rzrq_rqjmg,Add(Abs($final_float_market_cap),0.000001)))",True,False,False,-3.626688,-0.022677,-3.75648,0.891923
phase3aa_event_0264_cn_integrated_v2_rzrq_size_normalized_00325,cn_integrated_feature_layer,cn_integrated_factor_pack_v2,rzrq_size_normalized,"CSRank(Div($ctx_rzrq_rzche,Add(Abs($amount),0.000001)))",True,True,False,2.091783,0.073659,20.333583,0.694942
phase3aa_event_0247_cn_integrated_v2_rzrq_size_normalized_00308,cn_integrated_feature_layer,cn_integrated_factor_pack_v2,rzrq_size_normalized,"CSRank(Div($ctx_rzrq_rqjmg10d,Add(Abs($final_float_market_cap),0.000001)))",True,False,False,-0.796928,-0.021165,-0.914024,0.419346
phase3aa_event_0275_cn_integrated_v2_rzrq_size_normalized_00336,cn_integrated_feature_layer,cn_integrated_factor_pack_v2,rzrq_size_normalized,"CSRank(Div($ctx_rzrq_rzjme3d,Add(Abs($final_float_market_cap),0.000001)))",True,False,False,-0.232152,-0.036487,-0.13048,0.62089
phase3aa_event_0279_cn_integrated_v2_rzrq_size_normalized_00340,cn_integrated_feature_layer,cn_integrated_factor_pack_v2,rzrq_size_normalized,"CSRank(Div($ctx_rzrq_rzmre,Add(Abs($final_float_market_cap),0.000001)))",False,True,False,0.351874,0.03106,2.719701,0.498166
phase3aa_event_0288_cn_integrated_v2_minute_amount_share_daily_00349,cn_integrated_feature_layer,cn_integrated_factor_pack_v2,minute_amount_share_daily,"CSRank(Div($m1_first30_amount,Add(Abs($amount),0.000001)))",True,False,False,-4.913875,-0.003866,-8.939376,0.959552
phase3aa_event_0259_cn_integrated_v2_rzrq_size_normalized_00320,cn_integrated_feature_layer,cn_integrated_factor_pack_v2,rzrq_size_normalized,"CSRank(Div($ctx_rzrq_rqmcl5d,Add(Abs($final_float_market_cap),0.000001)))",False,True,False,0.472194,-0.020836,-0.400562,0.318555
phase3aa_event_0249_cn_integrated_v2_rzrq_size_normalized_00310,cn_integrated_feature_layer,cn_integrated_factor_pack_v2,rzrq_size_normalized,"CSRank(Div($ctx_rzrq_rqjmg3d,Add(Abs($final_float_market_cap),0.000001)))",False,False,False,-0.47388,-0.002061,-0.555931,0.579617
phase3aa_event_0228_cn_integrated_v2_quality_x_rzrq_flow_00289,cn_integrated_feature_layer,cn_integrated_factor_pack_v2,quality_x_rzrq_flow,"CSRank(Mul(ZScore($ctx_fund_bs_cash_to_assets),ZScore($ctx_rzrq_rzjme)))",True,True,False,8.729872,-0.038064,11.236184,0.775
phase3aa_event_0274_cn_integrated_v2_rzrq_size_normalized_00335,cn_integrated_feature_layer,cn_integrated_factor_pack_v2,rzrq_size_normalized,"CSRank(Div($ctx_rzrq_rzjme10d,Add(Abs($amount),0.000001)))",True,False,False,-0.284136,-0.041763,-0.474229,0.470006
phase3aa_event_0280_cn_integrated_v2_rzrq_size_normalized_00341,cn_integrated_feature_layer,cn_integrated_factor_pack_v2,rzrq_size_normalized,"CSRank(Div($ctx_rzrq_rzmre,Add(Abs($amount),0.000001)))",True,True,False,2.353776,0.047929,,0.632935
phase3aa_event_0271_cn_integrated_v2_rzrq_size_normalized_00332,cn_integrated_feature_layer,cn_integrated_factor_pack_v2,rzrq_size_normalized,"CSRank(Div($ctx_rzrq_rzjme,Add(Abs($final_float_market_cap),0.000001)))",False,False,False,-3.621352,-0.028573,-3.615226,0.897218
phase3aa_event_0266_cn_integrated_v2_rzrq_size_normalized_00327,cn_integrated_feature_layer,cn_integrated_factor_pack_v2,rzrq_size_normalized,"CSRank(Div($ctx_rzrq_rzche10d,Add(Abs($amount),0.000001)))",True,True,False,0.0,0.109071,0.006785,0.602739
phase3aa_event_0251_cn_integrated_v2_rzrq_size_normalized_00312,cn_integrated_feature_layer,cn_integrated_factor_pack_v2,rzrq_size_normalized,"CSRank(Div($ctx_rzrq_rqjmg5d,Add(Abs($final_float_market_cap),0.000001)))",True,True,False,0.058917,-0.011812,-0.122452,0.514211
phase3aa_event_0262_cn_integrated_v2_rzrq_size_normalized_00323,cn_integrated_feature_layer,cn_integrated_factor_pack_v2,rzrq_size_normalized,"CSRank(Div($ctx_rzrq_rqye,Add(Abs($amount),0.000001)))",True,True,False,0.857478,0.006349,-0.803475,0.32691
phase3aa_event_0224_cn_integrated_v2_quality_x_rzrq_flow_00285,cn_integrated_feature_layer,cn_integrated_factor_pack_v2,quality_x_rzrq_flow,"CSRank(Mul(ZScore($ctx_fund_bs_cash_to_assets),ZScore($ctx_rzrq_rzche)))",False,False,False,0.0,0.004528,-0.750177,0.5
phase3aa_event_0278_cn_integrated_v2_rzrq_size_normalized_00339,cn_integrated_feature_layer,cn_integrated_factor_pack_v2,rzrq_size_normalized,"CSRank(Div($ctx_rzrq_rzjme5d,Add(Abs($amount),0.000001)))",True,True,False,14.959325,-0.030409,13.295636,0.56337
phase3aa_event_0253_cn_integrated_v2_rzrq_size_normalized_00314,cn_integrated_feature_layer,cn_integrated_factor_pack_v2,rzrq_size_normalized,"CSRank(Div($ctx_rzrq_rqmcl,Add(Abs($final_float_market_cap),0.000001)))",True,True,False,21.877665,-0.020617,-0.383331,0.573237
phase3aa_event_0281_cn_integrated_v2_minute_amount_share_daily_00342,cn_integrated_feature_layer,cn_integrated_factor_pack_v2,minute_amount_share_daily,"CSRank(Div($m1_amount_day,Add(Abs($amount),0.000001)))",True,False,False,-0.173779,0.049482,-0.038017,0.982627
