audited,cluster_ids,deployable_clusters,lane,raw_non_gap_pass,unique_return_corr_clusters
230,"['cluster_001', 'cluster_002', 'cluster_004', 'cluster_005', 'cluster_006', 'cluster_008', 'cluster_010', 'cluster_012', 'cluster_014', 'cluster_016', 'cluster_017', 'cluster_018', 'cluster_019', 'cluster_020', 'cluster_021', 'cluster_022', 'cluster_024', 'cluster_025', 'cluster_026', 'cluster_027', 'cluster_029', 'cluster_032', 'cluster_034', 'cluster_035', 'cluster_036', 'cluster_037', 'cluster_038', 'cluster_040', 'cluster_041', 'cluster_042', 'cluster_047', 'cluster_049', 'cluster_051', 'cluster_052', 'cluster_056', 'cluster_057', 'cluster_059', 'cluster_061', 'cluster_063', 'cluster_064', 'cluster_070', 'cluster_071', 'cluster_072', 'cluster_075', 'cluster_077', 'cluster_078', 'cluster_079', 'cluster_080', 'cluster_081', 'cluster_085', 'cluster_089', 'cluster_091', 'cluster_092', 'cluster_095', 'cluster_114', 'cluster_142', 'cluster_144', 'cluster_146', 'cluster_148', 'cluster_154', 'cluster_158', 'cluster_159', 'cluster_160', 'cluster_162', 'cluster_163', 'cluster_165', 'cluster_169', 'cluster_178', 'cluster_183', 'cluster_185', 'cluster_187', 'cluster_199', 'cluster_217', 'cluster_226', 'cluster_230', 'cluster_235', 'cluster_240', 'cluster_242', 'cluster_259']",79,agnostic_freeform_ast,223,148
146,"['cluster_001', 'cluster_009', 'cluster_015', 'cluster_039', 'cluster_050', 'cluster_053', 'cluster_056', 'cluster_062', 'cluster_072', 'cluster_093', 'cluster_096', 'cluster_106', 'cluster_109', 'cluster_143', 'cluster_145']",15,ast_failure_aware_repair,146,34
132,"['cluster_001', 'cluster_007', 'cluster_009', 'cluster_011', 'cluster_013', 'cluster_017', 'cluster_018', 'cluster_028', 'cluster_031', 'cluster_034', 'cluster_041', 'cluster_043', 'cluster_045', 'cluster_046', 'cluster_055', 'cluster_058']",16,formula_gen_v2_repair_expansion,132,26
496,"['cluster_001', 'cluster_009', 'cluster_015', 'cluster_030', 'cluster_033', 'cluster_034', 'cluster_039', 'cluster_043', 'cluster_045', 'cluster_046', 'cluster_048', 'cluster_055', 'cluster_056', 'cluster_057', 'cluster_063', 'cluster_066', 'cluster_067', 'cluster_068', 'cluster_072', 'cluster_076', 'cluster_083', 'cluster_086', 'cluster_088', 'cluster_089', 'cluster_098', 'cluster_100', 'cluster_106', 'cluster_108', 'cluster_115', 'cluster_123', 'cluster_125', 'cluster_126', 'cluster_130', 'cluster_132', 'cluster_133', 'cluster_137', 'cluster_144', 'cluster_147', 'cluster_152', 'cluster_153', 'cluster_155', 'cluster_156', 'cluster_164', 'cluster_166', 'cluster_171', 'cluster_172', 'cluster_179', 'cluster_181', 'cluster_184', 'cluster_197', 'cluster_204', 'cluster_205', 'cluster_209', 'cluster_213', 'cluster_228', 'cluster_234']",56,r0_cem_led,457,113
20,"['cluster_001', 'cluster_023', 'cluster_038', 'cluster_072', 'cluster_184', 'cluster_191', 'cluster_207']",7,replay_aware_residual,20,14
