ablation_arm,audited,deployable_clusters,raw_non_gap_pass,run_id,seed,top_cluster_id,top_cluster_share,unique_return_corr_clusters
Phase3G_G0_E0_stable,256,54,247,Phase3G_G0_E0_stable::g0,g0,cluster_001,0.182186,89
Phase3G_G1_E3_current_proxy,256,51,256,Phase3G_G1_E3_current_proxy::g1,g1,cluster_001,0.363281,66
Phase3G_G2_E3_signal_vector_diversified,256,67,242,Phase3G_G2_E3_signal_vector_diversified::g2,g2,cluster_001,0.049587,144
Phase3G_G3_E3_strong_signal_vector_proxy,256,54,233,Phase3G_G3_E3_strong_signal_vector_proxy::g3,g3,cluster_009,0.038627,136
