factor_lane,count,best_abs_aligned_ic,followup_count,future_wrong_lag_count
cem_interaction::rx_range_location::rx_opening_amount::spread,11,0.2108427141,0,11
cem_resample::rx_range_location::rx_flow_amount_volume::elite_spread_mean3,2,0.1928681638,0,2
cem_interaction::rx_intraday_return::rx_opening_amount::spread,5,0.1899244054,0,4
cem_interaction::rx_range_location::rx_opening_amount::signed_state,1,0.1806470249,0,1
cem_interaction::rx_intraday_return::rx_opening_amount::product,4,0.1742391511,0,3
cem_interaction::rx_range_location::rx_volatility_state::spread,2,0.1713269159,0,2
rx_interaction::rx_range_location::rx_range_location::spread,1,0.1708145569,0,1
rx_interaction::rx_range_location::rx_volatility_state::spread,1,0.1698970303,0,1
cem_interaction::rx_range_location::rx_range_location::spread,2,0.169032206,0,2
cem_resample::rx_range_location::rx_range_location::elite_spread_mean3,1,0.168452161,0,1
cem_resample::rx_range_location::rx_volatility_state::elite_spread_mean3,1,0.1668373548,0,1
cem_interaction::rx_intraday_return::rx_opening_amount::signed_state,10,0.1273686621,1,6
rx_interaction::rx_intraday_return::rx_range_location::spread,3,0.1054444847,0,2
cem_interaction::rx_intraday_return::rx_range_location::spread,4,0.1036335545,0,3
cem_interaction::rx_intraday_return::rx_flow_amount_volume::spread,1,0.101490293,1,0
rx_interaction::rx_intraday_return::rx_flow_amount_volume::spread,1,0.08261204351,1,0
rx_interaction::rx_range_location::rx_range_location::product,3,0.07416869903,0,0
cem_resample::rx_range_location::rx_range_location::elite_inverted_product,2,0.06994585629,0,0
rx_interaction::rx_intraday_return::rx_volatility_state::spread,1,0.06989103898,0,1
cem_atom::rx_volatility_state::rank,2,0.05254099283,0,2
cem_atom::rx_volatility_state::inverted,1,0.0489474093,0,1
cem_interaction::rx_opening_amount::rx_volatility_state::product,4,0.04837077798,0,1
cem_interaction::rx_opening_amount::rx_volatility_state::spread,1,0.04821955767,0,0
cem_interaction::rx_opening_range::rx_volatility_state::spread,1,0.04626366245,0,1
cem_interaction::rx_opening_amount::rx_range_location::signed_state,1,0.04362833416,0,0
rx_interaction::rx_range_location::rx_volatility_state::product,3,0.04158967647,0,0
rx_interaction::rx_intraday_return::rx_range_location::product,1,0.03454397731,0,1
cem_resample::rx_intraday_return::rx_flow_amount_volume::elite_inverted_product,3,0.03442978526,0,0
cem_interaction::rx_intraday_return::rx_flow_amount_volume::product,3,0.03362864882,0,1
cem_resample::rx_range_location::rx_volatility_state::elite_inverted_product,2,0.03345995792,0,0
cem_interaction::rx_intraday_return::rx_flow_amount_volume::signed_state,1,0.03243971856,0,0
cem_resample::rx_range_location::rx_flow_amount_volume::elite_inverted_product,1,0.03206199948,0,1
rx_interaction::rx_intraday_return::rx_flow_amount_volume::product,3,0.03174855653,0,0
cem_interaction::rx_opening_range::rx_volatility_state::signed_state,2,0.03172785205,0,2
cem_resample::rx_intraday_return::rx_range_location::elite_inverted_product,1,0.02964217879,0,1
cem_interaction::rx_opening_range::rx_range_location::spread,1,0.02883232105,0,0
cem_resample::rx_intraday_return::rx_flow_amount_volume::elite_delta_product,3,0.02718285601,0,3
cem_interaction::rx_opening_range::rx_flow_amount_volume::spread,1,0.02618705634,0,1
cem_interaction::rx_intraday_return::rx_range_location::signed_state,1,0.02503579431,0,1
cem_interaction::rx_range_location::rx_flow_amount_volume::product,2,0.02429763551,0,0
cem_interaction::rx_intraday_return::rx_volatility_state::signed_state,1,0.02392835953,0,0
cem_interaction::rx_opening_divergence::rx_flow_amount_volume::spread,1,0.02366637466,0,0
