split_id,book,regime_axis,regime_column,regime_bucket,train_start,train_end,oos_start,oos_end,train_days,train_mean_daily,train_ann_simple,train_ann_compound,train_sharpe,train_sortino,train_hit_rate,train_max_drawdown,train_total_return,oos_days,oos_mean_daily,oos_ann_simple,oos_ann_compound,oos_sharpe,oos_sortino,oos_hit_rate,oos_max_drawdown,oos_total_return,selected_by_train_rule
pre2025_train_to_2025h2_oos,oracle_diagnostic_3,liquidity,liquidity_ratio_lag1,liquidity_low,2020-01-01,2024-12-31,2025-07-01,2025-12-31,398,3.947e-05,0.009946,0.009995,0.056081,0.089773,0.505025,-0.23304171,-0.009063,38,0.00219462,0.553045,0.737486,2.729661,4.922436,0.526316,-0.04522311,0.083532,True
pre2025_train_to_2025h2_oos,oracle_diagnostic_3,breadth,up_ratio,breadth_mid,2020-01-01,2024-12-31,2025-07-01,2025-12-31,398,9.494e-05,0.023924,0.024211,0.132833,0.201884,0.520101,-0.31515292,0.012206,49,7.719e-05,0.019452,0.019641,0.082699,0.121773,0.510204,-0.11559921,-0.001605,True
2025h2_train_to_2026_oos,candidate_book_6,trend,trend_mean_lag1,trend_high,2025-07-01,2025-12-31,2026-01-01,2026-05-08,42,0.00238375,0.600704,0.822099,2.466047,2.953426,0.642857,-0.07610061,0.099681,24,-0.00015378,-0.038754,-0.038015,-0.148899,-0.287669,0.5,-0.06133498,-0.006896,True
2025h2_train_to_2026_oos,candidate_book_6,trend,trend_mean_lag1,trend_low,2025-07-01,2025-12-31,2026-01-01,2026-05-08,42,0.0018483,0.465771,0.592557,1.7328,2.772974,0.547619,-0.08626009,0.07417,35,0.00410823,1.035274,1.809913,4.282295,9.108274,0.6,-0.0472475,0.149667,True
2025h2_train_to_2026_oos,research_pool_9,trend,trend_mean_lag1,trend_high,2025-07-01,2025-12-31,2026-01-01,2026-05-08,42,0.00243466,0.613535,0.845573,2.424871,2.957764,0.642857,-0.07895381,0.101596,24,0.00015147,0.038171,0.038906,0.136649,0.275936,0.541667,-0.05848987,-8.5e-05,True
2025h2_train_to_2026_oos,research_pool_9,trend,trend_mean_lag1,trend_low,2025-07-01,2025-12-31,2026-01-01,2026-05-08,42,0.00191607,0.482849,0.619937,1.719389,2.710863,0.52381,-0.09520226,0.076633,35,0.00434483,1.094897,1.981794,4.212275,7.930366,0.571429,-0.05487434,0.158456,True
2025h2_train_to_2026_oos,oracle_diagnostic_3,trend,trend_mean_lag1,trend_high,2025-07-01,2025-12-31,2026-01-01,2026-05-08,42,0.0028482,0.717747,1.047719,3.618966,4.148057,0.690476,-0.05524645,0.123174,24,0.00106922,0.269442,0.309045,1.104012,2.73943,0.583333,-0.0436127,0.023078,True
2025h2_train_to_2026_oos,oracle_diagnostic_3,trend,trend_mean_lag1,trend_low,2025-07-01,2025-12-31,2026-01-01,2026-05-08,42,0.00197495,0.497688,0.644107,1.949886,3.057745,0.52381,-0.08497043,0.080525,35,0.00377428,0.95112,1.583976,4.111663,8.813855,0.542857,-0.04323956,0.13675,True
2025h2_train_to_2026_oos,candidate_book_6,volatility,volatility_lag1,volatility_high,2025-07-01,2025-12-31,2026-01-01,2026-05-08,42,0.00337704,0.851015,1.338667,3.073692,5.004774,0.595238,-0.05610394,0.14482,47,0.00435891,1.098445,1.992347,4.638562,10.145345,0.574468,-0.04994616,0.220477,True
2025h2_train_to_2026_oos,candidate_book_6,volatility,volatility_lag1,volatility_low,2025-07-01,2025-12-31,2026-01-01,2026-05-08,42,0.00303193,0.764047,1.144467,4.107822,9.36762,0.571429,-0.03465731,0.132345,14,0.00054519,0.137387,0.147229,0.605273,0.955775,0.571429,-0.03681679,0.006217,True
2025h2_train_to_2026_oos,research_pool_9,volatility,volatility_lag1,volatility_high,2025-07-01,2025-12-31,2026-01-01,2026-05-08,42,0.00365982,0.922275,1.510775,3.166114,5.165181,0.571429,-0.06024691,0.157668,47,0.00453164,1.141973,2.124871,4.488968,9.102076,0.553191,-0.06162773,0.229398,True
