split_id,book,train_start,train_end,oos_start,oos_end,train_days,train_mean_daily,train_ann_simple,train_ann_compound,train_sharpe,train_sortino,train_hit_rate,train_max_drawdown,train_total_return,oos_days,oos_mean_daily,oos_ann_simple,oos_ann_compound,oos_sharpe,oos_sortino,oos_hit_rate,oos_max_drawdown,oos_total_return
pre2025_train_to_2025h2_oos,candidate_book_6,2020-01-01,2024-12-31,2025-07-01,2025-12-31,1204,-0.00117029,-0.294914,-0.255533,-1.401538,-2.05269,0.469269,-0.8180469,-0.780429,126,0.00107099,0.269888,0.309629,1.06907,1.583677,0.555556,-0.15009484,0.126276
pre2025_train_to_2025h2_oos,research_pool_9,2020-01-01,2024-12-31,2025-07-01,2025-12-31,1204,-0.00125747,-0.316882,-0.271728,-1.444932,-2.136533,0.467608,-0.83101062,-0.804136,126,0.00114291,0.288013,0.333555,1.092247,1.617801,0.539683,-0.15940497,0.13487
pre2025_train_to_2025h2_oos,oracle_diagnostic_3,2020-01-01,2024-12-31,2025-07-01,2025-12-31,1190,-0.00068958,-0.173773,-0.159563,-0.907983,-1.371547,0.469748,-0.66248595,-0.596495,126,0.00140057,0.352943,0.422898,1.571394,2.337205,0.547619,-0.11900311,0.177897
2025h2_train_to_2026_oos,candidate_book_6,2025-07-01,2025-12-31,2026-01-01,2026-05-08,126,0.00107099,0.269888,0.309629,1.06907,1.583677,0.555556,-0.15009484,0.126276,78,0.00217568,0.548272,0.729231,2.219926,4.391617,0.538462,-0.10425684,0.173653
2025h2_train_to_2026_oos,research_pool_9,2025-07-01,2025-12-31,2026-01-01,2026-05-08,126,0.00114291,0.288013,0.333555,1.092247,1.617801,0.539683,-0.15940497,0.13487,78,0.00243765,0.614288,0.846958,2.302436,4.253534,0.538462,-0.11058904,0.195939
2025h2_train_to_2026_oos,oracle_diagnostic_3,2025-07-01,2025-12-31,2026-01-01,2026-05-08,126,0.00140057,0.352943,0.422898,1.571394,2.337205,0.547619,-0.11900311,0.177897,78,0.00253851,0.639705,0.894385,2.759306,5.596472,0.551282,-0.07887692,0.208627
