candidate_id,child_cluster,child_expression,complexity_delta,corr_to_parent,deployable,escaped_cluster,parent_cluster,parent_expression,repair_policy,seed,source_failure_reasons,turnover_delta
phase3repair-failure_detail-operator_sanitize-40cea808a831,cluster_002,"CSRank(Sub(Mean($amount,8),Mean($amount,5)))",-2,0.545136,True,True,cluster_137,"Neg(CSRank(Div(Mean($amount,5),Mean($amount,21))))",operator_sanitize,Phase3E_E0_D3_primary,corr_duplicate|operator_pathology,
phase3repair-failure_detail-operator_sanitize-21278bb98e10,cluster_005,"CSRank(Sub(Mean($close,11),Mean($close,8)))",-4,-0.360611,False,True,cluster_006,"CSRank(CSResidual(CSRank(Mom($close,5)),CSRank(Log($final_float_market_cap))))",operator_sanitize,Phase3E_E0_D3_primary,subperiod_instability|operator_pathology,
phase3repair-failure_detail-operator_sanitize-60c2dfc8a49e,cluster_006,"CSRank(Sub(Mean($close,6),Mean($close,3)))",-26,0.078301,True,True,cluster_155,"CSRank(Mul(ZScore(Sub(Mom($close,1),Mom($close,2))),ZScore(Div(Sub(Mean($high,2),Mean($low,2)),Add(Abs(Mean($close,2)),0.000001)))))",operator_sanitize,Phase3E_E0_D3_primary,turnover_too_high|subperiod_instability|complexity_overfit|operator_pathology|field_pathology,
phase3repair-failure_detail-duplicate_escape-3eeef96196ea,cluster_001,"CSRank(Mean($open,8))",-13,-0.013633,True,True,cluster_156,"CSRank(ZScore(Div(Sub($open,Mean($vwap,5)),Mean(Abs($ret),5))))",duplicate_escape,Phase3E_E0_D3_primary,corr_duplicate|subperiod_instability|operator_pathology|field_pathology,
phase3repair-failure_detail-duplicate_escape-138e5ec9364e,cluster_001,"CSRank(Mean($close,21))",-2,-0.119062,True,True,cluster_075,"Neg(CSRank(Mom($close,34)))",duplicate_escape,Phase3E_E0_D3_primary,corr_duplicate,
phase3repair-failure_detail-duplicate_escape-b507e0608e22,cluster_001,"CSRank(Mean($close,8))",1,-0.999063,True,False,cluster_001,Neg(CSRank($close)),duplicate_escape,Phase3E_E0_D3_primary,corr_duplicate|subperiod_instability,
phase3repair-failure_detail-duplicate_escape-6a69c0324828,cluster_056,"CSRank(Mul(ZScore(Mean($open,8)),ZScore(Delta($vwap,11))))",-1,-0.015107,True,True,cluster_156,"CSRank(Div(Sub($open,Mean($vwap,5)),Mean(Abs($ret),5)))",duplicate_escape,Phase3E_E0_D3_primary,subperiod_instability|operator_pathology|field_pathology,
phase3repair-failure_detail-duplicate_escape-d66d7015485e,cluster_063,"CSRank(Mul(ZScore(Mean($close,5)),ZScore(Delta($close,8))))",7,-0.086681,True,True,cluster_157,"CSRank(ZScore(Mom($close,4)))",duplicate_escape,Phase3E_E0_D3_primary,corr_duplicate|subperiod_instability,
phase3repair-failure_detail-duplicate_escape-962c2202831a,cluster_056,"CSRank(Mul(ZScore(Mean($close,8)),ZScore(Delta($close,11))))",9,-0.127313,True,True,cluster_124,"CSRank(Std($close,5))",duplicate_escape,Phase3E_E0_D3_primary,corr_duplicate|subperiod_instability,
phase3repair-failure_detail-operator_sanitize-09dbe3db23dd,cluster_005,"CSRank(Sub(Mean($close,11),Mean($close,8)))",-21,-0.213473,False,True,cluster_157,"CSRank(CSResidual(CSRank(Div(Sub(Delay($close,1),Mean($low,5)),Sub(Mean($high,5),Mean($low,5)))),CSRank(Log($final_float_market_cap))))",operator_sanitize,Phase3E_E1_D3_plus_D2_sidecar,subperiod_instability|operator_pathology|field_pathology,
phase3repair-failure_detail-operator_sanitize-6c082ccd4179,cluster_006,"CSRank(Sub(Mean($close,6),Mean($close,3)))",-12,0.061066,True,True,cluster_158,"CSRank(CSResidual(CSRank(Div(Sub($open,Delay($close,1)),Delay($close,1))),CSRank(Log($final_total_market_cap))))",operator_sanitize,Phase3E_E1_D3_plus_D2_sidecar,gap_dependency|turnover_too_high|operator_pathology|field_pathology,
phase3repair-failure_detail-duplicate_escape-aa71af42dcd9,cluster_001,"CSRank(Mean($open,5))",-13,-0.044366,True,True,cluster_159,"CSRank(ZScore(Div(Sub($open,Mean($vwap,1)),Mean(Abs($ret),3))))",duplicate_escape,Phase3E_E1_D3_plus_D2_sidecar,turnover_too_high|corr_duplicate|operator_pathology|field_pathology,
phase3repair-failure_detail-duplicate_escape-9e55c11829d5,cluster_001,"CSRank(Mean($close,8))",-26,0.004447,True,True,cluster_157,"CSRank(CSResidual(CSRank(Div(Sub(Delay($close,1),Mean($low,5)),Sub(Mean($high,5),Mean($low,5)))),CSRank(Log($final_float_market_cap))))",duplicate_escape,Phase3E_E1_D3_plus_D2_sidecar,subperiod_instability|operator_pathology|field_pathology,
phase3repair-failure_detail-duplicate_escape-eefe941020ee,cluster_001,"CSRank(Mean($close,3))",-33,0.005015,True,True,cluster_160,"CSRank(Mul(ZScore(Div(Sub($open,Delay($close,1)),Add(Abs(Delay($close,1)),0.000001))),ZScore(Div(Mean($amount,1),Add(Abs(Mean($amount,2)),0.000001)))))",duplicate_escape,Phase3E_E1_D3_plus_D2_sidecar,gap_dependency|turnover_too_high|subperiod_instability|complexity_overfit|operator_pathology|field_pathology,
phase3repair-failure_detail-duplicate_escape-23408a23f21e,cluster_001,"CSRank(Mean($high,3))",-16,0.010717,True,True,cluster_161,"Neg(CSRank(Div(Sub($open,Mean($low,1)),Sub(Mean($high,1),Mean($low,1)))))",duplicate_escape,Phase3E_E1_D3_plus_D2_sidecar,turnover_too_high|corr_duplicate|subperiod_instability|operator_pathology|field_pathology,
phase3repair-failure_detail-duplicate_escape-c9a8a1a3ef5b,cluster_001,"CSRank(Mean($open,3))",-17,-0.030116,True,True,cluster_162,"CSRank(ZScore(CSRank(ZScore(Div(Sub($open,Mean($vwap,2)),Mean(Abs($ret),2))))))",duplicate_escape,Phase3E_E1_D3_plus_D2_sidecar,turnover_too_high|corr_duplicate|operator_pathology|field_pathology,
phase3repair-failure_detail-operator_sanitize-8fb17dfd7ee6,cluster_012,"CSRank(Sub(Mean($close,8),Mean($close,5)))",3,-0.504825,True,True,cluster_157,"CSRank(ZScore(Mom($close,4)))",operator_sanitize,Phase3E_E1_D3_plus_D2_sidecar,corr_duplicate|subperiod_instability,
phase3repair-failure_detail-operator_sanitize-86ef4cef4042,cluster_001,"CSRank(Mean(Abs(Delta($close,1)),3))",-16,-0.209006,True,True,cluster_163,"Neg(CSRank(Div(Sub($close,Mean($low,21)),Add(Abs(Sub(Mean($high,21),Mean($low,21))),0.000001))))",operator_sanitize,Phase3E_E1_D3_plus_D2_sidecar,operator_pathology|field_pathology,
phase3repair-failure_detail-operator_sanitize-773ea8a85798,cluster_001,"CSRank(Mean(Abs(Delta($close,1)),13))",6,-0.918011,True,False,cluster_001,Neg(CSRank($close)),operator_sanitize,Phase3E_E1_D3_plus_D2_sidecar,corr_duplicate|subperiod_instability,
phase3repair-failure_detail-operator_sanitize-847125cd4743,cluster_002,"CSRank(Sub(Mean($amount,8),Mean($amount,5)))",-4,0.062533,True,True,cluster_164,"CSRank(Neg(CSRank(Div(Mean($amount,2),Mean($amount,3)))))",operator_sanitize,Phase3E_E2_D3_deployability_hardened,turnover_too_high|subperiod_instability|operator_pathology,
