audited,cluster_ids,deployable_clusters,lane,raw_non_gap_pass,unique_return_corr_clusters
197,"['cluster_001', 'cluster_004', 'cluster_011', 'cluster_013', 'cluster_016', 'cluster_018', 'cluster_019', 'cluster_020', 'cluster_021', 'cluster_022', 'cluster_023', 'cluster_024', 'cluster_028', 'cluster_031', 'cluster_033', 'cluster_034', 'cluster_038', 'cluster_039', 'cluster_040', 'cluster_043', 'cluster_044', 'cluster_046', 'cluster_047', 'cluster_048', 'cluster_051', 'cluster_053', 'cluster_055', 'cluster_060', 'cluster_062', 'cluster_065', 'cluster_066', 'cluster_067', 'cluster_074', 'cluster_075', 'cluster_078']",35,agnostic_freeform_ast,150,45
162,"['cluster_001', 'cluster_002', 'cluster_006', 'cluster_012', 'cluster_014', 'cluster_056', 'cluster_063']",7,ast_failure_aware_repair,160,8
145,"['cluster_001', 'cluster_006', 'cluster_007', 'cluster_010', 'cluster_015', 'cluster_019', 'cluster_030', 'cluster_045', 'cluster_050']",9,formula_gen_v2_repair_expansion,115,14
504,"['cluster_001', 'cluster_006', 'cluster_007', 'cluster_009', 'cluster_021', 'cluster_025', 'cluster_027', 'cluster_033', 'cluster_035', 'cluster_036', 'cluster_047', 'cluster_054', 'cluster_057', 'cluster_059', 'cluster_064', 'cluster_070', 'cluster_073', 'cluster_076', 'cluster_079', 'cluster_082', 'cluster_084', 'cluster_088', 'cluster_089', 'cluster_090']",24,r0_cem_led,182,38
16,"['cluster_001', 'cluster_021']",2,replay_aware_residual,8,3
