ablation_arm,audited,deployable_clusters,raw_non_gap_pass,run_id,seed,top_cluster_id,top_cluster_share,unique_return_corr_clusters
Phase3E_E0_D3_primary,256,25,119,Phase3E_E0_D3_primary::Phase3E_E0_D3_primary,Phase3E_E0_D3_primary,cluster_001,0.361345,33
Phase3E_E1_D3_plus_D2_sidecar,256,26,166,Phase3E_E1_D3_plus_D2_sidecar::Phase3E_E1_D3_plus_D2_sidecar,Phase3E_E1_D3_plus_D2_sidecar,cluster_001,0.493976,38
Phase3E_E2_D3_deployability_hardened,256,25,170,Phase3E_E2_D3_deployability_hardened::Phase3E_E2_D3_deployability_hardened,Phase3E_E2_D3_deployability_hardened,cluster_001,0.476471,36
Phase3E_E3_D3_book_marginal,256,30,160,Phase3E_E3_D3_book_marginal::Phase3E_E3_D3_book_marginal,Phase3E_E3_D3_book_marginal,cluster_001,0.55,43
