shard,attempt,attempt_dir,summary_path,rows_path,rows_exists,decision,error_count,input_candidate_count,evaluated_candidate_count,memory_hit_count,panel_rows,panel_codes,evaluated_trade_time_count,original_trade_time_count,panel_read_column_count,expression_field_count,lazy_sidecar_enabled,lazy_loaded_field_count,_mtime
shard_00,shard_00_as_v1,G:\Project_V7_Rotation\alpha_pit_data_feature_workspace_20260531\runtime\phase3azb_company_opening_window_corrected_20260612\shard_00_as_v1,G:\Project_V7_Rotation\alpha_pit_data_feature_workspace_20260531\runtime\phase3azb_company_opening_window_corrected_20260612\shard_00_as_v1\phase3as_true_1min_sidecar_canary_eval_summary.json,G:\Project_V7_Rotation\alpha_pit_data_feature_workspace_20260531\runtime\phase3azb_company_opening_window_corrected_20260612\shard_00_as_v1\phase3as_true_1min_sidecar_canary_eval_rows.csv,True,PHASE3AS_TRUE_1MIN_SIDECAR_CANARY_EVAL_COMPLETE,0,144,144,0,775781,340,2400,58563,33,24,True,0,1781262772.9398253
shard_01,shard_01_as_v1,G:\Project_V7_Rotation\alpha_pit_data_feature_workspace_20260531\runtime\phase3azb_company_opening_window_corrected_20260612\shard_01_as_v1,G:\Project_V7_Rotation\alpha_pit_data_feature_workspace_20260531\runtime\phase3azb_company_opening_window_corrected_20260612\shard_01_as_v1\phase3as_true_1min_sidecar_canary_eval_summary.json,G:\Project_V7_Rotation\alpha_pit_data_feature_workspace_20260531\runtime\phase3azb_company_opening_window_corrected_20260612\shard_01_as_v1\phase3as_true_1min_sidecar_canary_eval_rows.csv,True,PHASE3AS_TRUE_1MIN_SIDECAR_CANARY_EVAL_COMPLETE,0,144,144,0,778939,340,2400,58563,33,24,True,0,1781262774.9638417
shard_02,shard_02_as_v1,G:\Project_V7_Rotation\alpha_pit_data_feature_workspace_20260531\runtime\phase3azb_company_opening_window_corrected_20260612\shard_02_as_v1,G:\Project_V7_Rotation\alpha_pit_data_feature_workspace_20260531\runtime\phase3azb_company_opening_window_corrected_20260612\shard_02_as_v1\phase3as_true_1min_sidecar_canary_eval_summary.json,G:\Project_V7_Rotation\alpha_pit_data_feature_workspace_20260531\runtime\phase3azb_company_opening_window_corrected_20260612\shard_02_as_v1\phase3as_true_1min_sidecar_canary_eval_rows.csv,True,PHASE3AS_TRUE_1MIN_SIDECAR_CANARY_EVAL_COMPLETE,0,144,144,0,771422,340,2400,58563,33,24,True,0,1781262776.8763256
shard_03,shard_03_as_v1,G:\Project_V7_Rotation\alpha_pit_data_feature_workspace_20260531\runtime\phase3azb_company_opening_window_corrected_20260612\shard_03_as_v1,G:\Project_V7_Rotation\alpha_pit_data_feature_workspace_20260531\runtime\phase3azb_company_opening_window_corrected_20260612\shard_03_as_v1\phase3as_true_1min_sidecar_canary_eval_summary.json,G:\Project_V7_Rotation\alpha_pit_data_feature_workspace_20260531\runtime\phase3azb_company_opening_window_corrected_20260612\shard_03_as_v1\phase3as_true_1min_sidecar_canary_eval_rows.csv,True,PHASE3AS_TRUE_1MIN_SIDECAR_CANARY_EVAL_COMPLETE,0,144,144,0,770948,340,2400,58563,33,24,True,0,1781262778.691956
shard_04,shard_04_as_v1,G:\Project_V7_Rotation\alpha_pit_data_feature_workspace_20260531\runtime\phase3azb_company_opening_window_corrected_20260612\shard_04_as_v1,G:\Project_V7_Rotation\alpha_pit_data_feature_workspace_20260531\runtime\phase3azb_company_opening_window_corrected_20260612\shard_04_as_v1\phase3as_true_1min_sidecar_canary_eval_summary.json,G:\Project_V7_Rotation\alpha_pit_data_feature_workspace_20260531\runtime\phase3azb_company_opening_window_corrected_20260612\shard_04_as_v1\phase3as_true_1min_sidecar_canary_eval_rows.csv,True,PHASE3AS_TRUE_1MIN_SIDECAR_CANARY_EVAL_COMPLETE,0,144,144,0,768669,340,2400,58563,33,24,True,0,1781262780.629664
shard_05,shard_05_as_v1,G:\Project_V7_Rotation\alpha_pit_data_feature_workspace_20260531\runtime\phase3azb_company_opening_window_corrected_20260612\shard_05_as_v1,G:\Project_V7_Rotation\alpha_pit_data_feature_workspace_20260531\runtime\phase3azb_company_opening_window_corrected_20260612\shard_05_as_v1\phase3as_true_1min_sidecar_canary_eval_summary.json,G:\Project_V7_Rotation\alpha_pit_data_feature_workspace_20260531\runtime\phase3azb_company_opening_window_corrected_20260612\shard_05_as_v1\phase3as_true_1min_sidecar_canary_eval_rows.csv,True,PHASE3AS_TRUE_1MIN_SIDECAR_CANARY_EVAL_COMPLETE,0,144,144,0,777615,340,2400,58563,33,24,True,0,1781262782.7463403
shard_06,shard_06_as_v1,G:\Project_V7_Rotation\alpha_pit_data_feature_workspace_20260531\runtime\phase3azb_company_opening_window_corrected_20260612\shard_06_as_v1,G:\Project_V7_Rotation\alpha_pit_data_feature_workspace_20260531\runtime\phase3azb_company_opening_window_corrected_20260612\shard_06_as_v1\phase3as_true_1min_sidecar_canary_eval_summary.json,G:\Project_V7_Rotation\alpha_pit_data_feature_workspace_20260531\runtime\phase3azb_company_opening_window_corrected_20260612\shard_06_as_v1\phase3as_true_1min_sidecar_canary_eval_rows.csv,True,PHASE3AS_TRUE_1MIN_SIDECAR_CANARY_EVAL_COMPLETE,0,144,144,0,774707,340,2400,58563,33,24,True,0,1781262784.807219
shard_07,shard_07_as_v1,G:\Project_V7_Rotation\alpha_pit_data_feature_workspace_20260531\runtime\phase3azb_company_opening_window_corrected_20260612\shard_07_as_v1,G:\Project_V7_Rotation\alpha_pit_data_feature_workspace_20260531\runtime\phase3azb_company_opening_window_corrected_20260612\shard_07_as_v1\phase3as_true_1min_sidecar_canary_eval_summary.json,G:\Project_V7_Rotation\alpha_pit_data_feature_workspace_20260531\runtime\phase3azb_company_opening_window_corrected_20260612\shard_07_as_v1\phase3as_true_1min_sidecar_canary_eval_rows.csv,True,PHASE3AS_TRUE_1MIN_SIDECAR_CANARY_EVAL_COMPLETE,0,144,144,0,780609,340,2400,58563,33,24,True,0,1781262786.9383647
shard_08,shard_08_as_v1,G:\Project_V7_Rotation\alpha_pit_data_feature_workspace_20260531\runtime\phase3azb_company_opening_window_corrected_20260612\shard_08_as_v1,G:\Project_V7_Rotation\alpha_pit_data_feature_workspace_20260531\runtime\phase3azb_company_opening_window_corrected_20260612\shard_08_as_v1\phase3as_true_1min_sidecar_canary_eval_summary.json,G:\Project_V7_Rotation\alpha_pit_data_feature_workspace_20260531\runtime\phase3azb_company_opening_window_corrected_20260612\shard_08_as_v1\phase3as_true_1min_sidecar_canary_eval_rows.csv,True,PHASE3AS_TRUE_1MIN_SIDECAR_CANARY_EVAL_COMPLETE,0,144,144,0,776402,340,2400,58563,33,24,True,0,1781262789.0317366
shard_09,shard_09_as_v1,G:\Project_V7_Rotation\alpha_pit_data_feature_workspace_20260531\runtime\phase3azb_company_opening_window_corrected_20260612\shard_09_as_v1,G:\Project_V7_Rotation\alpha_pit_data_feature_workspace_20260531\runtime\phase3azb_company_opening_window_corrected_20260612\shard_09_as_v1\phase3as_true_1min_sidecar_canary_eval_summary.json,G:\Project_V7_Rotation\alpha_pit_data_feature_workspace_20260531\runtime\phase3azb_company_opening_window_corrected_20260612\shard_09_as_v1\phase3as_true_1min_sidecar_canary_eval_rows.csv,True,PHASE3AS_TRUE_1MIN_SIDECAR_CANARY_EVAL_COMPLETE,0,144,144,0,774197,340,2400,58563,33,24,True,0,1781262791.4503355
