selection_index,candidate_id,source_lane,source_generator,status,field_count,fields,field_sources,missing_after_join,blocked_fields,expression
0,phase3repair-failure_detail-duplicate_escape-7e210d77983c,legacy_unknown,,join_executable,1,close,close:base_replay,,,"CSRank(Mean($close,34))"
1,stockpit-template-3640ff7d560d,legacy_unknown,,join_executable,1,close,close:base_replay,,,CSRank($close)
2,agnostic-freeform-042e30be7cdf,legacy_unknown,,join_executable,3,close|volume|final_float_market_cap,close:base_replay|volume:base_replay|final_float_market_cap:base_replay,,,"CSRank(Mul(CSRank(Mean($close,8)),Corr(Mean($volume,3),Std($final_float_market_cap,13),8)))"
3,agnostic-freeform-2853176b2b50,legacy_unknown,,join_executable,3,final_float_market_cap|high|open,final_float_market_cap:base_replay|high:base_replay|open:base_replay,,,"CSRank(Mul(CSRank(Std($final_float_market_cap,34)),Mul(ZScore(Std($high,21)),Sign(Mean($open,5)))))"
4,agnostic-freeform-551385e7478d,legacy_unknown,,join_executable,2,high|vwap,high:base_replay|vwap:derivable,,,"CSRank(Mul(CSRank(Std($high,34)),Mul(ZScore($vwap),Sign(Std($high,13)))))"
5,agnostic-freeform-806d5235bba6,legacy_unknown,,join_executable,2,vwap|volume,vwap:derivable|volume:base_replay,,,"CSRank(Sub(CSRank(Mom($vwap,34)),ZScore(Std($volume,3))))"
6,stockpit-cem_adaptive_grammar-2cd6edb62448,legacy_unknown,,join_executable,1,final_float_market_cap,final_float_market_cap:base_replay,,,"Neg(CSRank(Delta($final_float_market_cap,5)))"
7,fgv2-repair-nonlinearize-69d3d3bbf5,legacy_unknown,,join_executable,2,final_float_market_cap|close,final_float_market_cap:base_replay|close:base_replay,,,"CSRank(Mul(Sign(ZScore(CSRank(Mul(ZScore($final_float_market_cap),ZScore($close))))),Mul(ZScore(CSRank(Mul(ZScore($final_float_market_cap),ZScore($close)))),ZScore(CSRank(Mul(ZScore($final_float_market_cap),ZScore($close)))))))"
8,phase3aa_event_0197_cn_integrated_v1_rzrq_direct_rank_zrank_00197,cn_integrated_feature_layer,cn_integrated_factor_pack_v1,join_executable,1,ctx_rzrq_rzche3d,ctx_rzrq_rzche3d:nonminute_panel,,,CSRank(ZScore($ctx_rzrq_rzche3d))
9,stockpit-cem_adaptive_grammar-ad335fa8387e,legacy_unknown,,join_executable,2,amount|final_float_market_cap,amount:base_replay|final_float_market_cap:base_replay,,,"Neg(CSRank(Mul(ZScore(Delta($amount,8)),ZScore(Delta($final_float_market_cap,2)))))"
10,agnostic-freeform-a7ad8beeeacf,legacy_unknown,,join_executable,2,final_total_market_cap|vwap,final_total_market_cap:base_replay|vwap:derivable,,,"CSRank(Add(CSRank(Mom($final_total_market_cap,13)),CSRank(Mean($vwap,8))))"
11,phase3aa_event_0196_cn_integrated_v1_rzrq_direct_rank_00196,cn_integrated_feature_layer,cn_integrated_factor_pack_v1,join_executable,1,ctx_rzrq_rzche3d,ctx_rzrq_rzche3d:nonminute_panel,,,CSRank($ctx_rzrq_rzche3d)
12,phase3aa_event_0206_cn_integrated_v1_rzrq_direct_rank_00206,cn_integrated_feature_layer,cn_integrated_factor_pack_v1,join_executable,1,ctx_rzrq_rzjme5d,ctx_rzrq_rzjme5d:nonminute_panel,,,CSRank($ctx_rzrq_rzjme5d)
13,phase3aa_event_0210_cn_integrated_v1_rzrq_direct_rank_00210,cn_integrated_feature_layer,cn_integrated_factor_pack_v1,join_executable,1,ctx_rzrq_rzmre10d,ctx_rzrq_rzmre10d:nonminute_panel,,,CSRank($ctx_rzrq_rzmre10d)
14,phase3aa_event_0204_cn_integrated_v1_rzrq_direct_rank_00204,cn_integrated_feature_layer,cn_integrated_factor_pack_v1,join_executable,1,ctx_rzrq_rzjme3d,ctx_rzrq_rzjme3d:nonminute_panel,,,CSRank($ctx_rzrq_rzjme3d)
15,phase3aa_event_0202_cn_integrated_v1_rzrq_direct_rank_00202,cn_integrated_feature_layer,cn_integrated_factor_pack_v1,join_executable,1,ctx_rzrq_rzjme10d,ctx_rzrq_rzjme10d:nonminute_panel,,,CSRank($ctx_rzrq_rzjme10d)
16,phase3aa_event_0208_cn_integrated_v1_rzrq_direct_rank_00208,cn_integrated_feature_layer,cn_integrated_factor_pack_v1,join_executable,1,ctx_rzrq_rzmre,ctx_rzrq_rzmre:nonminute_panel,,,CSRank($ctx_rzrq_rzmre)
17,phase3aa_event_0188_cn_integrated_v1_rzrq_direct_rank_00188,cn_integrated_feature_layer,cn_integrated_factor_pack_v1,join_executable,1,ctx_rzrq_rqmcl5d,ctx_rzrq_rqmcl5d:nonminute_panel,,,CSRank($ctx_rzrq_rqmcl5d)
18,phase3aa_event_0200_cn_integrated_v1_rzrq_direct_rank_00200,cn_integrated_feature_layer,cn_integrated_factor_pack_v1,join_executable,1,ctx_rzrq_rzjme,ctx_rzrq_rzjme:nonminute_panel,,,CSRank($ctx_rzrq_rzjme)
19,phase3aa_event_0190_cn_integrated_v1_rzrq_direct_rank_00190,cn_integrated_feature_layer,cn_integrated_factor_pack_v1,join_executable,1,ctx_rzrq_rqye,ctx_rzrq_rqye:nonminute_panel,,,CSRank($ctx_rzrq_rqye)
20,phase3repair-failure_detail-duplicate_escape-467a29a8b041,legacy_unknown,,join_executable,1,close,close:base_replay,,,"CSRank(Mul(ZScore(Mean($close,13)),ZScore(Delta($close,6))))"
