candidate_id,expression_hash,expression,factor_lane,source_lane,source_generator,fields,fields_list,max_window,ast_skeleton,ast_operator_sequence,ast_operator_multiset,ast_root_operator,ast_depth,ast_depth_bin,ast_operator_count,ast_operator_count_bin,ast_field_count,ast_field_count_bin,ast_window_count,ast_window_count_bin,ast_max_window,ast_max_window_bin,ast_complexity,ast_complexity_bin,search_memory_key,policy_score,expected_direction,x0_r3_role,note,cem_prior_score
phase3bt_00001,f17e94f56f7686024b6c26bb,"CSRank(Sub(ZScore(Delta($intraday_ret_from_open,20)),ZScore(Std($ret_1m,20))))",rx_interaction::rx_intraday_return::rx_volatility_state::spread,phase3bt_ast_feedback_hybrid,phase3bt_ast_feedback_hybrid,intraday_ret_from_open|ret_1m,"['intraday_ret_from_open', 'ret_1m']",20,"CSRank(Sub(ZScore(Delta($F,N)),ZScore(Std($F,N))))",CSRank>Sub>ZScore>Delta>ZScore>Std,CSRank:1|Delta:1|Std:1|Sub:1|ZScore:2,CSRank,4,depth_le_4,6,opcount_le_6,2,fieldcount_le_2,1,wincount_le_1,20,maxwin_le_30,9,complexity_le_10,phase3bp:f17e94f56f7686024b6c26bb,0.23654168,1,read_only_research_candidate,phase3bt_ast_feedback_hybrid: hybrid arm from phase3bp_true1min_rx_ucb_native: rx interaction intraday_delta_20 x ret_vol_20 spread,
phase3bt_00002,6f4f5eea2de379ec6aed0c53,"CSRank(Mul(ZScore(Delta($intraday_ret_from_open,20)),ZScore(Std($ret_1m,20))))",rx_interaction::rx_intraday_return::rx_volatility_state::product,phase3bt_ast_feedback_hybrid,phase3bt_ast_feedback_hybrid,intraday_ret_from_open|ret_1m,"['intraday_ret_from_open', 'ret_1m']",20,"CSRank(Mul(ZScore(Delta($F,N)),ZScore(Std($F,N))))",CSRank>Mul>ZScore>Delta>ZScore>Std,CSRank:1|Delta:1|Mul:1|Std:1|ZScore:2,CSRank,4,depth_le_4,6,opcount_le_6,2,fieldcount_le_2,1,wincount_le_1,20,maxwin_le_30,9,complexity_le_10,phase3bp:6f4f5eea2de379ec6aed0c53,0.22975991,1,read_only_research_candidate,phase3bt_ast_feedback_hybrid: hybrid arm from phase3bp_true1min_rx_ucb_native: rx interaction intraday_delta_20 x ret_vol_20 product,
phase3bt_00003,ebd14a22257008ecf6709322,"CSRank(Sub(ZScore(Delta($intraday_ret_from_open,30)),ZScore(Std($ret_1m,20))))",rx_interaction::rx_intraday_return::rx_volatility_state::spread,phase3bt_ast_feedback_hybrid,phase3bt_ast_feedback_hybrid,intraday_ret_from_open|ret_1m,"['intraday_ret_from_open', 'ret_1m']",30,"CSRank(Sub(ZScore(Delta($F,N)),ZScore(Std($F,N))))",CSRank>Sub>ZScore>Delta>ZScore>Std,CSRank:1|Delta:1|Std:1|Sub:1|ZScore:2,CSRank,4,depth_le_4,6,opcount_le_6,2,fieldcount_le_2,2,wincount_le_2,30,maxwin_le_30,10,complexity_le_10,phase3bp:ebd14a22257008ecf6709322,0.22495344,1,read_only_research_candidate,phase3bt_ast_feedback_hybrid: hybrid arm from phase3bp_true1min_rx_ucb_native: rx interaction intraday_delta_30 x ret_vol_20 spread,
phase3bt_00004,4772c0a3397ed984b615cd7f,"CSRank(Sub(ZScore(Delta($intraday_ret_from_open,20)),ZScore(Std($ret_1m,30))))",rx_interaction::rx_intraday_return::rx_volatility_state::spread,phase3bt_ast_feedback_hybrid,phase3bt_ast_feedback_hybrid,intraday_ret_from_open|ret_1m,"['intraday_ret_from_open', 'ret_1m']",30,"CSRank(Sub(ZScore(Delta($F,N)),ZScore(Std($F,N))))",CSRank>Sub>ZScore>Delta>ZScore>Std,CSRank:1|Delta:1|Std:1|Sub:1|ZScore:2,CSRank,4,depth_le_4,6,opcount_le_6,2,fieldcount_le_2,2,wincount_le_2,30,maxwin_le_30,10,complexity_le_10,phase3bp:4772c0a3397ed984b615cd7f,0.22495344,1,read_only_research_candidate,phase3bt_ast_feedback_hybrid: hybrid arm from phase3bp_true1min_rx_ucb_native: rx interaction intraday_delta_20 x ret_vol_30 spread,
phase3bt_00005,e7ab4ef435533eff9ab3a00b,"CSRank(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),10))))",rx_range_location::rank,phase3bt_ast_feedback_hybrid,phase3bt_ast_feedback_hybrid,close|high|low,"['close', 'high', 'low']",0,"CSRank(ZScore(Sub(Div(Sub($F,$F),Add(Abs(Sub($F,$F)),N)),Mean(Div(Sub($F,$F),Add(Abs(Sub($F,$F)),N)),N))))",CSRank>ZScore>Sub>Div>Sub>Add>Abs>Sub>Mean>Div,Abs:2|Add:2|CSRank:1|Div:2|Mean:1|Sub:5|ZScore:1,CSRank,8,depth_le_8,14,opcount_gt_12,3,fieldcount_le_4,1,wincount_le_1,10,maxwin_le_15,18,complexity_le_18,phase3bp:e7ab4ef435533eff9ab3a00b,0.21296716,1,read_only_research_candidate,phase3bt_ast_feedback_hybrid: hybrid arm from phase3bp_true1min_rx_ucb_native: rx atom transform bar_loc_shift_10,
phase3bt_00006,c9d6bc5d6979c13389efd0d5,"CSRank(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),5))))",rx_range_location::rank,phase3bt_ast_feedback_hybrid,phase3bt_ast_feedback_hybrid,close|high|low,"['close', 'high', 'low']",0,"CSRank(ZScore(Sub(Div(Sub($F,$F),Add(Abs(Sub($F,$F)),N)),Mean(Div(Sub($F,$F),Add(Abs(Sub($F,$F)),N)),N))))",CSRank>ZScore>Sub>Div>Sub>Add>Abs>Sub>Mean>Div,Abs:2|Add:2|CSRank:1|Div:2|Mean:1|Sub:5|ZScore:1,CSRank,8,depth_le_8,14,opcount_gt_12,3,fieldcount_le_4,1,wincount_le_1,5,maxwin_le_5,18,complexity_le_18,phase3bp:c9d6bc5d6979c13389efd0d5,0.21253834,1,read_only_research_candidate,phase3bt_ast_feedback_hybrid: hybrid arm from phase3bp_true1min_rx_ucb_native: rx atom transform bar_loc_shift_5,
phase3bt_00007,92ce29d5fa178e234712bda6,"CSRank(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),3))))",rx_range_location::rank,phase3bt_ast_feedback_hybrid,phase3bt_ast_feedback_hybrid,close|high|low,"['close', 'high', 'low']",0,"CSRank(ZScore(Sub(Div(Sub($F,$F),Add(Abs(Sub($F,$F)),N)),Mean(Div(Sub($F,$F),Add(Abs(Sub($F,$F)),N)),N))))",CSRank>ZScore>Sub>Div>Sub>Add>Abs>Sub>Mean>Div,Abs:2|Add:2|CSRank:1|Div:2|Mean:1|Sub:5|ZScore:1,CSRank,8,depth_le_8,14,opcount_gt_12,3,fieldcount_le_4,1,wincount_le_1,3,maxwin_le_5,18,complexity_le_18,phase3bp:92ce29d5fa178e234712bda6,0.21248354,1,read_only_research_candidate,phase3bt_ast_feedback_hybrid: hybrid arm from phase3bp_true1min_rx_ucb_native: rx atom transform bar_loc_shift_3,
phase3bt_00008,d1984b6bb06f8dfc56bd4c25,"CSRank(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),2))))",rx_range_location::rank,phase3bt_ast_feedback_hybrid,phase3bt_ast_feedback_hybrid,close|high|low,"['close', 'high', 'low']",0,"CSRank(ZScore(Sub(Div(Sub($F,$F),Add(Abs(Sub($F,$F)),N)),Mean(Div(Sub($F,$F),Add(Abs(Sub($F,$F)),N)),N))))",CSRank>ZScore>Sub>Div>Sub>Add>Abs>Sub>Mean>Div,Abs:2|Add:2|CSRank:1|Div:2|Mean:1|Sub:5|ZScore:1,CSRank,8,depth_le_8,14,opcount_gt_12,3,fieldcount_le_4,1,wincount_le_1,2,maxwin_le_5,18,complexity_le_18,phase3bp:d1984b6bb06f8dfc56bd4c25,0.21245194,1,read_only_research_candidate,phase3bt_ast_feedback_hybrid: hybrid arm from phase3bp_true1min_rx_ucb_native: rx atom transform bar_loc_shift_2,
phase3bt_00009,cfa8fd6b8a34a81ab034cb34,"CSRank(ZScore(Delta($intraday_ret_from_open,10)))",rx_intraday_return::rank,phase3bt_ast_feedback_hybrid,phase3bt_ast_feedback_hybrid,intraday_ret_from_open,['intraday_ret_from_open'],10,"CSRank(ZScore(Delta($F,N)))",CSRank>ZScore>Delta,CSRank:1|Delta:1|ZScore:1,CSRank,3,depth_le_4,3,opcount_le_3,1,fieldcount_le_1,1,wincount_le_1,10,maxwin_le_15,5,complexity_le_6,phase3bp:cfa8fd6b8a34a81ab034cb34,0.1888866,1,read_only_research_candidate,phase3bt_ast_feedback_hybrid: hybrid arm from phase3bp_true1min_rx_ucb_native: rx atom transform intraday_delta_10,
phase3bt_00010,80bd2d72631bc41973c953b2,"CSRank(ZScore(Delta($intraday_ret_from_open,5)))",rx_intraday_return::rank,phase3bt_ast_feedback_hybrid,phase3bt_ast_feedback_hybrid,intraday_ret_from_open,['intraday_ret_from_open'],5,"CSRank(ZScore(Delta($F,N)))",CSRank>ZScore>Delta,CSRank:1|Delta:1|ZScore:1,CSRank,3,depth_le_4,3,opcount_le_3,1,fieldcount_le_1,1,wincount_le_1,5,maxwin_le_5,5,complexity_le_6,phase3bp:80bd2d72631bc41973c953b2,0.18845778,1,read_only_research_candidate,phase3bt_ast_feedback_hybrid: hybrid arm from phase3bp_true1min_rx_ucb_native: rx atom transform intraday_delta_5,
