factor_lane,count,best_abs_aligned_ic,followup_count,future_wrong_lag_count
rx_range_location::rank,4,0.237386568,0,4
rx_interaction::rx_range_location::rx_opening_amount::spread,1,0.234611218,0,1
rx_interaction::rx_range_location::rx_opening_amount::product,3,0.2331422253,0,3
rx_interaction::rx_range_location::rx_flow_amount_volume::spread,2,0.2271842891,0,2
cem_atom::rx_range_location::inverted,3,0.2238934701,0,3
cem_atom::rx_intraday_return::inverted,3,0.2095825649,0,3
rx_intraday_return::rank,5,0.2095825649,0,4
cem_interaction::rx_range_location::rx_opening_amount::signed_state,15,0.1940153365,0,15
cem_interaction::rx_range_location::rx_flow_amount_volume::spread,10,0.1905903715,0,10
rx_interaction::rx_range_location::rx_volatility_state::spread,1,0.1850609203,0,1
rx_interaction::rx_intraday_return::rx_opening_amount::product,8,0.1734347155,0,8
rx_interaction::rx_intraday_return::rx_opening_amount::spread,9,0.1688424551,0,9
rx_intraday_return::inverted,1,0.1619755618,0,1
cem_resample::rx_intraday_return::rx_opening_amount::elite_spread_mean3,8,0.1562333736,0,7
rx_interaction::rx_intraday_return::rx_flow_amount_volume::spread,9,0.1434461311,0,3
cem_interaction::rx_intraday_return::rx_opening_amount::signed_state,10,0.1243331831,0,7
rx_interaction::rx_intraday_return::rx_range_location::spread,5,0.1108064397,0,4
cem_resample::rx_intraday_return::rx_range_location::elite_spread_mean3,2,0.1062195252,0,1
cem_resample::rx_intraday_return::rx_opening_amount::elite_delta_product,1,0.08892512637,0,1
rx_interaction::rx_range_location::rx_range_location::product,4,0.07566220329,0,0
cem_interaction::rx_range_location::rx_range_location::signed_state,4,0.06196400868,0,0
rx_interaction::rx_intraday_return::rx_volatility_state::spread,2,0.06056335706,0,0
rx_interaction::rx_opening_amount::rx_volatility_state::spread,2,0.05688080826,0,2
