capacity_proxy,cluster_id,cost_adjusted_score,deployable_count,effective_signal_count,field_families,limit_hit_rate,liquidity_bucket,liquidity_eval_error,max_corr_to_registry,median_amount_20d,median_cost_adjusted_sortino,median_float_mcap,median_replay_turnover,median_strict_turnover,median_total_mcap,median_volume_20d,new_vs_149,operator_families,p90_replay_turnover,p90_strict_turnover,participation_capacity_proxy,raw_pass_count,representative_candidate_id,representative_expression,selected_date_count,selected_row_count,source_concentration,source_lane,source_lane_counts,suspension_rate,tradable_breadth
124777879.490625,cluster_001,3.727779,1,110.0,"[""flow"", ""size_capital""]",0.031753,high,,1.0,3951710086.4,4.03849,124777879490.625,0.100297,0.088938,137201260000.0,78330856.325,,"[""CSRank"", ""Mul"", ""Sign"", ""Std"", ""ZScore""]",0.100297,0.088938,197585504.32,1,fgv2-repair-nonlinearize-bd95d707df,"CSRank(Mul(Sign(ZScore(CSRank(Mul(ZScore(Std($amount,21)),ZScore(Std($final_float_market_cap,21)))))),Mul(ZScore(CSRank(Mul(ZScore(Std($amount,21)),ZScore(Std($final_float_market_cap,21))))),ZScore(CSRank(Mul(ZScore(Std($amount,21)),ZScore(Std($final_float_market_cap,21))))))))",102,11180,1.0,formula_gen_v2_repair_expansion,"{""formula_gen_v2_repair_expansion"": 1}",0.0,110.0
8286721.671289,cluster_003,3.497901,1,110.0,"[""flow""]",0.010552,medium,,0.690804,346951725.6,4.034756,8286721671.289062,0.302583,0.294085,13197400000.0,3922083.5,,"[""CSRank"", ""CSResidual"", ""Neg"", ""Std""]",0.302583,0.294085,17347586.28,1,stockpit-cem_adaptive_grammar-f09950e9b57c,"Neg(CSRank(CSResidual(CSRank(Std($volume,5)),CSRank(Std($amount,21)))))",102,11183,1.0,r0_cem_led,"{""r0_cem_led"": 1}",0.0,110.0
48305024.689453,cluster_004,2.788897,2,110.0,"[""flow"", ""price""]",0.037455,high,,1.0,2776555488.0,3.200165,48305024689.453125,0.212161,0.198656,59542570000.0,21441835.75,,"[""CSRank"", ""Mul"", ""Sign"", ""Std"", ""ZScore""]",0.219893,0.209137,138827774.4,2,fgv2-repair-nonlinearize-0723c50412,"CSRank(Mul(Sign(ZScore(CSRank(Mul(ZScore(Std($amount,5)),ZScore(Std($close,34)))))),Mul(ZScore(CSRank(Mul(ZScore(Std($amount,5)),ZScore(Std($close,34))))),ZScore(CSRank(Mul(ZScore(Std($amount,5)),ZScore(Std($close,34))))))))",89,9745,1.0,formula_gen_v2_repair_expansion,"{""formula_gen_v2_repair_expansion"": 2}",0.0,110.0
66173875.644141,cluster_005,2.183766,1,110.0,"[""price"", ""size_capital""]",0.032379,high,,0.834703,2403395172.8,2.458553,66173875644.14063,0.186745,0.167845,74501517500.0,17769866.025,,"[""CSRank"", ""Mul"", ""Std"", ""ZScore""]",0.186745,0.167845,120169758.64,1,stockpit-cem_adaptive_grammar-676b542e60d5,"CSRank(Mul(ZScore(Std($final_float_market_cap,21)),ZScore(Std($close,5))))",102,11180,1.0,r0_cem_led,"{""r0_cem_led"": 1}",0.0,110.0
46935603.134766,cluster_008,3.494263,1,110.0,"[""flow"", ""price"", ""size_capital""]",0.018605,high,,0.738794,2111390753.6,3.815874,46935603134.765625,0.148589,0.126863,57572997500.0,12694884.625,,"[""Abs"", ""CSRank"", ""Delta"", ""Mean"", ""Mul"", ""ZScore""]",0.148589,0.126863,105569537.68,1,fgv2-repair-add_state_gate-424025168b,"CSRank(Mul(CSRank(Mul(ZScore($final_float_market_cap),ZScore($amount))),ZScore(Mean(Abs(Delta($close,1)),20))))",102,11180,1.0,formula_gen_v2_repair_expansion,"{""formula_gen_v2_repair_expansion"": 1}",0.0,110.0
6941141.851562,cluster_013,2.706367,1,110.0,"[""flow"", ""price""]",0.02629,medium,,0.306938,619661531.6,2.979155,6941141851.5625,0.148873,0.137139,13681175625.0,6518734.0,,"[""CSRank"", ""Mean"", ""Mul"", ""Std"", ""ZScore""]",0.148873,0.137139,30983076.58,1,agnostic-freeform-d65a41303a90,"CSRank(Mul(ZScore(Std($turnover_rate,8)),Mul(ZScore(Mean($open,2)),CSRank(Std($close,13)))))",110,12058,1.0,agnostic_freeform_ast,"{""agnostic_freeform_ast"": 1}",0.0,110.0
118236558.78125,cluster_014,2.682759,2,110.0,"[""price"", ""size_capital""]",0.009236,high,,0.992426,2447796083.2,2.762823,118236558781.25,0.03501,0.023327,135049040000.0,17907272.95,,"[""CSRank"", ""Mean"", ""Mul"", ""ZScore""]",0.041078,0.030001,122389804.16,2,stockpit-cem_adaptive_grammar-b7428c35f0d0,"CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($final_float_market_cap,34))))",89,9745,0.5,formula_gen_v2_repair_expansion,"{""formula_gen_v2_repair_expansion"": 1, ""r0_cem_led"": 1}",0.0,110.0
21979980.169629,cluster_015,1.026099,1,110.0,"[""flow"", ""price""]",0.013274,medium,,0.308681,750061638.0,1.163493,21979980169.628906,0.251822,0.236793,28631058750.0,4757222.775,,"[""Abs"", ""CSRank"", ""Corr"", ""Delay"", ""Delta"", ""Mean"", ""Mul"", ""ZScore""]",0.251822,0.236793,37503081.9,1,agnostic-freeform-eb136e0ae315,"CSRank(Mul(ZScore($open),Corr(Mean($vwap,5),Delay(Mean(Abs(Delta($amount,1)),5),1),8)))",112,12280,1.0,agnostic_freeform_ast,"{""agnostic_freeform_ast"": 1}",0.0,110.0
20861176.640332,cluster_016,2.629757,1,110.0,"[""price"", ""size_capital""]",0.01039,medium,,0.775967,764548987.2,2.737866,20861176640.33203,0.061503,0.05349,28273655000.0,3919570.06875,,"[""CSRank"", ""Sub"", ""ZScore""]",0.061503,0.05349,38227449.36,1,agnostic-freeform-1d4ce7648018,"CSRank(Sub(ZScore($high),ZScore($final_float_market_cap)))",122,13378,1.0,agnostic_freeform_ast,"{""agnostic_freeform_ast"": 1}",0.0,110.0
61115043.58125,cluster_017,2.098815,2,110.0,"[""flow"", ""price""]",0.017839,high,,0.917154,2530544800.0,2.267408,61115043581.25,0.104046,0.087296,74106080000.0,19209170.5,,"[""CSRank"", ""Mean"", ""Mul"", ""Sign""]",0.125839,0.107519,126527240.0,2,agnostic-freeform-cd2b2335578f,"CSRank(Mul(Sign($vwap),Mul(CSRank($open),CSRank(Mean($amount,8)))))",115,12613,0.5,agnostic_freeform_ast,"{""agnostic_freeform_ast"": 1, ""r0_cem_led"": 1}",0.0,110.0
26582522.4,cluster_018,3.209146,4,110.0,"[""flow"", ""price""]",0.017169,high,,0.967167,1291399550.4,3.468522,26582522400.0,0.090804,0.076249,34080387500.0,7036230.65,,"[""Abs"", ""CSRank"", ""CSResidual"", ""Delta"", ""Mean"", ""Mul"", ""ZScore""]",0.128412,0.113487,64569977.52,4,fgv2-repair-add_state_gate-83cdcc1ba7,"CSRank(Mul(CSRank(CSResidual(CSRank($close),CSRank($volume))),ZScore(Mean(Abs(Delta($close,1)),20))))",102,11183,1.0,formula_gen_v2_repair_expansion,"{""formula_gen_v2_repair_expansion"": 4}",0.0,110.0
32125730.722461,cluster_027,1.064067,1,110.0,"[""price""]",0.009658,high,,0.400139,1019296236.8,1.119182,32125730722.46094,0.08501,0.071185,39865692500.0,5083560.5,,"[""CSRank"", ""CSResidual"", ""Mean"", ""Std"", ""ZScore""]",0.08501,0.071185,50964811.84,1,agnostic-freeform-b7072be998d8,"CSRank(CSResidual(ZScore(Mean($vwap,3)),CSRank(Std($high,21))))",102,11183,1.0,agnostic_freeform_ast,"{""agnostic_freeform_ast"": 1}",0.0,110.0
23895134.562695,cluster_031,3.074003,1,110.0,"[""price"", ""size_capital""]",0.017437,high,,0.775921,1128118777.6,3.286319,23895134562.695312,0.103397,0.087369,30609217500.0,6311792.5,,"[""Abs"", ""CSRank"", ""CSResidual"", ""Delta"", ""Log"", ""Mean"", ""Mul"", ""ZScore""]",0.103397,0.087369,56405938.88,1,fgv2-repair-add_state_gate-dbae91cd75,"CSRank(Mul(CSRank(CSResidual(CSRank(CSRank($close)),CSRank(Log($final_total_market_cap)))),ZScore(Mean(Abs(Delta($close,1)),20))))",102,11183,1.0,formula_gen_v2_repair_expansion,"{""formula_gen_v2_repair_expansion"": 1}",0.0,110.0
8723720.128125,cluster_034,1.061185,1,110.0,"[""price"", ""size_capital""]",0.050075,medium,,0.175805,290493855.15,1.252367,8723720128.125,0.256782,0.243235,10612590625.0,14938147.225,,"[""CSRank"", ""Corr"", ""Delta"", ""Mom"", ""Mul"", ""Sign""]",0.256782,0.243235,14524692.7575,1,agnostic-freeform-4bb97f423d04,"CSRank(Mul(Sign($final_float_market_cap),Corr(Mom($high,21),Delta($low,21),21)))",97,10624,1.0,agnostic_freeform_ast,"{""agnostic_freeform_ast"": 1}",0.0,110.0
90645992.81875,cluster_035,1.193926,1,110.0,"[""flow""]",0.031503,high,,0.954153,4441117113.6,1.2677,90645992818.75,0.057486,0.035276,107521860000.0,82204593.1,,"[""CSRank"", ""Mean""]",0.057486,0.035276,222055855.68,1,stockpit-cem_adaptive_grammar-41ecb6ef65e0,"CSRank(Mean($amount,34))",89,9745,1.0,r0_cem_led,"{""r0_cem_led"": 1}",0.0,110.0
20263736.030273,cluster_050,0.999306,1,110.0,"[""price""]",0.041667,high,,0.867101,1124588403.2,1.13166,20263736030.273438,0.17779,0.163921,26531531250.0,9000675.825,,"[""CSRank"", ""Delta"", ""ZScore""]",0.17779,0.163921,56229420.16,1,agnostic-freeform-03162998d03c,"CSRank(ZScore(Delta($open,34)))",89,9744,1.0,agnostic_freeform_ast,"{""agnostic_freeform_ast"": 1}",0.0,110.0
