factor_lane,count,best_abs_aligned_ic,followup_count,future_wrong_lag_count
rx_range_location::rank,4,0.215048724,0,4
cem_atom::rx_range_location::inverted,3,0.1996020923,0,3
rx_interaction::rx_intraday_return::rx_opening_amount::spread,8,0.1915834089,0,4
rx_intraday_return::inverted,3,0.1910791325,0,2
cem_atom::rx_intraday_return::rank,3,0.1910791325,0,2
rx_intraday_return::rank,1,0.1887595499,0,1
cem_interaction::rx_range_location::rx_opening_amount::signed_state,9,0.179775389,0,9
rx_interaction::rx_intraday_return::rx_opening_amount::product,7,0.1742391511,0,5
cem_interaction::rx_range_location::rx_flow_amount_volume::spread,10,0.1733895732,0,10
rx_interaction::rx_range_location::rx_volatility_state::spread,2,0.1713269159,0,2
cem_resample::rx_intraday_return::rx_opening_amount::elite_spread_mean3,5,0.1430876326,0,1
rx_interaction::rx_intraday_return::rx_flow_amount_volume::spread,8,0.1271677697,0,2
cem_interaction::rx_intraday_return::rx_flow_amount_volume::spread,1,0.1261263552,0,1
cem_interaction::rx_intraday_return::rx_opening_amount::signed_state,10,0.1247299419,0,6
rx_interaction::rx_intraday_return::rx_range_location::spread,6,0.1129123735,0,6
cem_resample::rx_intraday_return::rx_range_location::elite_spread_mean3,3,0.1035662842,0,3
rx_interaction::rx_range_location::rx_range_location::product,4,0.07416869903,0,1
rx_interaction::rx_intraday_return::rx_volatility_state::spread,3,0.07305416819,0,3
cem_interaction::rx_range_location::rx_range_location::signed_state,4,0.05410237271,1,0
rx_interaction::rx_opening_range::rx_volatility_state::spread,1,0.04539797569,1,0
rx_interaction::rx_range_location::rx_volatility_state::product,1,0.04138992002,0,0
