factor_lane,candidate_horizon_count,unique_candidate_count,mean_stability_score,max_stability_score,mean_ic_abs_mean,max_ic_abs_mean,top_candidate_id,top_horizon_min,top_fields
ba_triple_add,232,58,0.12488569575224741,0.16268673464760286,0.12551723996745584,0.1636468970564429,phase3ba_focused_minute_expansion_00663,30,amount|float_share|m1_first30_high|m1_first30_low|open|vwap
ba_ay_ax_add,160,40,0.12472487834234991,0.17001508398096085,0.1263099827383225,0.1710420516292449,phase3ba_focused_minute_expansion_00296,30,amount|final_total_market_cap|vwap
ba_ax_resid_opening,212,53,0.11699379374612398,0.14726659296593816,0.11754233585197235,0.14811608213268426,phase3ba_focused_minute_expansion_00079,30,amount|float_share|m1_first5_amount
ba_ay_resid_opening,352,88,0.1110036219933999,0.1408802800629036,0.11157007808475816,0.14152373620936293,phase3ba_focused_minute_expansion_00597,30,amount|amount_yuan|close|final_float_market_cap|float_share|m1_first15_range
ba_ay_azb_add,352,88,0.10148377231443684,0.15131737598912753,0.10306652162638906,0.15220192334986046,phase3ba_focused_minute_expansion_00380,30,m1_first30_high|m1_first30_low|open|vwap
ba_ay_resid_ax,160,40,0.09955301744465776,0.13525724632087677,0.10029378193418607,0.13593979573085127,phase3ba_focused_minute_expansion_00360,30,amount|close|final_total_market_cap|vwap
ba_triple_interaction,232,58,0.09902248150212237,0.1229603428937048,0.09948754049358868,0.12371660634704132,phase3ba_focused_minute_expansion_00712,30,amount|float_share|m1_first30_range|m1_first30_vol|vwap
ba_ax_azb_add_inverse,216,54,0.09330773193165555,0.15557873278234743,0.09836342531137073,0.156401571021393,phase3ba_focused_minute_expansion_00027,30,amount|float_share|m1_first30_high|m1_first30_low|open
ba_ax_azb_add,216,54,0.09330773193160266,0.1555787327823474,0.09836342531116002,0.15640157102139296,phase3ba_focused_minute_expansion_00026,30,amount|float_share|m1_first30_high|m1_first30_low|open
ba_ax_resid_ay,160,40,0.0919434197410611,0.12724661222168118,0.09359089215509817,0.127758798182569,phase3ba_focused_minute_expansion_00298,30,amount|final_total_market_cap|vwap
ba_opening_resid_ay,352,88,0.083089948932007,0.10941609121398224,0.08331699129332791,0.1099082732920434,phase3ba_focused_minute_expansion_00562,30,amount|close|final_float_market_cap|float_share|m1_first30_range|m1_first30_vol
ba_opening_resid_ax,212,53,0.07539246343381575,0.10856116906956076,0.07557221628243643,0.10901704180255695,phase3ba_focused_minute_expansion_00005,30,amount|float_share|m1_first30_amount
ba_ax_azb_interaction,216,54,0.05540338600370732,0.0637786327065241,0.055536314568506905,0.06391179779884472,phase3ba_focused_minute_expansion_00268,30,amount|float_share|m1_first30_high|m1_first30_low|open
