candidate_id,expression_hash,expression,factor_lane,source_lane,source_generator,fields,fields_list,max_window,search_memory_key,policy_score,expected_direction,x0_r3_role,note
phase3bs_00001,c70970f75bba91b06e076457,"CSRank(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),30))))",rx_range_location::rank,phase3bs_seed_rx_ucb_fresh,phase3bs_seed_rx_ucb_fresh,close|high|low,"['close', 'high', 'low']",0,phase3bp:c70970f75bba91b06e076457,0.48214205,1,read_only_research_candidate,phase3bs_seed_rx_ucb_fresh: rx atom transform bar_loc_shift_30
phase3bs_00002,99d1e7f5a79f49f3a2661218,"Neg(CSRank(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),30)))))",rx_range_location::inverted,phase3bs_seed_rx_ucb_fresh,phase3bs_seed_rx_ucb_fresh,close|high|low,"['close', 'high', 'low']",0,phase3bp:99d1e7f5a79f49f3a2661218,0.48064736,1,read_only_research_candidate,phase3bs_seed_rx_ucb_fresh: rx atom transform bar_loc_shift_30
phase3bs_00003,919d4ed87c7ad94cd1a0cf0a,"CSRank(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),8))))",rx_range_location::rank,phase3bs_seed_rx_ucb_fresh,phase3bs_seed_rx_ucb_fresh,close|high|low,"['close', 'high', 'low']",0,phase3bp:919d4ed87c7ad94cd1a0cf0a,0.46563055,1,read_only_research_candidate,phase3bs_seed_rx_ucb_fresh: rx atom transform bar_loc_shift_8
phase3bs_00004,40d0c61f06fc8f8c8ebe806f,"Neg(CSRank(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),8)))))",rx_range_location::inverted,phase3bs_seed_rx_ucb_fresh,phase3bs_seed_rx_ucb_fresh,close|high|low,"['close', 'high', 'low']",0,phase3bp:40d0c61f06fc8f8c8ebe806f,0.46413586,1,read_only_research_candidate,phase3bs_seed_rx_ucb_fresh: rx atom transform bar_loc_shift_8
phase3bs_00005,7d162a40a608f2134a09b324,"CSRank(Mul(ZScore(Delta($intraday_ret_from_open,30)),ZScore(Std($ret_1m,30))))",rx_interaction::rx_intraday_return::rx_volatility_state::product,phase3bs_seed_rx_ucb_fresh,phase3bs_seed_rx_ucb_fresh,intraday_ret_from_open|ret_1m,"['intraday_ret_from_open', 'ret_1m']",30,phase3bp:7d162a40a608f2134a09b324,0.46224973,1,read_only_research_candidate,phase3bs_seed_rx_ucb_fresh: rx interaction intraday_delta_30 x ret_vol_30 product
phase3bs_00006,cbdca9c4dd9873b1b7edb591,"CSRank(Mul(ZScore(Delta($intraday_ret_from_open,30)),ZScore(Std($ret_1m,8))))",rx_interaction::rx_intraday_return::rx_volatility_state::product,phase3bs_seed_rx_ucb_fresh,phase3bs_seed_rx_ucb_fresh,intraday_ret_from_open|ret_1m,"['intraday_ret_from_open', 'ret_1m']",30,phase3bp:cbdca9c4dd9873b1b7edb591,0.45399398,1,read_only_research_candidate,phase3bs_seed_rx_ucb_fresh: rx interaction intraday_delta_30 x ret_vol_8 product
phase3bs_00007,6153de835bd6744469cb5d4d,"CSRank(Mul(ZScore(Delta($intraday_ret_from_open,8)),ZScore(Std($ret_1m,30))))",rx_interaction::rx_intraday_return::rx_volatility_state::product,phase3bs_seed_rx_ucb_fresh,phase3bs_seed_rx_ucb_fresh,intraday_ret_from_open|ret_1m,"['intraday_ret_from_open', 'ret_1m']",30,phase3bp:6153de835bd6744469cb5d4d,0.45399398,1,read_only_research_candidate,phase3bs_seed_rx_ucb_fresh: rx interaction intraday_delta_8 x ret_vol_30 product
phase3bs_00008,c4b961b5fee67547ee7ddc07,"CSRank(Sub(ZScore(Delta($intraday_ret_from_open,30)),ZScore(Std($ret_1m,30))))",rx_interaction::rx_intraday_return::rx_volatility_state::spread,phase3bs_seed_rx_ucb_fresh,phase3bs_seed_rx_ucb_fresh,intraday_ret_from_open|ret_1m,"['intraday_ret_from_open', 'ret_1m']",30,phase3bp:c4b961b5fee67547ee7ddc07,0.45373728,1,read_only_research_candidate,phase3bs_seed_rx_ucb_fresh: rx interaction intraday_delta_30 x ret_vol_30 spread
phase3bs_00009,c02ca67313855a9bed78339e,"CSRank(Mul(ZScore(Delta($ret_1m,30)),ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),30))))",rx_interaction::rx_intraday_return::rx_range_location::product,phase3bs_seed_rx_ucb_fresh,phase3bs_seed_rx_ucb_fresh,high|low|open|ret_1m,"['high', 'low', 'open', 'ret_1m']",30,phase3bp:c02ca67313855a9bed78339e,0.38040076,1,read_only_research_candidate,phase3bs_seed_rx_ucb_fresh: rx interaction ret_delta_30 x range_vol_30 product
phase3bs_00010,377353004f44d81ad84002c4,"CSRank(Sub(ZScore(Delta($ret_1m,30)),ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),30))))",rx_interaction::rx_intraday_return::rx_range_location::spread,phase3bs_seed_rx_ucb_fresh,phase3bs_seed_rx_ucb_fresh,high|low|open|ret_1m,"['high', 'low', 'open', 'ret_1m']",30,phase3bp:377353004f44d81ad84002c4,0.3771142,1,read_only_research_candidate,phase3bs_seed_rx_ucb_fresh: rx interaction ret_delta_30 x range_vol_30 spread
phase3bs_00011,b1f1a7643e6aa06e4a7ef6c1,"CSRank(Mul(ZScore(Delta($ret_1m,8)),ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),30))))",rx_interaction::rx_intraday_return::rx_range_location::product,phase3bs_seed_rx_ucb_fresh,phase3bs_seed_rx_ucb_fresh,high|low|open|ret_1m,"['high', 'low', 'open', 'ret_1m']",8,phase3bp:b1f1a7643e6aa06e4a7ef6c1,0.37214501,1,read_only_research_candidate,phase3bs_seed_rx_ucb_fresh: rx interaction ret_delta_8 x range_vol_30 product
phase3bs_00012,dd6812e758146c86f1c25ed1,"CSRank(Mul(ZScore(Delta($ret_1m,30)),ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),8))))",rx_interaction::rx_intraday_return::rx_range_location::product,phase3bs_seed_rx_ucb_fresh,phase3bs_seed_rx_ucb_fresh,high|low|open|ret_1m,"['high', 'low', 'open', 'ret_1m']",30,phase3bp:dd6812e758146c86f1c25ed1,0.37214501,1,read_only_research_candidate,phase3bs_seed_rx_ucb_fresh: rx interaction ret_delta_30 x range_vol_8 product
phase3bs_00013,4534dbe823cd3f2dfec12538,"CSRank(ZScore(Delta($intraday_ret_from_open,30)))",rx_intraday_return::rank,phase3bs_seed_rx_ucb_fresh,phase3bs_seed_rx_ucb_fresh,intraday_ret_from_open,['intraday_ret_from_open'],30,phase3bp:4534dbe823cd3f2dfec12538,0.34787439,1,read_only_research_candidate,phase3bs_seed_rx_ucb_fresh: rx atom transform intraday_delta_30
phase3bs_00014,aa9a6af0255f880beee0b6ee,"Neg(CSRank(ZScore(Delta($intraday_ret_from_open,30))))",rx_intraday_return::inverted,phase3bs_seed_rx_ucb_fresh,phase3bs_seed_rx_ucb_fresh,intraday_ret_from_open,['intraday_ret_from_open'],30,phase3bp:aa9a6af0255f880beee0b6ee,0.34290392,1,read_only_research_candidate,phase3bs_seed_rx_ucb_fresh: rx atom transform intraday_delta_30
phase3bs_00015,6109e0fb1996c5871e3d32a3,"CSRank(ZScore(Delta($intraday_ret_from_open,8)))",rx_intraday_return::rank,phase3bs_seed_rx_ucb_fresh,phase3bs_seed_rx_ucb_fresh,intraday_ret_from_open,['intraday_ret_from_open'],8,phase3bp:6109e0fb1996c5871e3d32a3,0.33136289,1,read_only_research_candidate,phase3bs_seed_rx_ucb_fresh: rx atom transform intraday_delta_8
phase3bs_00016,cfa8fd6b8a34a81ab034cb34,"CSRank(ZScore(Delta($intraday_ret_from_open,10)))",rx_intraday_return::rank,phase3bs_seed_rx_ucb_fresh,phase3bs_seed_rx_ucb_fresh,intraday_ret_from_open,['intraday_ret_from_open'],10,phase3bp:cfa8fd6b8a34a81ab034cb34,0.32762309,1,read_only_research_candidate,phase3bs_seed_rx_ucb_fresh: rx atom transform intraday_delta_10
