lane,factor_lane,source_lane,fresh_bucket,row_count,unique_candidate_count,unique_expression_count,shard_coverage,mean_ic_abs_mean,max_ic_abs_mean,top_candidate_id,top_fields
sidecar_context_formula,ba_ay_ax_add,phase3ba_focused_minute_expansion,fresh,2560,40,40,16,0.1391472782373167,0.18530563093166902,phase3ba_focused_minute_expansion_00269,amount|final_total_market_cap|float_share|vwap
sidecar_context_formula,ba_triple_add,phase3ba_focused_minute_expansion,fresh,3712,58,58,16,0.13064114996195236,0.18098065360896093,phase3ba_focused_minute_expansion_00663,amount|final_total_market_cap|float_share|m1_first30_high|m1_first30_low|open|vwap
sidecar_context_formula,ba_ay_resid_opening,phase3ba_focused_minute_expansion,fresh,5632,88,88,16,0.12415947596905096,0.1711983938802087,phase3ba_focused_minute_expansion_00411,amount|final_total_market_cap|m1_first5_amount|vwap
sidecar_context_formula,ba_ax_resid_opening,phase3ba_focused_minute_expansion,fresh,3392,53,53,16,0.11754233585197235,0.15843971873464543,phase3ba_focused_minute_expansion_00079,amount|float_share|m1_first5_amount
sidecar_context_formula,ba_ay_azb_add,phase3ba_focused_minute_expansion,fresh,5632,88,88,16,0.10512249025215459,0.1711903900837508,phase3ba_focused_minute_expansion_00380,amount|final_total_market_cap|m1_first30_high|m1_first30_low|open|vwap
sidecar_context_formula,ba_ay_resid_ax,phase3ba_focused_minute_expansion,fresh,2560,40,40,16,0.1039399693072754,0.1508591379019942,phase3ba_focused_minute_expansion_00360,amount|close|final_total_market_cap|vwap
sidecar_context_formula,ba_triple_interaction,phase3ba_focused_minute_expansion,fresh,3712,58,58,16,0.10356126124594399,0.14067975018007833,phase3ba_focused_minute_expansion_00672,amount|final_total_market_cap|float_share|m1_first30_range|m1_first30_vol|vwap
sidecar_context_formula,ba_ax_azb_add_inverse,phase3ba_focused_minute_expansion,fresh,3456,54,54,16,0.09836342531137073,0.16764753327941675,phase3ba_focused_minute_expansion_00027,amount|float_share|m1_first30_high|m1_first30_low|open
sidecar_context_formula,ba_ax_azb_add,phase3ba_focused_minute_expansion,fresh,3456,54,54,16,0.09836342531116002,0.1676475332794168,phase3ba_focused_minute_expansion_00026,amount|float_share|m1_first30_high|m1_first30_low|open
sidecar_context_formula,ba_opening_resid_ax,phase3ba_focused_minute_expansion,fresh,3392,53,53,16,0.07557221628243643,0.11714735031524323,phase3ba_focused_minute_expansion_00005,amount|float_share|m1_first30_amount
sidecar_context_formula,ba_opening_resid_ay,phase3ba_focused_minute_expansion,fresh,5632,88,88,16,0.07276577516931779,0.116079748715813,phase3ba_focused_minute_expansion_00370,amount|final_total_market_cap|m1_first30_amount|vwap
sidecar_context_formula,ba_ax_resid_ay,phase3ba_focused_minute_expansion,fresh,2560,40,40,16,0.07201488939024056,0.1081129658767391,phase3ba_focused_minute_expansion_00298,amount|final_total_market_cap|vwap
sidecar_context_formula,ba_ax_azb_interaction,phase3ba_focused_minute_expansion,fresh,3456,54,54,16,0.055536314568506905,0.06831117657641007,phase3ba_focused_minute_expansion_00268,amount|float_share|m1_first30_high|m1_first30_low|open
