source_registry,source_group,dataset,field_name,field_family,route,selector_allowed,pit_rule,priority,asset_status,integration_hint,panel_materialized,panel_aliases,factor_pack_referenced,factor_pack_aliases,factor_pack_names,selector_selected,selector_aliases,availability_executable_seen,availability_aliases,blocked_or_metadata,high_value_family,integration_status,recommended_repair_action,repair_priority_score
global_field_route,cn_fundamental_akshare_batch_v1_20260531\aggregated_v1,balance_sheet_report_em,ADVICE_ASSIGN_DIVIDEND,holder_corporate_action,announcement_pit_feature,candidate_after_pit_contract,use notice/disclosure date plus conservative next-trading-day lag,medium,registered,,False,,False,,,False,,False,,False,True,contract_only,materialize_pit_sidecar_before_formula_search,5.6
global_field_route,cn_fundamental_akshare_batch_v1_20260531\aggregated_v1,balance_sheet_report_em,ADVICE_ASSIGN_DIVIDEND_YOY,holder_corporate_action,announcement_pit_feature,candidate_after_pit_contract,use notice/disclosure date plus conservative next-trading-day lag,medium,registered,,False,,False,,,False,,False,,False,True,contract_only,materialize_pit_sidecar_before_formula_search,5.6
global_field_route,cn_fundamental_akshare_batch_v1_20260531\aggregated_v1,balance_sheet_report_em,AGENT_BUSINESS_ASSET,fundamental_quality_risk,announcement_pit_feature,candidate_after_pit_contract,use notice/disclosure date plus conservative next-trading-day lag,medium,registered,,False,,False,,,False,,False,,False,True,contract_only,materialize_pit_sidecar_before_formula_search,5.8
global_field_route,cn_fundamental_akshare_batch_v1_20260531\aggregated_v1,balance_sheet_report_em,AGENT_BUSINESS_ASSET_YOY,fundamental_quality_risk,announcement_pit_feature,candidate_after_pit_contract,use notice/disclosure date plus conservative next-trading-day lag,medium,registered,,False,,False,,,False,,False,,False,True,contract_only,materialize_pit_sidecar_before_formula_search,5.8
global_field_route,cn_fundamental_akshare_batch_v1_20260531\aggregated_v1,balance_sheet_report_em,AGENT_BUSINESS_LIAB,fundamental_quality_risk,announcement_pit_feature,candidate_after_pit_contract,use notice/disclosure date plus conservative next-trading-day lag,medium,registered,,False,,False,,,False,,False,,False,True,contract_only,materialize_pit_sidecar_before_formula_search,5.8
global_field_route,cn_fundamental_akshare_batch_v1_20260531\aggregated_v1,balance_sheet_report_em,AGENT_BUSINESS_LIAB_YOY,fundamental_quality_risk,announcement_pit_feature,candidate_after_pit_contract,use notice/disclosure date plus conservative next-trading-day lag,medium,registered,,False,,False,,,False,,False,,False,True,contract_only,materialize_pit_sidecar_before_formula_search,5.8
global_field_route,cn_fundamental_akshare_batch_v1_20260531\aggregated_v1,balance_sheet_report_em,CASH_DEPOSIT_PBC,fundamental_quality_risk,announcement_pit_feature,candidate_after_pit_contract,use notice/disclosure date plus conservative next-trading-day lag,medium,registered,,False,,False,,,False,,False,,False,True,contract_only,materialize_pit_sidecar_before_formula_search,5.8
global_field_route,cn_fundamental_akshare_batch_v1_20260531\aggregated_v1,balance_sheet_report_em,CASH_DEPOSIT_PBC_YOY,fundamental_quality_risk,announcement_pit_feature,candidate_after_pit_contract,use notice/disclosure date plus conservative next-trading-day lag,medium,registered,,False,,False,,,False,,False,,False,True,contract_only,materialize_pit_sidecar_before_formula_search,5.8
global_field_route,cn_fundamental_akshare_batch_v1_20260531\aggregated_v1,balance_sheet_report_em,IND_ACC_ASSET,fundamental_quality_risk,announcement_pit_feature,candidate_after_pit_contract,use notice/disclosure date plus conservative next-trading-day lag,medium,registered,,False,,False,,,False,,False,,False,True,contract_only,materialize_pit_sidecar_before_formula_search,5.8
global_field_route,cn_fundamental_akshare_batch_v1_20260531\aggregated_v1,balance_sheet_report_em,IND_ACC_ASSET_YOY,fundamental_quality_risk,announcement_pit_feature,candidate_after_pit_contract,use notice/disclosure date plus conservative next-trading-day lag,medium,registered,,False,,False,,,False,,False,,False,True,contract_only,materialize_pit_sidecar_before_formula_search,5.8
global_field_route,cn_fundamental_akshare_batch_v1_20260531\aggregated_v1,balance_sheet_report_em,IND_ACC_LIAB,fundamental_quality_risk,announcement_pit_feature,candidate_after_pit_contract,use notice/disclosure date plus conservative next-trading-day lag,medium,registered,,False,,False,,,False,,False,,False,True,contract_only,materialize_pit_sidecar_before_formula_search,5.8
global_field_route,cn_fundamental_akshare_batch_v1_20260531\aggregated_v1,balance_sheet_report_em,IND_ACC_LIAB_YOY,fundamental_quality_risk,announcement_pit_feature,candidate_after_pit_contract,use notice/disclosure date plus conservative next-trading-day lag,medium,registered,,False,,False,,,False,,False,,False,True,contract_only,materialize_pit_sidecar_before_formula_search,5.8
global_field_route,cn_fundamental_akshare_batch_v1_20260531\aggregated_v1,balance_sheet_report_em,MORTGAGE_ASSET_IMPAIRMENT,fundamental_quality_risk,announcement_pit_feature,candidate_after_pit_contract,use notice/disclosure date plus conservative next-trading-day lag,medium,registered,,False,,False,,,False,,False,,False,True,contract_only,materialize_pit_sidecar_before_formula_search,5.8
global_field_route,cn_fundamental_akshare_batch_v1_20260531\aggregated_v1,balance_sheet_report_em,MORTGAGE_ASSET_IMPAIRMENT_YOY,fundamental_quality_risk,announcement_pit_feature,candidate_after_pit_contract,use notice/disclosure date plus conservative next-trading-day lag,medium,registered,,False,,False,,,False,,False,,False,True,contract_only,materialize_pit_sidecar_before_formula_search,5.8
global_field_route,cn_fundamental_akshare_batch_v1_20260531\aggregated_v1,balance_sheet_report_em,NET_PENDMORTGAGE_ASSET,fundamental_quality_risk,announcement_pit_feature,candidate_after_pit_contract,use notice/disclosure date plus conservative next-trading-day lag,medium,registered,,False,,False,,,False,,False,,False,True,contract_only,materialize_pit_sidecar_before_formula_search,5.8
global_field_route,cn_fundamental_akshare_batch_v1_20260531\aggregated_v1,balance_sheet_report_em,NET_PENDMORTGAGE_ASSET_YOY,fundamental_quality_risk,announcement_pit_feature,candidate_after_pit_contract,use notice/disclosure date plus conservative next-trading-day lag,medium,registered,,False,,False,,,False,,False,,False,True,contract_only,materialize_pit_sidecar_before_formula_search,5.8
global_field_route,cn_fundamental_akshare_batch_v1_20260531\aggregated_v1,balance_sheet_report_em,OTHER_ASSET,fundamental_quality_risk,announcement_pit_feature,candidate_after_pit_contract,use notice/disclosure date plus conservative next-trading-day lag,medium,registered,,False,,False,,,False,,False,,False,True,contract_only,materialize_pit_sidecar_before_formula_search,5.8
global_field_route,cn_fundamental_akshare_batch_v1_20260531\aggregated_v1,balance_sheet_report_em,OTHER_ASSET_YOY,fundamental_quality_risk,announcement_pit_feature,candidate_after_pit_contract,use notice/disclosure date plus conservative next-trading-day lag,medium,registered,,False,,False,,,False,,False,,False,True,contract_only,materialize_pit_sidecar_before_formula_search,5.8
global_field_route,cn_fundamental_akshare_batch_v1_20260531\aggregated_v1,balance_sheet_report_em,OTHER_LIAB,fundamental_quality_risk,announcement_pit_feature,candidate_after_pit_contract,use notice/disclosure date plus conservative next-trading-day lag,medium,registered,,False,,False,,,False,,False,,False,True,contract_only,materialize_pit_sidecar_before_formula_search,5.8
global_field_route,cn_fundamental_akshare_batch_v1_20260531\aggregated_v1,balance_sheet_report_em,OTHER_LIAB_YOY,fundamental_quality_risk,announcement_pit_feature,candidate_after_pit_contract,use notice/disclosure date plus conservative next-trading-day lag,medium,registered,,False,,False,,,False,,False,,False,True,contract_only,materialize_pit_sidecar_before_formula_search,5.8
global_field_route,cn_fundamental_akshare_batch_v1_20260531\aggregated_v1,balance_sheet_report_em,PEND_MORTGAGE_ASSET,fundamental_quality_risk,announcement_pit_feature,candidate_after_pit_contract,use notice/disclosure date plus conservative next-trading-day lag,medium,registered,,False,,False,,,False,,False,,False,True,contract_only,materialize_pit_sidecar_before_formula_search,5.8
global_field_route,cn_fundamental_akshare_batch_v1_20260531\aggregated_v1,balance_sheet_report_em,PEND_MORTGAGE_ASSET_YOY,fundamental_quality_risk,announcement_pit_feature,candidate_after_pit_contract,use notice/disclosure date plus conservative next-trading-day lag,medium,registered,,False,,False,,,False,,False,,False,True,contract_only,materialize_pit_sidecar_before_formula_search,5.8
global_field_route,cn_fundamental_akshare_batch_v1_20260531\aggregated_v1,balance_sheet_report_em,POLICY_BONUS_PAYABLE,holder_corporate_action,announcement_pit_feature,candidate_after_pit_contract,use notice/disclosure date plus conservative next-trading-day lag,medium,registered,,False,,False,,,False,,False,,False,True,contract_only,materialize_pit_sidecar_before_formula_search,5.6
global_field_route,cn_fundamental_akshare_batch_v1_20260531\aggregated_v1,balance_sheet_report_em,POLICY_BONUS_PAYABLE_YOY,holder_corporate_action,announcement_pit_feature,candidate_after_pit_contract,use notice/disclosure date plus conservative next-trading-day lag,medium,registered,,False,,False,,,False,,False,,False,True,contract_only,materialize_pit_sidecar_before_formula_search,5.6
global_field_route,cn_fundamental_akshare_batch_v1_20260531\aggregated_v1,balance_sheet_report_em,REFUND_CAPITAL_DEPOSIT,capacity_size,announcement_pit_feature,candidate_after_pit_contract,use notice/disclosure date plus conservative next-trading-day lag,high,registered,,False,,False,,,False,,False,,False,True,contract_only,materialize_pit_sidecar_before_formula_search,7.6
