watchlist_group,field_name,dataset,field_family,integration_status,panel_aliases,factor_pack_aliases,selector_aliases,recommended_repair_action,repair_priority_score
valuation_pe_pb_ps,pb,hfq_daily_2026,other,integrated_selector_selected,ctx_hfq_inv_pb_lag1|ctx_hfq_pb|ctx_hfq_pb_lag1|ctx_hfq_pb_x|ctx_hfq_pb_y,ctx_hfq_inv_pb_lag1|ctx_hfq_pb_lag1,ctx_hfq_inv_pb_lag1,replay_style_cost_audit_if_selected,0.7
valuation_pe_pb_ps,pe_ttm,hfq_daily_2026,other,integrated_selector_selected,ctx_hfq_inv_pe_ttm_lag1|ctx_hfq_pe_ttm|ctx_hfq_pe_ttm_lag1|ctx_hfq_pe_ttm_x|ctx_hfq_pe_ttm_y,ctx_hfq_inv_pe_ttm_lag1|ctx_hfq_pe_ttm_lag1,ctx_hfq_inv_pe_ttm_lag1|ctx_hfq_pe_ttm_lag1,replay_style_cost_audit_if_selected,0.7
valuation_pe_pb_ps,ps_ttm,hfq_daily_2026,other,integrated_selector_selected,ctx_hfq_inv_ps_ttm_lag1|ctx_hfq_ps_ttm|ctx_hfq_ps_ttm_lag1|ctx_hfq_ps_ttm_x|ctx_hfq_ps_ttm_y,ctx_hfq_inv_ps_ttm_lag1|ctx_hfq_ps_ttm_lag1,ctx_hfq_inv_ps_ttm_lag1,replay_style_cost_audit_if_selected,0.7
valuation_pe_pb_ps,pe_ttm,year=2024,fundamental,integrated_selector_selected,ctx_hfq_inv_pe_ttm_lag1|ctx_hfq_pe_ttm|ctx_hfq_pe_ttm_lag1|ctx_hfq_pe_ttm_x|ctx_hfq_pe_ttm_y,ctx_hfq_inv_pe_ttm_lag1|ctx_hfq_pe_ttm_lag1,ctx_hfq_inv_pe_ttm_lag1|ctx_hfq_pe_ttm_lag1,replay_style_cost_audit_if_selected,1.7
valuation_pe_pb_ps,pb,year=2024,fundamental,integrated_selector_selected,ctx_hfq_inv_pb_lag1|ctx_hfq_pb|ctx_hfq_pb_lag1|ctx_hfq_pb_x|ctx_hfq_pb_y,ctx_hfq_inv_pb_lag1|ctx_hfq_pb_lag1,ctx_hfq_inv_pb_lag1,replay_style_cost_audit_if_selected,1.7
valuation_pe_pb_ps,ps_ttm,year=2024,fundamental,integrated_selector_selected,ctx_hfq_inv_ps_ttm_lag1|ctx_hfq_ps_ttm|ctx_hfq_ps_ttm_lag1|ctx_hfq_ps_ttm_x|ctx_hfq_ps_ttm_y,ctx_hfq_inv_ps_ttm_lag1|ctx_hfq_ps_ttm_lag1,ctx_hfq_inv_ps_ttm_lag1,replay_style_cost_audit_if_selected,1.7
valuation_pe_pb_ps,pe_ttm,year=2025,fundamental,integrated_selector_selected,ctx_hfq_inv_pe_ttm_lag1|ctx_hfq_pe_ttm|ctx_hfq_pe_ttm_lag1|ctx_hfq_pe_ttm_x|ctx_hfq_pe_ttm_y,ctx_hfq_inv_pe_ttm_lag1|ctx_hfq_pe_ttm_lag1,ctx_hfq_inv_pe_ttm_lag1|ctx_hfq_pe_ttm_lag1,replay_style_cost_audit_if_selected,1.7
valuation_pe_pb_ps,pb,year=2025,fundamental,integrated_selector_selected,ctx_hfq_inv_pb_lag1|ctx_hfq_pb|ctx_hfq_pb_lag1|ctx_hfq_pb_x|ctx_hfq_pb_y,ctx_hfq_inv_pb_lag1|ctx_hfq_pb_lag1,ctx_hfq_inv_pb_lag1,replay_style_cost_audit_if_selected,1.7
valuation_pe_pb_ps,ps_ttm,year=2025,fundamental,integrated_selector_selected,ctx_hfq_inv_ps_ttm_lag1|ctx_hfq_ps_ttm|ctx_hfq_ps_ttm_lag1|ctx_hfq_ps_ttm_x|ctx_hfq_ps_ttm_y,ctx_hfq_inv_ps_ttm_lag1|ctx_hfq_ps_ttm_lag1,ctx_hfq_inv_ps_ttm_lag1,replay_style_cost_audit_if_selected,1.7
valuation_pe_pb_ps,pe_ttm,hfq_daily_2026,fundamental,integrated_selector_selected,ctx_hfq_inv_pe_ttm_lag1|ctx_hfq_pe_ttm|ctx_hfq_pe_ttm_lag1|ctx_hfq_pe_ttm_x|ctx_hfq_pe_ttm_y,ctx_hfq_inv_pe_ttm_lag1|ctx_hfq_pe_ttm_lag1,ctx_hfq_inv_pe_ttm_lag1|ctx_hfq_pe_ttm_lag1,replay_style_cost_audit_if_selected,1.7
