variant,clusters,cluster_count,gate,weight_mode,lookback,max_weight,shrink_to_equal,active_days,active_day_ratio,days,mean_daily,ann_simple,ann_compound,sharpe,sortino,hit_rate,max_drawdown,total_return
X0_official_6,cluster_001|cluster_005|cluster_006|cluster_009|cluster_002|cluster_004,6,R0_no_gate,walk_forward,60,0.3,0.5,78,1.0,78,0.00174998,0.440994,0.553653,1.780022,3.40425,0.525641,-0.11169965,0.135314
X0_official_6,cluster_001|cluster_005|cluster_006|cluster_009|cluster_002|cluster_004,6,R3_liquidity_low,walk_forward,60,0.3,0.5,38,0.487179,78,0.00278409,0.70159,1.014992,4.30501,6.182896,0.307692,-0.03192646,0.23712
X0_official_6,cluster_001|cluster_005|cluster_006|cluster_009|cluster_002|cluster_004,6,R5_vol_or_trendlow_or_liqlow,walk_forward,60,0.3,0.5,52,0.666667,78,0.00264541,0.666644,0.945977,3.4908,7.02401,0.371795,-0.04147111,0.221983
X0_official_6,cluster_001|cluster_005|cluster_006|cluster_009|cluster_002|cluster_004,6,R6_at_least_2_of_vol_trend_liq,walk_forward,60,0.3,0.5,43,0.551282,78,0.00233428,0.588239,0.799581,3.450166,5.796046,0.320513,-0.04797345,0.194112
X0_official_6,cluster_001|cluster_005|cluster_006|cluster_009|cluster_002|cluster_004,6,R0_no_gate,walk_forward,90,0.3,0.5,78,1.0,78,0.00192082,0.484046,0.621873,1.94411,3.804329,0.538462,-0.11383057,0.150415
X0_official_6,cluster_001|cluster_005|cluster_006|cluster_009|cluster_002|cluster_004,6,R3_liquidity_low,walk_forward,90,0.3,0.5,38,0.487179,78,0.00304536,0.76743,1.151711,4.44893,5.856593,0.320513,-0.0345351,0.261897
X0_official_6,cluster_001|cluster_005|cluster_006|cluster_009|cluster_002|cluster_004,6,R5_vol_or_trendlow_or_liqlow,walk_forward,90,0.3,0.5,52,0.666667,78,0.00288083,0.725969,1.064576,3.642416,6.852867,0.384615,-0.04182146,0.243946
X0_official_6,cluster_001|cluster_005|cluster_006|cluster_009|cluster_002|cluster_004,6,R6_at_least_2_of_vol_trend_liq,walk_forward,90,0.3,0.5,43,0.551282,78,0.00263581,0.664224,0.941285,3.67559,5.800557,0.333333,-0.05072726,0.221787
X0_official_6,cluster_001|cluster_005|cluster_006|cluster_009|cluster_002|cluster_004,6,R0_no_gate,walk_forward,120,0.3,0.5,78,1.0,78,0.00204306,0.514852,0.672513,2.160857,4.060785,0.525641,-0.10310651,0.162354
X0_official_6,cluster_001|cluster_005|cluster_006|cluster_009|cluster_002|cluster_004,6,R3_liquidity_low,walk_forward,120,0.3,0.5,38,0.487179,78,0.00299497,0.754733,1.124646,4.456963,6.050358,0.307692,-0.03277922,0.257171
X0_official_6,cluster_001|cluster_005|cluster_006|cluster_009|cluster_002|cluster_004,6,R5_vol_or_trendlow_or_liqlow,walk_forward,120,0.3,0.5,52,0.666667,78,0.00291675,0.73502,1.083293,3.857234,6.843333,0.371795,-0.04027213,0.248078
X0_official_6,cluster_001|cluster_005|cluster_006|cluster_009|cluster_002|cluster_004,6,R6_at_least_2_of_vol_trend_liq,walk_forward,120,0.3,0.5,43,0.551282,78,0.00269446,0.679003,0.970111,3.924837,5.946317,0.320513,-0.04056842,0.227889
X1_research_9,cluster_001|cluster_005|cluster_008|cluster_006|cluster_009|cluster_003|cluster_002|cluster_007|cluster_004,9,R0_no_gate,walk_forward,60,0.3,0.5,78,1.0,78,0.00214096,0.539523,0.714199,1.989579,3.537112,0.538462,-0.11771427,0.1682
X1_research_9,cluster_001|cluster_005|cluster_008|cluster_006|cluster_009|cluster_003|cluster_002|cluster_007|cluster_004,9,R3_liquidity_low,walk_forward,60,0.3,0.5,38,0.487179,78,0.00302746,0.762919,1.142056,4.232103,5.009258,0.307692,-0.04064608,0.259604
X1_research_9,cluster_001|cluster_005|cluster_008|cluster_006|cluster_009|cluster_003|cluster_002|cluster_007|cluster_004,9,R5_vol_or_trendlow_or_liqlow,walk_forward,60,0.3,0.5,52,0.666667,78,0.00294461,0.742042,1.097932,3.535279,6.058593,0.371795,-0.05691611,0.249296
X1_research_9,cluster_001|cluster_005|cluster_008|cluster_006|cluster_009|cluster_003|cluster_002|cluster_007|cluster_004,9,R6_at_least_2_of_vol_trend_liq,walk_forward,60,0.3,0.5,43,0.551282,78,0.00247762,0.62436,0.86561,3.287142,4.60165,0.320513,-0.06236882,0.206199
X1_research_9,cluster_001|cluster_005|cluster_008|cluster_006|cluster_009|cluster_003|cluster_002|cluster_007|cluster_004,9,R0_no_gate,walk_forward,90,0.3,0.5,78,1.0,78,0.00228914,0.576863,0.779271,2.131481,3.839977,0.551282,-0.11482429,0.18181
X1_research_9,cluster_001|cluster_005|cluster_008|cluster_006|cluster_009|cluster_003|cluster_002|cluster_007|cluster_004,9,R3_liquidity_low,walk_forward,90,0.3,0.5,38,0.487179,78,0.00317287,0.799564,1.221756,4.308907,5.079161,0.320513,-0.04373415,0.273551
X1_research_9,cluster_001|cluster_005|cluster_008|cluster_006|cluster_009|cluster_003|cluster_002|cluster_007|cluster_004,9,R5_vol_or_trendlow_or_liqlow,walk_forward,90,0.3,0.5,52,0.666667,78,0.00311365,0.784641,1.188949,3.665046,6.309413,0.384615,-0.05797634,0.265485
X1_research_9,cluster_001|cluster_005|cluster_008|cluster_006|cluster_009|cluster_003|cluster_002|cluster_007|cluster_004,9,R6_at_least_2_of_vol_trend_liq,walk_forward,90,0.3,0.5,43,0.551282,78,0.00266802,0.67234,0.957062,3.439513,4.860287,0.333333,-0.064124,0.223801
X1_research_9,cluster_001|cluster_005|cluster_008|cluster_006|cluster_009|cluster_003|cluster_002|cluster_007|cluster_004,9,R0_no_gate,walk_forward,120,0.3,0.5,78,1.0,78,0.00242423,0.610906,0.840738,2.309709,4.144668,0.551282,-0.10913761,0.194915
X1_research_9,cluster_001|cluster_005|cluster_008|cluster_006|cluster_009|cluster_003|cluster_002|cluster_007|cluster_004,9,R3_liquidity_low,walk_forward,120,0.3,0.5,38,0.487179,78,0.00325556,0.820402,1.268388,4.401581,5.187846,0.320513,-0.03925991,0.281712
X1_research_9,cluster_001|cluster_005|cluster_008|cluster_006|cluster_009|cluster_003|cluster_002|cluster_007|cluster_004,9,R5_vol_or_trendlow_or_liqlow,walk_forward,120,0.3,0.5,52,0.666667,78,0.00320145,0.806765,1.237762,3.830322,6.417864,0.384615,-0.0527007,0.274445
