book,cluster_count,grade_a_count,new_vs_149_proxy_count,median_turnover,p90_turnover,median_capacity_proxy,mean_cost_adjusted_score,limit_suspension_loss_proxy,raw_pass_total,max_raw_share,source_lane_top_share,top_source_lane,field_family_top_share,top_field_family,clusters
L0_grade_a_daily_proxy,13,13,8,0.094871,0.182115,61115043.581,3.342089,0.015794,19,0.210526,0.538462,formula_gen_v2_repair_expansion,0.5,price,s47_cluster_006|cluster_018|cluster_014|s48_cluster_006|s50_cluster_005|s49_cluster_007|cluster_008|s47_cluster_013|s50_cluster_006|cluster_017|s49_cluster_008|s48_cluster_008|s47_cluster_005
L1_grade_a_low_turnover_capacity,13,13,8,0.094871,0.182115,61115043.581,3.342089,0.015794,19,0.210526,0.538462,formula_gen_v2_repair_expansion,0.5,price,s47_cluster_006|cluster_018|cluster_014|s48_cluster_006|s50_cluster_005|s49_cluster_007|cluster_008|s47_cluster_013|s50_cluster_006|cluster_017|s49_cluster_008|s48_cluster_008|s47_cluster_005
L2_grade_a_diversified,12,12,8,0.096575,0.185914,62948134.113,3.353168,0.015679,15,0.133333,0.5,formula_gen_v2_repair_expansion,0.5,price,s47_cluster_006|cluster_014|s48_cluster_006|s50_cluster_005|s49_cluster_007|cluster_008|s47_cluster_013|s50_cluster_006|cluster_017|s49_cluster_008|s48_cluster_008|s47_cluster_005
