candidate_id,expression_hash,expression,factor_lane,source_lane,source_generator,fields,fields_list,max_window,search_memory_key,policy_score,expected_direction,x0_r3_role,note,cem_prior_score
phase3bp_00001,7d162a40a608f2134a09b324,"CSRank(Mul(ZScore(Delta($intraday_ret_from_open,30)),ZScore(Std($ret_1m,30))))",cem_interaction::rx_intraday_return::rx_volatility_state::product,phase3bp_true1min_cem_elite,phase3bp_true1min_cem_elite,intraday_ret_from_open|ret_1m,"['intraday_ret_from_open', 'ret_1m']",30,phase3bp:7d162a40a608f2134a09b324,0.22128052,1,read_only_research_candidate,cem seed interaction intraday_delta_30 x ret_vol_30 product,0.22995452
phase3bp_00002,c4b961b5fee67547ee7ddc07,"CSRank(Sub(ZScore(Delta($intraday_ret_from_open,30)),ZScore(Std($ret_1m,30))))",cem_interaction::rx_intraday_return::rx_volatility_state::spread,phase3bp_true1min_cem_elite,phase3bp_true1min_cem_elite,intraday_ret_from_open|ret_1m,"['intraday_ret_from_open', 'ret_1m']",30,phase3bp:c4b961b5fee67547ee7ddc07,0.21794529,1,read_only_research_candidate,cem seed interaction intraday_delta_30 x ret_vol_30 spread,0.22645829
phase3bp_00003,6153de835bd6744469cb5d4d,"CSRank(Mul(ZScore(Delta($intraday_ret_from_open,8)),ZScore(Std($ret_1m,30))))",cem_interaction::rx_intraday_return::rx_volatility_state::product,phase3bp_true1min_cem_elite,phase3bp_true1min_cem_elite,intraday_ret_from_open|ret_1m,"['intraday_ret_from_open', 'ret_1m']",30,phase3bp:6153de835bd6744469cb5d4d,0.21619697,1,read_only_research_candidate,cem seed interaction intraday_delta_8 x ret_vol_30 product,0.22465897
phase3bp_00004,cbdca9c4dd9873b1b7edb591,"CSRank(Mul(ZScore(Delta($intraday_ret_from_open,30)),ZScore(Std($ret_1m,8))))",cem_interaction::rx_intraday_return::rx_volatility_state::product,phase3bp_true1min_cem_elite,phase3bp_true1min_cem_elite,intraday_ret_from_open|ret_1m,"['intraday_ret_from_open', 'ret_1m']",30,phase3bp:cbdca9c4dd9873b1b7edb591,0.21619697,1,read_only_research_candidate,cem seed interaction intraday_delta_30 x ret_vol_8 product,0.22449397
phase3bp_00005,7e671cad2bcd11d231b5e1e6,"CSRank(Mul(ZScore(Delta($intraday_ret_from_open,15)),ZScore(Std($ret_1m,30))))",cem_interaction::rx_intraday_return::rx_volatility_state::product,phase3bp_true1min_cem_elite,phase3bp_true1min_cem_elite,intraday_ret_from_open|ret_1m,"['intraday_ret_from_open', 'ret_1m']",30,phase3bp:7e671cad2bcd11d231b5e1e6,0.21415047,1,read_only_research_candidate,cem seed interaction intraday_delta_15 x ret_vol_30 product,0.22308247
phase3bp_00006,c70970f75bba91b06e076457,"CSRank(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),30))))",cem_atom::rx_range_location::rank,phase3bp_true1min_cem_elite,phase3bp_true1min_cem_elite,close|high|low,"['close', 'high', 'low']",0,phase3bp:c70970f75bba91b06e076457,0.22042639,1,read_only_research_candidate,cem seed atom bar_loc_shift_30,0.22050639
phase3bp_00007,99d1e7f5a79f49f3a2661218,"Neg(CSRank(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),30)))))",cem_atom::rx_range_location::inverted,phase3bp_true1min_cem_elite,phase3bp_true1min_cem_elite,close|high|low,"['close', 'high', 'low']",0,phase3bp:99d1e7f5a79f49f3a2661218,0.22123996,1,read_only_research_candidate,cem seed atom bar_loc_shift_30,0.21598296
phase3bp_00008,919d4ed87c7ad94cd1a0cf0a,"CSRank(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),8))))",cem_atom::rx_range_location::rank,phase3bp_true1min_cem_elite,phase3bp_true1min_cem_elite,close|high|low,"['close', 'high', 'low']",0,phase3bp:919d4ed87c7ad94cd1a0cf0a,0.21025929,1,read_only_research_candidate,cem seed atom bar_loc_shift_8,0.21124929
phase3bp_00009,e7ab4ef435533eff9ab3a00b,"CSRank(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),10))))",cem_atom::rx_range_location::rank,phase3bp_true1min_cem_elite,phase3bp_true1min_cem_elite,close|high|low,"['close', 'high', 'low']",0,phase3bp:e7ab4ef435533eff9ab3a00b,0.20651939,1,read_only_research_candidate,cem seed atom bar_loc_shift_10,0.20718939
phase3bp_00010,70059e34f028e13c03845e5a,"CSRank(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),20))))",cem_atom::rx_range_location::rank,phase3bp_true1min_cem_elite,phase3bp_true1min_cem_elite,close|high|low,"['close', 'high', 'low']",0,phase3bp:70059e34f028e13c03845e5a,0.20655559,1,read_only_research_candidate,cem seed atom bar_loc_shift_20,0.20702559
phase3bp_00011,aa9a6af0255f880beee0b6ee,"Neg(CSRank(ZScore(Delta($intraday_ret_from_open,30))))",cem_atom::rx_intraday_return::inverted,phase3bp_true1min_cem_elite,phase3bp_true1min_cem_elite,intraday_ret_from_open,['intraday_ret_from_open'],30,phase3bp:aa9a6af0255f880beee0b6ee,0.16702772,1,read_only_research_candidate,cem seed atom intraday_delta_30,0.17167772
