signal_cluster_id,identity_action,event_family,active_ratio,r3_active_count,candidate_active_count,candidate_median_turnover,candidate_p90_turnover,corr_candidate_to_x0_r3_on_active,x0_no_gate_days,x0_no_gate_mean_daily,x0_no_gate_ann_compound,x0_no_gate_sharpe,x0_no_gate_sortino,x0_no_gate_max_drawdown,x0_no_gate_total_return,x0_r3_days,x0_r3_mean_daily,x0_r3_ann_compound,x0_r3_sharpe,x0_r3_sortino,x0_r3_max_drawdown,x0_r3_total_return,candidate_full_days,candidate_full_mean_daily,candidate_full_ann_compound,candidate_full_sharpe,candidate_full_sortino,candidate_full_max_drawdown,candidate_full_total_return,candidate_r3_full_days,candidate_r3_full_mean_daily,candidate_r3_full_ann_compound,candidate_r3_full_sharpe,candidate_r3_full_sortino,candidate_r3_full_max_drawdown,candidate_r3_full_total_return,blend7_r3_days,blend7_r3_mean_daily,blend7_r3_ann_compound,blend7_r3_sharpe,blend7_r3_sortino,blend7_r3_max_drawdown,blend7_r3_total_return,blend7_r3_delta_ann_vs_x0_r3,blend7_r3_delta_sortino_vs_x0_r3,representative_expression,overlay_decision
cluster_007,HOLD_TURNOVER_COST_STRESS_BEFORE_OOS,limit_streak,0.602564,11,47,0.700136,0.981531,0.158222,78,0.00217568,0.729231,2.219926,4.391617,-0.10425684,0.17365281,78,0.00216319,0.723808,4.336271,6.209199,-0.01576915,0.18073583,78,0.00044344,0.118201,0.654094,0.863438,-0.09068955,0.03052322,78,0.00043069,0.114617,1.266364,0.988636,-0.02809774,0.03298785,78,0.00191569,0.619784,4.351749,6.194243,-0.01418987,0.15882158,-0.104024,-0.014956,"Neg(CSRank(Mul(ZScore(Div(Mean($turnover_rate,1),Mean($turnover_rate,11))),ZScore(Sub(Mean(Delay($market_high_board_leader_ge8,1),2),Mean(Delay($market_high_board_leader_ge8,1),11))))))",REJECT_OVERLAY_HIGH_TURNOVER
cluster_030,HOLD_EXPAND_SAMPLE_BEFORE_REPLAY,limit_open_not_close,0.897436,18,70,0.036532,0.06945,0.544956,78,0.00217568,0.729231,2.219926,4.391617,-0.10425684,0.17365281,78,0.00216319,0.723808,4.336271,6.209199,-0.01576915,0.18073583,78,0.00033571,0.088265,0.580862,1.00215,-0.06785077,0.02316753,78,0.00036591,0.096576,1.174408,1.571037,-0.03258673,0.02797417,78,0.00190644,0.616018,4.22123,5.490693,-0.0146563,0.15787261,-0.10779,-0.718506,"Neg(ZScore(Delay($limit_up_open_not_close,1)))",REJECT_OVERLAY_NO_MARGINAL_VALUE
cluster_001,ALLOW_OOS_REGIME_REPLAY,limit_streak,0.653846,15,51,0.013678,0.018519,0.288368,78,0.00217568,0.729231,2.219926,4.391617,-0.10425684,0.17365281,78,0.00216319,0.723808,4.336271,6.209199,-0.01576915,0.18073583,78,0.00033236,0.087348,0.712981,1.101418,-0.06690866,0.02407677,78,0.00035062,0.09236,1.114774,0.831597,-0.02835532,0.02672827,78,0.00190425,0.61513,4.298948,5.902248,-0.01465435,0.15776289,-0.108678,-0.306951,"Neg(ZScore(Mean(Delay($market_high_board_leader_ge9,1),15)))",REJECT_OVERLAY_NO_MARGINAL_VALUE
cluster_017,ALLOW_OOS_REGIME_REPLAY_WITH_STRICT_MISMATCH_FLAG,limit_streak,0.679487,14,53,0.01372,0.018555,0.285364,78,0.00217568,0.729231,2.219926,4.391617,-0.10425684,0.17365281,78,0.00216319,0.723808,4.336271,6.209199,-0.01576915,0.18073583,78,0.00060668,0.165134,1.161823,1.678987,-0.0450256,0.04564384,78,0.00030228,0.079139,0.963964,0.7168,-0.02835983,0.0228715,78,0.00189735,0.612328,4.293659,5.880845,-0.01465435,0.1571511,-0.11148,-0.328354,"Neg(ZScore(Mean(Delay($market_high_board_leader_ge8,1),14)))",REJECT_OVERLAY_NO_MARGINAL_VALUE
cluster_002,ALLOW_OOS_REGIME_REPLAY_WITH_STRICT_MISMATCH_FLAG,limit_streak,0.474359,7,37,0.013804,0.020313,0.29353,78,0.00217568,0.729231,2.219926,4.391617,-0.10425684,0.17365281,78,0.00216319,0.723808,4.336271,6.209199,-0.01576915,0.18073583,78,0.00098542,0.281722,2.228186,3.217619,-0.0387938,0.07779223,78,0.00015909,0.040901,0.524738,0.490772,-0.02835983,0.01157678,78,0.00187689,0.604053,4.264885,5.906068,-0.01465435,0.15532759,-0.119755,-0.303131,"Neg(ZScore(Mean(Delay($limit_up_streak_ge8,1),7)))",REJECT_OVERLAY_NO_MARGINAL_VALUE
