name,cluster_count,retention_vs_j0,median_turnover,p90_turnover,capacity_proxy_median,amount_20d_median,limit_suspension_loss_proxy,max_raw_share,source_lane_top_share,equal_cost_adjusted_score,amount_q,capacity_q,gate_mode,limit_max,susp_max,pass_gate
J4_relaxed_a0.05_c0.05_and_l0.2,22,0.647059,0.174296,0.278967,24333428.564258,1095651078.4,0.025427,0.133333,0.545455,1.840207,0.05,0.05,and,0.2,0.01,True
J4_relaxed_a0.05_c0.05_and_l0.25,22,0.647059,0.174296,0.278967,24333428.564258,1095651078.4,0.025427,0.133333,0.545455,1.840207,0.05,0.05,and,0.25,0.01,True
J4_relaxed_a0.05_c0.05_and_l0.3,22,0.647059,0.174296,0.278967,24333428.564258,1095651078.4,0.025427,0.133333,0.545455,1.840207,0.05,0.05,and,0.3,0.01,True
J4_relaxed_a0.05_c0.1_and_l0.2,22,0.647059,0.174296,0.278967,24333428.564258,1095651078.4,0.025427,0.133333,0.545455,1.840207,0.05,0.1,and,0.2,0.01,True
J4_relaxed_a0.05_c0.1_and_l0.25,22,0.647059,0.174296,0.278967,24333428.564258,1095651078.4,0.025427,0.133333,0.545455,1.840207,0.05,0.1,and,0.25,0.01,True
J4_relaxed_a0.05_c0.1_and_l0.3,22,0.647059,0.174296,0.278967,24333428.564258,1095651078.4,0.025427,0.133333,0.545455,1.840207,0.05,0.1,and,0.3,0.01,True
J4_relaxed_a0.1_c0.05_and_l0.2,22,0.647059,0.174296,0.278967,24333428.564258,1095651078.4,0.025427,0.133333,0.545455,1.840207,0.1,0.05,and,0.2,0.01,True
J4_relaxed_a0.1_c0.05_and_l0.25,22,0.647059,0.174296,0.278967,24333428.564258,1095651078.4,0.025427,0.133333,0.545455,1.840207,0.1,0.05,and,0.25,0.01,True
J4_relaxed_a0.1_c0.05_and_l0.3,22,0.647059,0.174296,0.278967,24333428.564258,1095651078.4,0.025427,0.133333,0.545455,1.840207,0.1,0.05,and,0.3,0.01,True
J4_relaxed_a0.1_c0.1_and_l0.2,21,0.617647,0.170802,0.256782,24771722.56582,1124588403.2,0.026135,0.137931,0.571429,1.761269,0.1,0.1,and,0.2,0.01,True
J4_relaxed_a0.1_c0.1_and_l0.25,21,0.617647,0.170802,0.256782,24771722.56582,1124588403.2,0.026135,0.137931,0.571429,1.761269,0.1,0.1,and,0.25,0.01,True
J4_relaxed_a0.1_c0.1_and_l0.3,21,0.617647,0.170802,0.256782,24771722.56582,1124588403.2,0.026135,0.137931,0.571429,1.761269,0.1,0.1,and,0.3,0.01,True
J4_relaxed_a0.1_c0.0_or_l0.2,20,0.588235,0.159838,0.254783,25677122.48291,1126353590.4,0.024938,0.142857,0.55,1.796273,0.1,0.0,or,0.2,0.01,True
J4_relaxed_a0.1_c0.0_or_l0.25,20,0.588235,0.159838,0.254783,25677122.48291,1126353590.4,0.024938,0.142857,0.55,1.796273,0.1,0.0,or,0.25,0.01,True
J4_relaxed_a0.1_c0.0_or_l0.3,20,0.588235,0.159838,0.254783,25677122.48291,1126353590.4,0.024938,0.142857,0.55,1.796273,0.1,0.0,or,0.3,0.01,True
J4_relaxed_a0.1_c0.15_and_l0.2,20,0.588235,0.159838,0.254783,25677122.48291,1126353590.4,0.024938,0.142857,0.55,1.796273,0.1,0.15,and,0.2,0.01,True
J4_relaxed_a0.1_c0.15_and_l0.25,20,0.588235,0.159838,0.254783,25677122.48291,1126353590.4,0.024938,0.142857,0.55,1.796273,0.1,0.15,and,0.25,0.01,True
J4_relaxed_a0.1_c0.15_and_l0.3,20,0.588235,0.159838,0.254783,25677122.48291,1126353590.4,0.024938,0.142857,0.55,1.796273,0.1,0.15,and,0.3,0.01,True
J4_relaxed_a0.1_c0.2_and_l0.2,20,0.588235,0.159838,0.254783,25677122.48291,1126353590.4,0.024938,0.142857,0.55,1.796273,0.1,0.2,and,0.2,0.01,True
J4_relaxed_a0.1_c0.2_and_l0.25,20,0.588235,0.159838,0.254783,25677122.48291,1126353590.4,0.024938,0.142857,0.55,1.796273,0.1,0.2,and,0.25,0.01,True
J4_relaxed_a0.1_c0.2_and_l0.3,20,0.588235,0.159838,0.254783,25677122.48291,1126353590.4,0.024938,0.142857,0.55,1.796273,0.1,0.2,and,0.3,0.01,True
J4_relaxed_a0.1_c0.25_and_l0.2,20,0.588235,0.159838,0.254783,25677122.48291,1126353590.4,0.024938,0.142857,0.55,1.796273,0.1,0.25,and,0.2,0.01,True
J4_relaxed_a0.1_c0.25_and_l0.25,20,0.588235,0.159838,0.254783,25677122.48291,1126353590.4,0.024938,0.142857,0.55,1.796273,0.1,0.25,and,0.25,0.01,True
J4_relaxed_a0.1_c0.25_and_l0.3,20,0.588235,0.159838,0.254783,25677122.48291,1126353590.4,0.024938,0.142857,0.55,1.796273,0.1,0.25,and,0.3,0.01,True
J4_relaxed_a0.0_c0.1_or_l0.2,20,0.588235,0.174296,0.259247,25677122.48291,1126353590.4,0.026127,0.142857,0.55,1.714014,0.0,0.1,or,0.2,0.01,True
J4_relaxed_a0.0_c0.1_or_l0.25,20,0.588235,0.174296,0.259247,25677122.48291,1126353590.4,0.026127,0.142857,0.55,1.714014,0.0,0.1,or,0.25,0.01,True
J4_relaxed_a0.0_c0.1_or_l0.3,20,0.588235,0.174296,0.259247,25677122.48291,1126353590.4,0.026127,0.142857,0.55,1.714014,0.0,0.1,or,0.3,0.01,True
J4_relaxed_a0.15_c0.1_and_l0.2,20,0.588235,0.174296,0.259247,25677122.48291,1126353590.4,0.026127,0.142857,0.55,1.714014,0.15,0.1,and,0.2,0.01,True
J4_relaxed_a0.15_c0.1_and_l0.25,20,0.588235,0.174296,0.259247,25677122.48291,1126353590.4,0.026127,0.142857,0.55,1.714014,0.15,0.1,and,0.25,0.01,True
J4_relaxed_a0.15_c0.1_and_l0.3,20,0.588235,0.174296,0.259247,25677122.48291,1126353590.4,0.026127,0.142857,0.55,1.714014,0.15,0.1,and,0.3,0.01,True
J4_relaxed_a0.2_c0.1_and_l0.2,20,0.588235,0.174296,0.259247,25677122.48291,1126353590.4,0.026127,0.142857,0.55,1.714014,0.2,0.1,and,0.2,0.01,True
J4_relaxed_a0.2_c0.1_and_l0.25,20,0.588235,0.174296,0.259247,25677122.48291,1126353590.4,0.026127,0.142857,0.55,1.714014,0.2,0.1,and,0.25,0.01,True
J4_relaxed_a0.2_c0.1_and_l0.3,20,0.588235,0.174296,0.259247,25677122.48291,1126353590.4,0.026127,0.142857,0.55,1.714014,0.2,0.1,and,0.3,0.01,True
J4_relaxed_a0.25_c0.1_and_l0.2,20,0.588235,0.174296,0.259247,25677122.48291,1126353590.4,0.026127,0.142857,0.55,1.714014,0.25,0.1,and,0.2,0.01,True
J4_relaxed_a0.25_c0.1_and_l0.25,20,0.588235,0.174296,0.259247,25677122.48291,1126353590.4,0.026127,0.142857,0.55,1.714014,0.25,0.1,and,0.25,0.01,True
