factor_lane,count,best_abs_aligned_ic,followup_count,future_wrong_lag_count
cem_interaction::rx_range_location::rx_opening_amount::spread,6,0.2175969885,0,6
cem_atom::rx_range_location::rank,5,0.2150378094,0,5
cem_atom::rx_range_location::inverted,3,0.2150378094,0,3
cem_interaction::rx_range_location::rx_opening_amount::product,6,0.2117057359,0,6
cem_interaction::rx_range_location::rx_flow_amount_volume::spread,8,0.198217989,0,8
cem_interaction::rx_range_location::rx_opening_amount::signed_state,3,0.178158804,0,3
cem_interaction::rx_range_location::rx_range_location::spread,4,0.1717274675,0,4
cem_interaction::rx_range_location::rx_volatility_state::spread,4,0.1697462147,0,4
cem_interaction::rx_intraday_return::rx_opening_amount::product,7,0.1463827204,0,1
cem_atom::rx_intraday_return::inverted,3,0.1290603591,0,1
cem_interaction::rx_intraday_return::rx_opening_amount::spread,6,0.1286237011,0,0
cem_atom::rx_intraday_return::rank,2,0.1204469732,0,0
cem_interaction::rx_intraday_return::rx_range_location::spread,8,0.1056880651,0,7
cem_interaction::rx_intraday_return::rx_opening_amount::signed_state,3,0.09074762503,0,0
cem_interaction::rx_intraday_return::rx_volatility_state::spread,1,0.07305447623,0,1
cem_interaction::rx_range_location::rx_range_location::product,1,0.06687844469,0,0
cem_interaction::rx_opening_amount::rx_range_location::spread,6,0.05395227531,0,3
cem_interaction::rx_opening_amount::rx_range_location::product,3,0.04153248092,0,2
cem_interaction::rx_opening_range::rx_range_location::spread,2,0.04152851629,0,1
cem_interaction::rx_intraday_return::rx_flow_amount_volume::product,5,0.03761538718,0,0
cem_interaction::rx_opening_range::rx_range_location::product,5,0.03366582018,0,2
cem_resample::rx_intraday_return::rx_flow_amount_volume::elite_inverted_product,2,0.03264608222,0,0
cem_interaction::rx_range_location::rx_flow_amount_volume::product,1,0.03206199948,0,1
cem_interaction::rx_opening_divergence::rx_volatility_state::spread,1,0.02923701695,0,1
cem_interaction::rx_intraday_return::rx_flow_amount_volume::signed_state,1,0.02807637071,0,0
