field,status,non_null_rows,row_count,coverage_ratio,coverage_bucket
amount,present,988005,988005,1.0,high
ctx_fund_bs_cash_to_assets,present,31379,988005,0.03175996,fragile_sparse
ctx_fund_bs_debt_to_assets,present,31701,988005,0.03208587,fragile_sparse
ctx_fund_bs_goodwill_to_assets,present,22352,988005,0.02262337,fragile_sparse
ctx_fund_bs_inventory_to_assets,present,30559,988005,0.03093001,fragile_sparse
ctx_fund_cf_operate_cash_to_netprofit,present,9828,988005,0.00994732,too_sparse
ctx_fund_ps_netprofit_margin,present,31057,988005,0.03143405,fragile_sparse
ctx_fund_ps_operate_profit_margin,present,31057,988005,0.03143405,fragile_sparse
ctx_fund_ps_research_to_income,present,30896,988005,0.0312711,fragile_sparse
ctx_holder_avg_market_cap,present,830379,988005,0.84046032,high
ctx_holder_holder_num,present,831992,988005,0.8420929,high
ctx_holder_holder_num_change,present,831992,988005,0.8420929,high
ctx_holder_holder_num_ratio,present,831919,988005,0.84201902,high
ctx_holder_interval_chrate,present,829973,988005,0.84004939,high
ctx_holder_pre_holder_num,present,831992,988005,0.8420929,high
ctx_mkt_updown_dt,present,858111,988005,0.86852901,high
ctx_mkt_updown_q_zrcs,present,858111,988005,0.86852901,high
ctx_mkt_updown_q_zrtj,present,858111,988005,0.86852901,high
ctx_mkt_updown_s_zrcs,present,858111,988005,0.86852901,high
ctx_mkt_updown_s_zrtj,present,858111,988005,0.86852901,high
ctx_mkt_updown_sjdt,present,858111,988005,0.86852901,high
ctx_mkt_updown_sjzt,present,858111,988005,0.86852901,high
ctx_mkt_updown_stdt,present,858111,988005,0.86852901,high
ctx_mkt_updown_stzt,present,858111,988005,0.86852901,high
ctx_mkt_updown_szjs,present,858111,988005,0.86852901,high
ctx_mkt_updown_xdjs,present,858111,988005,0.86852901,high
ctx_mkt_updown_zt,present,858111,988005,0.86852901,high
ctx_rzrq_rqjmg,present,588788,988005,0.59593626,medium
ctx_rzrq_rqjmg10d,present,588207,988005,0.5953482,medium
ctx_rzrq_rqjmg3d,present,588670,988005,0.59581682,medium
ctx_rzrq_rqjmg5d,present,588542,988005,0.59568727,medium
ctx_rzrq_rqmcl,present,588788,988005,0.59593626,medium
ctx_rzrq_rqmcl10d,present,588207,988005,0.5953482,medium
ctx_rzrq_rqmcl3d,present,588670,988005,0.59581682,medium
ctx_rzrq_rqmcl5d,present,588542,988005,0.59568727,medium
ctx_rzrq_rqye,present,588788,988005,0.59593626,medium
ctx_rzrq_rzche,present,588788,988005,0.59593626,medium
ctx_rzrq_rzche10d,present,588207,988005,0.5953482,medium
ctx_rzrq_rzche3d,present,588670,988005,0.59581682,medium
ctx_rzrq_rzche5d,present,588542,988005,0.59568727,medium
ctx_rzrq_rzjme,present,588788,988005,0.59593626,medium
ctx_rzrq_rzjme10d,present,588207,988005,0.5953482,medium
ctx_rzrq_rzjme3d,present,588670,988005,0.59581682,medium
ctx_rzrq_rzjme5d,present,588542,988005,0.59568727,medium
ctx_rzrq_rzmre,present,588788,988005,0.59593626,medium
final_float_market_cap,present,887074,988005,0.89784363,high
final_total_market_cap,present,897198,988005,0.90809055,high
m1_amount_day,present,858111,988005,0.86852901,high
m1_first15_amount,present,858111,988005,0.86852901,high
m1_first15_high,present,858111,988005,0.86852901,high
m1_first15_last_return_vs_open,present,858111,988005,0.86852901,high
m1_first15_low,present,858111,988005,0.86852901,high
m1_first15_range,present,858111,988005,0.86852901,high
m1_first15_vol,present,858111,988005,0.86852901,high
m1_first15_vwap,present,858111,988005,0.86852901,high
m1_first15_vwap_return_vs_open,present,858111,988005,0.86852901,high
m1_first30_amount,present,858111,988005,0.86852901,high
m1_first30_high,present,858111,988005,0.86852901,high
m1_first30_last_return_vs_open,present,858111,988005,0.86852901,high
m1_first30_low,present,858111,988005,0.86852901,high
m1_first30_range,present,858111,988005,0.86852901,high
m1_first30_vol,present,858111,988005,0.86852901,high
m1_first30_vwap,present,858111,988005,0.86852901,high
m1_first30_vwap_return_vs_open,present,858111,988005,0.86852901,high
m1_first5_amount,present,858111,988005,0.86852901,high
vwap,present,987972,988005,0.9999666,high
