variant,status,clusters,cluster_count,gate,window,active_days,active_day_ratio,days,mean_daily,ann_simple,ann_compound,sharpe,sortino,hit_rate,max_drawdown,total_return
X0_official_6,formal_shadow,cluster_001|cluster_005|cluster_006|cluster_009|cluster_002|cluster_004,6,R0_no_gate,oos_2026,78,1.0,78,0.00217568,0.548272,0.729231,2.219926,4.391617,0.538462,-0.10425683,0.173653
X0_official_6,formal_shadow,cluster_001|cluster_005|cluster_006|cluster_009|cluster_002|cluster_004,6,R0_no_gate,recent_2025h2_2026,204,1.0,204,0.00149337,0.376329,0.456518,1.502206,2.43936,0.54902,-0.15009483,0.321857
X0_official_6,formal_shadow,cluster_001|cluster_005|cluster_006|cluster_009|cluster_002|cluster_004,6,R0_no_gate,all_history_2020_2026,1525,1.0,1525,-0.00084761,-0.213597,-0.1924,-0.994245,-1.487716,0.473443,-0.84851072,-0.761469
X0_official_6,formal_shadow,cluster_001|cluster_005|cluster_006|cluster_009|cluster_002|cluster_004,6,R3_liquidity_low,oos_2026,38,0.487179,78,0.00308941,0.778531,1.175657,4.547115,6.085254,0.320513,-0.03442312,0.266314
X0_official_6,formal_shadow,cluster_001|cluster_005|cluster_006|cluster_009|cluster_002|cluster_004,6,R3_liquidity_low,recent_2025h2_2026,80,0.392157,204,0.00152281,0.383749,0.467349,2.568345,3.20013,0.235294,-0.06434913,0.351818
X0_official_6,formal_shadow,cluster_001|cluster_005|cluster_006|cluster_009|cluster_002|cluster_004,6,R3_liquidity_low,all_history_2020_2026,790,0.518033,1525,-0.00014833,-0.03738,-0.036693,-0.268541,-0.308398,0.24459,-0.51253617,-0.247878
X0_official_6,formal_shadow,cluster_001|cluster_005|cluster_006|cluster_009|cluster_002|cluster_004,6,R5_vol_or_trendlow_or_liqlow,oos_2026,52,0.666667,78,0.00300161,0.756405,1.128189,3.827856,7.265461,0.384615,-0.04184402,0.255818
X0_official_6,formal_shadow,cluster_001|cluster_005|cluster_006|cluster_009|cluster_002|cluster_004,6,R5_vol_or_trendlow_or_liqlow,recent_2025h2_2026,125,0.612745,204,0.00186813,0.47077,0.600523,2.435876,3.610451,0.352941,-0.0715001,0.441556
X0_official_6,formal_shadow,cluster_001|cluster_005|cluster_006|cluster_009|cluster_002|cluster_004,6,R5_vol_or_trendlow_or_liqlow,all_history_2020_2026,1282,0.840656,1525,-0.00067346,-0.169711,-0.156139,-0.890392,-1.230284,0.39541,-0.79197641,-0.679417
X0_official_6,formal_shadow,cluster_001|cluster_005|cluster_006|cluster_009|cluster_002|cluster_004,6,R6_at_least_2_of_vol_trend_liq,oos_2026,43,0.551282,78,0.00272116,0.685733,0.983379,3.842269,6.113946,0.333333,-0.0466799,0.23008
X0_official_6,formal_shadow,cluster_001|cluster_005|cluster_006|cluster_009|cluster_002|cluster_004,6,R6_at_least_2_of_vol_trend_liq,recent_2025h2_2026,77,0.377451,204,0.00150214,0.378539,0.459736,2.351534,2.51829,0.220588,-0.07110868,0.344175
X0_official_6,formal_shadow,cluster_001|cluster_005|cluster_006|cluster_009|cluster_002|cluster_004,6,R6_at_least_2_of_vol_trend_liq,all_history_2020_2026,826,0.541639,1525,2.033e-05,0.005123,0.005136,0.034947,0.041198,0.267541,-0.41558015,-0.033427
X1_research_9,research_pool,cluster_001|cluster_005|cluster_008|cluster_006|cluster_009|cluster_003|cluster_002|cluster_007|cluster_004,9,R0_no_gate,oos_2026,78,1.0,78,0.00243765,0.614288,0.846958,2.302436,4.253535,0.538462,-0.11058902,0.195939
X1_research_9,research_pool,cluster_001|cluster_005|cluster_008|cluster_006|cluster_009|cluster_003|cluster_002|cluster_007|cluster_004,9,R0_no_gate,recent_2025h2_2026,204,1.0,204,0.00163796,0.412765,0.510479,1.55719,2.487098,0.539216,-0.15940499,0.357235
X1_research_9,research_pool,cluster_001|cluster_005|cluster_008|cluster_006|cluster_009|cluster_003|cluster_002|cluster_007|cluster_004,9,R0_no_gate,all_history_2020_2026,1525,1.0,1525,-0.00088489,-0.222992,-0.199958,-0.989464,-1.488598,0.472787,-0.85982126,-0.777815
X1_research_9,research_pool,cluster_001|cluster_005|cluster_008|cluster_006|cluster_009|cluster_003|cluster_002|cluster_007|cluster_004,9,R3_liquidity_low,oos_2026,38,0.487179,78,0.00326228,0.822095,1.272218,4.491351,5.515173,0.307692,-0.03901198,0.282624
X1_research_9,research_pool,cluster_001|cluster_005|cluster_008|cluster_006|cluster_009|cluster_003|cluster_002|cluster_007|cluster_004,9,R3_liquidity_low,recent_2025h2_2026,80,0.392157,204,0.00160285,0.403917,0.497196,2.570693,3.037424,0.22549,-0.07342298,0.372731
X1_research_9,research_pool,cluster_001|cluster_005|cluster_008|cluster_006|cluster_009|cluster_003|cluster_002|cluster_007|cluster_004,9,R3_liquidity_low,all_history_2020_2026,790,0.518033,1525,-0.00019909,-0.050172,-0.048939,-0.342141,-0.391637,0.245246,-0.57681416,-0.308405
X1_research_9,research_pool,cluster_001|cluster_005|cluster_008|cluster_006|cluster_009|cluster_003|cluster_002|cluster_007|cluster_004,9,R5_vol_or_trendlow_or_liqlow,oos_2026,52,0.666667,78,0.00320795,0.808403,1.241418,3.828726,6.735137,0.371795,-0.05255119,0.275048
X1_research_9,research_pool,cluster_001|cluster_005|cluster_008|cluster_006|cluster_009|cluster_003|cluster_002|cluster_007|cluster_004,9,R5_vol_or_trendlow_or_liqlow,recent_2025h2_2026,125,0.612745,204,0.00197843,0.498566,0.645547,2.434767,3.513866,0.338235,-0.08022739,0.471591
X1_research_9,research_pool,cluster_001|cluster_005|cluster_008|cluster_006|cluster_009|cluster_003|cluster_002|cluster_007|cluster_004,9,R5_vol_or_trendlow_or_liqlow,all_history_2020_2026,1282,0.840656,1525,-0.00073253,-0.184598,-0.168618,-0.919053,-1.270182,0.394754,-0.81630597,-0.710608
X1_research_9,research_pool,cluster_001|cluster_005|cluster_008|cluster_006|cluster_009|cluster_003|cluster_002|cluster_007|cluster_004,9,R6_at_least_2_of_vol_trend_liq,oos_2026,43,0.551282,78,0.00277957,0.700452,1.012706,3.647691,5.280076,0.320513,-0.05723822,0.234727
X1_research_9,research_pool,cluster_001|cluster_005|cluster_008|cluster_006|cluster_009|cluster_003|cluster_002|cluster_007|cluster_004,9,R6_at_least_2_of_vol_trend_liq,recent_2025h2_2026,77,0.377451,204,0.00155329,0.391428,0.478642,2.302764,2.38951,0.210784,-0.07554708,0.356621
X1_research_9,research_pool,cluster_001|cluster_005|cluster_008|cluster_006|cluster_009|cluster_003|cluster_002|cluster_007|cluster_004,9,R6_at_least_2_of_vol_trend_liq,all_history_2020_2026,826,0.541639,1525,-6.707e-05,-0.016902,-0.016761,-0.110036,-0.128148,0.264918,-0.50647527,-0.159466
X2_official_6_plus_003,research_diagnostic,cluster_001|cluster_005|cluster_006|cluster_009|cluster_002|cluster_004|cluster_003,7,R0_no_gate,oos_2026,78,1.0,78,0.00235699,0.59396,0.809882,2.362119,4.564438,0.551282,-0.1011116,0.18992
