field_name,formula_reference_count,materialized,nonnull_rows,nonnull_rate,unique_nonnull
amount,67,True,351137,1.0,304387
ctx_fund_ps_operate_profit_margin,61,True,292815,0.83390528,24
ctx_fund_ps_netprofit_margin,61,True,292815,0.83390528,24
ctx_fund_ps_research_to_income,61,True,127730,0.36376115,11
ctx_fund_bs_cash_to_assets,61,True,292815,0.83390528,24
final_float_market_cap,38,True,351137,1.0,949
daily_ret,32,False,0,0.0,0
volume,24,True,351137,1.0,22626
evt_limit_fengdan_money_last_by_0930,14,True,0,0.0,0
evt_limit_fengdan_money_last_by_0935,14,True,472,0.0013442,2
evt_limit_fengdan_money_last_by_1000,14,True,1266,0.00360543,6
evt_limit_fengdan_money_last_by_1130,14,True,1452,0.00413514,12
ctx_holder_change_shares,13,True,349691,0.99588195,1
ctx_billboard_free_market_cap,13,True,349691,0.99588195,20
float_share,12,True,351137,1.0,11
final_total_market_cap,12,True,351137,1.0,855
ctx_billboard_accum_amount,12,True,349691,0.99588195,20
ctx_billboard_deal_amount_ratio,12,True,349691,0.99588195,20
ctx_fulla_ps_total_operate_income,11,True,292815,0.83390528,24
ctx_rzrq_rzyezb,10,True,233288,0.66437886,968
ctx_billboard_billboard_net_amt,10,True,349691,0.99588195,20
ctx_billboard_net_bs_amt,10,True,349691,0.99588195,20
ctx_billboard_turnoverrate,10,True,349691,0.99588195,20
ctx_rzrq_spj,10,True,233288,0.66437886,398
ctx_rzrq_zdf,10,True,233288,0.66437886,833
ctx_billboard_billboard_buy_amt,10,True,349691,0.99588195,20
ctx_billboard_billboard_deal_amt,10,True,349691,0.99588195,20
ctx_billboard_billboard_sell_amt,10,True,349691,0.99588195,20
ctx_billboard_buy_ratio,10,True,349691,0.99588195,20
ctx_billboard_deal_net_ratio,10,True,349691,0.99588195,20
ctx_billboard_sell_ratio,10,True,349691,0.99588195,20
ctx_billboard_sum_buy_amt,10,True,349691,0.99588195,20
ctx_billboard_sum_sell_amt,10,True,349691,0.99588195,20
ctx_fulla_bs_total_assets,9,True,292815,0.83390528,24
ctx_sent_uplimit_num,9,True,351137,1.0,71
ctx_sent_downlimit_num,8,True,351137,1.0,42
evt_uplimit_fd_close,8,False,0,0.0,0
evt_uplimit_fd_max,8,False,0,0.0,0
evt_limit_fengdan_rate_last_by_0930,8,True,0,0.0,0
evt_limit_fengdan_rate_last_by_0935,8,True,472,0.0013442,2
evt_limit_fengdan_rate_last_by_1000,8,True,1266,0.00360543,6
evt_limit_fengdan_rate_last_by_1130,8,True,1452,0.00413514,11
ctx_sent_max_lb_num,7,True,351137,1.0,9
ctx_sent_zb_num,7,True,351137,1.0,41
ctx_sent_damian_num,7,True,351137,1.0,6
evt_uplimit_auction_pre1max_ratio,7,False,0,0.0,0
ctx_ths_hot_rank,7,True,117126,0.33356211,4
ctx_ths_hot_rank_diff,7,True,117126,0.33356211,5
ctx_rzrq_rqjmg,6,True,233288,0.66437886,640
ctx_rzrq_rqjmg10d,6,True,233288,0.66437886,825
ctx_rzrq_rqjmg3d,6,True,233288,0.66437886,731
ctx_rzrq_rqjmg5d,6,True,233288,0.66437886,773
ctx_rzrq_rqmcl,6,True,233288,0.66437886,527
ctx_rzrq_rqmcl10d,6,True,233288,0.66437886,805
ctx_rzrq_rqmcl3d,6,True,233288,0.66437886,692
ctx_rzrq_rqmcl5d,6,True,233288,0.66437886,756
ctx_rzrq_rqye,6,True,233288,0.66437886,947
ctx_rzrq_rzche,6,True,233288,0.66437886,968
ctx_rzrq_rzche10d,6,True,233288,0.66437886,968
ctx_rzrq_rzche3d,6,True,233288,0.66437886,968
ctx_rzrq_rzche5d,6,True,233288,0.66437886,968
ctx_rzrq_rzjme,6,True,233288,0.66437886,968
ctx_rzrq_rzjme10d,6,True,233288,0.66437886,968
ctx_rzrq_rzjme3d,6,True,233288,0.66437886,968
ctx_rzrq_rzjme5d,6,True,233288,0.66437886,968
ctx_rzrq_rzmre,6,True,233288,0.66437886,968
evt_uplimit_amount,6,False,0,0.0,0
m1_amount_day,5,False,0,0.0,0
ctx_zls_evt_amount_lag1,5,True,0,0.0,0
ctx_zls_uplimit_num_lag1,5,True,351137,1.0,71
ctx_zls_zb_num_lag1,5,True,351137,1.0,41
ctx_fund_bs_debt_to_assets,4,True,292815,0.83390528,24
ctx_fund_bs_goodwill_to_assets,4,True,204127,0.5813315,17
ctx_fund_bs_inventory_to_assets,4,True,234252,0.66712423,19
ctx_holder_avg_market_cap,4,True,349691,0.99588195,83
ctx_holder_holder_num,4,True,349691,0.99588195,83
ctx_holder_holder_num_change,4,True,349691,0.99588195,83
ctx_holder_holder_num_ratio,4,True,349691,0.99588195,83
ctx_holder_interval_chrate,4,True,349691,0.99588195,83
ctx_holder_pre_holder_num,4,True,349691,0.99588195,83
m1_first15_amount,4,True,330739,0.94190871,1457
m1_first15_high,4,True,330739,0.94190871,595
m1_first15_last_return_vs_open,4,True,330739,0.94190871,1192
m1_first15_low,4,True,330739,0.94190871,579
m1_first15_range,4,True,330739,0.94190871,1208
m1_first15_vol,4,True,330739,0.94190871,1450
m1_first15_vwap,4,True,330739,0.94190871,1457
m1_first15_vwap_return_vs_open,4,True,330739,0.94190871,1453
m1_first30_amount,4,True,308884,0.87966805,1457
m1_first30_high,4,True,308884,0.87966805,608
m1_first30_last_return_vs_open,4,True,308884,0.87966805,1251
