expression_hash,candidate_id,horizon_min,fields,lane,factor_lane,source_lane,source_generator,fresh_eligible,memory_hit,shard_coverage,row_count,mean_ic_abs_mean,max_ic_abs_mean,mean_ic_mean,mean_ic_count,min_ic_count,mean_spread_mean,shards,expression
d7df98958b5f17ffae0afe44,phase3ax_capacity_refine_00325,30,amount|float_share,sidecar_context_formula,ax_inverse_capacity_flow_level,phase3ax_capacity_flow_refinement,phase3ax_capacity_flow_refinement_pack_v1,True,False,16,16,0.15970064510437587,0.17552034187879606,0.04117842145751171,2279.0,2279,5.331107408579247e-05,shard_00|shard_01|shard_02|shard_03|shard_04|shard_05|shard_06|shard_07|shard_08|shard_09|shard_10|shard_11|shard_12|shard_13|shard_14|shard_15,"Neg(CSRank(Div(Mean($amount,120),Add(Abs(Mean($float_share,120)),0.000001))))"
70982aef21372ba5e0c58247,phase3ax_capacity_refine_00317,30,amount|float_share,sidecar_context_formula,ax_inverse_capacity_flow_level,phase3ax_capacity_flow_refinement,phase3ax_capacity_flow_refinement_pack_v1,True,False,16,16,0.15931449263842073,0.17507804591045872,0.042507138295581205,2309.0,2309,6.301400944377683e-05,shard_00|shard_01|shard_02|shard_03|shard_04|shard_05|shard_06|shard_07|shard_08|shard_09|shard_10|shard_11|shard_12|shard_13|shard_14|shard_15,"Neg(CSRank(Div(Mean($amount,90),Add(Abs(Mean($float_share,90)),0.000001))))"
7c6e11d4b18b12f31dc19822,phase3ax_capacity_refine_00279,30,amount|float_share,sidecar_context_formula,ax_inverse_capacity_flow_level,phase3ax_capacity_flow_refinement,phase3ax_capacity_flow_refinement_pack_v1,True,False,16,16,0.15396376970504425,0.17017833485396947,0.04750082708122154,2387.0,2387,9.154180676050952e-05,shard_00|shard_01|shard_02|shard_03|shard_04|shard_05|shard_06|shard_07|shard_08|shard_09|shard_10|shard_11|shard_12|shard_13|shard_14|shard_15,"Neg(CSRank(Div(Mean($amount,12),Add(Abs(Mean($float_share,12)),0.000001))))"
4d560c06f29cdb946af2e98f,phase3ax_capacity_refine_00326,30,amount|float_share,sidecar_context_formula,ax_inverse_capacity_flow_volatility,phase3ax_capacity_flow_refinement,phase3ax_capacity_flow_refinement_pack_v1,True,False,16,16,0.15228730861879558,0.1681714680247802,0.04309257728486556,2279.0,2279,6.433513013569329e-05,shard_00|shard_01|shard_02|shard_03|shard_04|shard_05|shard_06|shard_07|shard_08|shard_09|shard_10|shard_11|shard_12|shard_13|shard_14|shard_15,"Neg(CSRank(Div(Std($amount,120),Add(Abs(Mean($float_share,120)),0.000001))))"
e2a7f45906af484d2392158e,phase3ax_capacity_refine_00318,30,amount|float_share,sidecar_context_formula,ax_inverse_capacity_flow_volatility,phase3ax_capacity_flow_refinement,phase3ax_capacity_flow_refinement_pack_v1,True,False,16,16,0.15166335740141962,0.16744206213081164,0.0442428335108616,2309.0,2309,6.649898733332068e-05,shard_00|shard_01|shard_02|shard_03|shard_04|shard_05|shard_06|shard_07|shard_08|shard_09|shard_10|shard_11|shard_12|shard_13|shard_14|shard_15,"Neg(CSRank(Div(Std($amount,90),Add(Abs(Mean($float_share,90)),0.000001))))"
70982aef21372ba5e0c58247,phase3ax_capacity_refine_00317,15,amount|float_share,sidecar_context_formula,ax_inverse_capacity_flow_level,phase3ax_capacity_flow_refinement,phase3ax_capacity_flow_refinement_pack_v1,True,False,16,16,0.1498095012833286,0.1651193177535342,0.03654776816865224,2310.0,2310,4.5925347353642646e-05,shard_00|shard_01|shard_02|shard_03|shard_04|shard_05|shard_06|shard_07|shard_08|shard_09|shard_10|shard_11|shard_12|shard_13|shard_14|shard_15,"Neg(CSRank(Div(Mean($amount,90),Add(Abs(Mean($float_share,90)),0.000001))))"
d7df98958b5f17ffae0afe44,phase3ax_capacity_refine_00325,15,amount|float_share,sidecar_context_formula,ax_inverse_capacity_flow_level,phase3ax_capacity_flow_refinement,phase3ax_capacity_flow_refinement_pack_v1,True,False,16,16,0.14964075663358883,0.16477230461806971,0.03546407759769138,2280.0,2280,4.0921332013276196e-05,shard_00|shard_01|shard_02|shard_03|shard_04|shard_05|shard_06|shard_07|shard_08|shard_09|shard_10|shard_11|shard_12|shard_13|shard_14|shard_15,"Neg(CSRank(Div(Mean($amount,120),Add(Abs(Mean($float_share,120)),0.000001))))"
f952f7f7dbb12d235dff223d,phase3ax_capacity_refine_00280,30,amount|float_share,sidecar_context_formula,ax_inverse_capacity_flow_volatility,phase3ax_capacity_flow_refinement,phase3ax_capacity_flow_refinement_pack_v1,True,False,16,16,0.14513257403594088,0.16091822759119084,0.047718979732867865,2387.0,2387,9.929571128341004e-05,shard_00|shard_01|shard_02|shard_03|shard_04|shard_05|shard_06|shard_07|shard_08|shard_09|shard_10|shard_11|shard_12|shard_13|shard_14|shard_15,"Neg(CSRank(Div(Std($amount,12),Add(Abs(Mean($float_share,12)),0.000001))))"
7c6e11d4b18b12f31dc19822,phase3ax_capacity_refine_00279,15,amount|float_share,sidecar_context_formula,ax_inverse_capacity_flow_level,phase3ax_capacity_flow_refinement,phase3ax_capacity_flow_refinement_pack_v1,True,False,16,16,0.14476025980763346,0.16074481491810771,0.04041807349927532,2388.0,2388,6.095263673341462e-05,shard_00|shard_01|shard_02|shard_03|shard_04|shard_05|shard_06|shard_07|shard_08|shard_09|shard_10|shard_11|shard_12|shard_13|shard_14|shard_15,"Neg(CSRank(Div(Mean($amount,12),Add(Abs(Mean($float_share,12)),0.000001))))"
3a4c4a7f64005103f7d1c9a4,phase3ax_capacity_refine_00095,30,amount|final_float_market_cap,sidecar_context_formula,ax_inverse_capacity_flow_level,phase3ax_capacity_flow_refinement,phase3ax_capacity_flow_refinement_pack_v1,True,False,16,16,0.14310752142002153,0.1607780099272547,0.044004393819003625,2279.0,2279,8.732705961631945e-05,shard_00|shard_01|shard_02|shard_03|shard_04|shard_05|shard_06|shard_07|shard_08|shard_09|shard_10|shard_11|shard_12|shard_13|shard_14|shard_15,"Neg(CSRank(Div(Mean($amount,120),Add(Abs(Mean($final_float_market_cap,120)),0.000001))))"
