panel_field,source_group,dataset,route,field_family,nonnull_count,nonnull_rate,unique_nonnull_count
ctx_fulla_bs_accept_deposit_interbank,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,20572,0.02394518,110
ctx_fulla_bs_accounts_payable,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,808787,0.94140344,16029
ctx_fulla_bs_accounts_rece,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,807296,0.93966797,16004
ctx_fulla_bs_accrued_expense,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,0,0.0,0
ctx_fulla_bs_advance_receivables,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,290089,0.33765476,5177
ctx_fulla_bs_agent_trade_security,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,17646,0.02053941,37
ctx_fulla_bs_agent_underwrite_security,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,15964,0.01858161,3
ctx_fulla_bs_amortize_cost_finasset,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,0,0.0,0
ctx_fulla_bs_amortize_cost_finliab,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,0,0.0,0
ctx_fulla_bs_amortize_cost_ncfinasset,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,0,0.0,0
ctx_fulla_bs_amortize_cost_ncfinliab,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,0,0.0,0
ctx_fulla_bs_appoint_fvtpl_finasset,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,0,0.0,0
ctx_fulla_bs_appoint_fvtpl_finliab,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,0,0.0,0
ctx_fulla_bs_asset_balance,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,808912,0.94154894,5
ctx_fulla_bs_asset_other,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,322,0.0003748,7
ctx_fulla_bs_assign_cash_dividend,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,0,0.0,0
ctx_fulla_bs_available_sale_finasset,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,75,8.73e-05,1
ctx_fulla_bs_bond_payable,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,127367,0.14825131,2127
ctx_fulla_bs_borrow_fund,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,19222,0.02237382,57
ctx_fulla_bs_buy_resale_finasset,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,19718,0.02295115,86
ctx_fulla_bs_capital_reserve,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,capacity_size,806622,0.93888345,11351
ctx_fulla_bs_cip,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,707885,0.82395659,13731
ctx_fulla_bs_consumptive_biological_asset,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,0,0.0,0
ctx_fulla_bs_contract_asset,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,323134,0.37611814,5886
ctx_fulla_bs_contract_liab,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,802875,0.93452206,15888
ctx_fulla_bs_convert_diff,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,0,0.0,0
ctx_fulla_bs_creditor_invest,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,69166,0.08050712,981
ctx_fulla_bs_current_asset_balance,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,808599,0.94118462,14
ctx_fulla_bs_current_asset_other,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,3906,0.00454647,87
ctx_fulla_bs_current_liab_balance,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,808599,0.94118462,10
ctx_fulla_bs_current_liab_other,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,1177,0.00136999,28
ctx_fulla_bs_defer_income,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,708372,0.82452344,13572
ctx_fulla_bs_defer_income_1year,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,0,0.0,0
ctx_fulla_bs_defer_tax_asset,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,789567,0.91903195,15337
ctx_fulla_bs_defer_tax_liab,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,667186,0.77658419,12564
ctx_fulla_bs_derive_finasset,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,68069,0.07923024,952
ctx_fulla_bs_derive_finliab,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,65944,0.07675681,943
ctx_fulla_bs_develop_expense,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,172943,0.20130039,2986
ctx_fulla_bs_div_holdsale_asset,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,0,0.0,0
ctx_fulla_bs_div_holdsale_liab,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,0,0.0,0
ctx_fulla_bs_dividend_payable,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,holder_corporate_action,234072,0.27245268,3174
ctx_fulla_bs_dividend_rece,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,holder_corporate_action,91447,0.10644152,1082
ctx_fulla_bs_equity_balance,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,808912,0.94154894,5
ctx_fulla_bs_equity_other,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,0,0.0,0
ctx_fulla_bs_export_refund_rece,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,0,0.0,0
ctx_fulla_bs_fee_commission_payable,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,16864,0.01962918,13
ctx_fulla_bs_fin_fund,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,967,0.00112556,19
ctx_fulla_bs_finance_rece,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,567853,0.6609636,10994
ctx_fulla_bs_fixed_asset,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,808912,0.94154894,16032
ctx_fulla_bs_fixed_asset_disposal,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,162,0.00018856,4
ctx_fulla_bs_fvtoci_finasset,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,0,0.0,0
ctx_fulla_bs_fvtoci_ncfinasset,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,0,0.0,0
ctx_fulla_bs_fvtpl_finasset,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,19,2.212e-05,1
ctx_fulla_bs_fvtpl_finliab,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,0,0.0,0
ctx_fulla_bs_general_risk_reserve,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,34269,0.03988807,160
ctx_fulla_bs_goodwill,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,408601,0.47559912,3594
ctx_fulla_bs_hold_maturity_invest,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,0,0.0,0
ctx_fulla_bs_holdsale_asset,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,42178,0.04909391,325
ctx_fulla_bs_holdsale_liab,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,22471,0.02615556,73
ctx_fulla_bs_insurance_contract_reserve,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,14926,0.01737341,1
ctx_fulla_bs_intangible_asset,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,805967,0.93812105,15966
ctx_fulla_bs_interest_payable,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,71064,0.08271633,875
ctx_fulla_bs_interest_rece,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,59685,0.06947152,687
ctx_fulla_bs_internal_payable,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,0,0.0,0
ctx_fulla_bs_internal_rece,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,0,0.0,0
ctx_fulla_bs_inventory,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,801011,0.93235242,15859
ctx_fulla_bs_invest_realestate,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,423560,0.49301094,7913
ctx_fulla_bs_lease_liab,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,694786,0.80870975,13595
ctx_fulla_bs_lend_fund,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,18088,0.02105388,36
ctx_fulla_bs_liab_balance,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,808912,0.94154894,4
ctx_fulla_bs_liab_equity_balance,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,0,0.0,0
ctx_fulla_bs_liab_equity_other,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,0,0.0,0
ctx_fulla_bs_liab_other,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,322,0.0003748,7
ctx_fulla_bs_loan_advance,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,23559,0.02742196,171
ctx_fulla_bs_loan_pbc,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,17119,0.01992599,21
ctx_fulla_bs_long_equity_invest,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,564634,0.65721679,10656
ctx_fulla_bs_long_loan,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,506959,0.59008484,8827
ctx_fulla_bs_long_payable,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,264374,0.30772329,4223
ctx_fulla_bs_long_prepaid_expense,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,fundamental_quality_risk,735586,0.85619971,14492
ctx_fulla_bs_long_rece,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,187390,0.21811625,3130
ctx_fulla_bs_long_staffsalary_payable,fundamental_pit_silver,fundamental_balance_long,announcement_pit_feature,other_numeric,115292,0.13419638,1780
