true_candidate_id,true_expression,coverage_candidate_id,coverage_expression,shuffled_candidate_id,shuffled_expression,input_fields
phase3aa_event_0025_phase3ae_brepair_v1_00025,CSRank($evt_limit_fengdan_rate_last_by_1130),phase3ae_placebo_coverage_mask_00001_phase3aa_event_0025_phase3ae_brepair_v1_00025,CSRank($plcov_evt_limit_fengdan_rate_last_by_1130_df29a90b),phase3ae_placebo_shuffled_value_00002_phase3aa_event_0025_phase3ae_brepair_v1_00025,CSRank($plshuf_evt_limit_fengdan_rate_last_by_1130_df29a90b),evt_limit_fengdan_rate_last_by_1130
phase3aa_event_0019_phase3ae_brepair_v1_00019,"CSRank(Log(Add(Abs($evt_limit_fengdan_rate_last_by_1000),1)))",phase3ae_placebo_coverage_mask_00003_phase3aa_event_0019_phase3ae_brepair_v1_00019,"CSRank(Log(Add(Abs($plcov_evt_limit_fengdan_rate_last_by_1000_2442cb7b),1)))",phase3ae_placebo_shuffled_value_00004_phase3aa_event_0019_phase3ae_brepair_v1_00019,"CSRank(Log(Add(Abs($plshuf_evt_limit_fengdan_rate_last_by_1000_2442cb7b),1)))",evt_limit_fengdan_rate_last_by_1000
phase3aa_event_0024_phase3ae_brepair_v1_00024,"CSRank(Delta($evt_limit_fengdan_rate_last_by_1000,3))",phase3ae_placebo_coverage_mask_00005_phase3aa_event_0024_phase3ae_brepair_v1_00024,"CSRank(Delta($plcov_evt_limit_fengdan_rate_last_by_1000_2442cb7b,3))",phase3ae_placebo_shuffled_value_00006_phase3aa_event_0024_phase3ae_brepair_v1_00024,"CSRank(Delta($plshuf_evt_limit_fengdan_rate_last_by_1000_2442cb7b,3))",evt_limit_fengdan_rate_last_by_1000
phase3aa_event_0026_phase3ae_brepair_v1_00026,CSRank(Neg($evt_limit_fengdan_rate_last_by_1130)),phase3ae_placebo_coverage_mask_00007_phase3aa_event_0026_phase3ae_brepair_v1_00026,CSRank(Neg($plcov_evt_limit_fengdan_rate_last_by_1130_df29a90b)),phase3ae_placebo_shuffled_value_00008_phase3aa_event_0026_phase3ae_brepair_v1_00026,CSRank(Neg($plshuf_evt_limit_fengdan_rate_last_by_1130_df29a90b)),evt_limit_fengdan_rate_last_by_1130
phase3aa_event_0005_phase3ae_brepair_v1_00005,"CSRank(Mean($evt_limit_fengdan_rate_last_by_0930,2))",phase3ae_placebo_coverage_mask_00009_phase3aa_event_0005_phase3ae_brepair_v1_00005,"CSRank(Mean($plcov_evt_limit_fengdan_rate_last_by_0930_d3da13eb,2))",phase3ae_placebo_shuffled_value_00010_phase3aa_event_0005_phase3ae_brepair_v1_00005,"CSRank(Mean($plshuf_evt_limit_fengdan_rate_last_by_0930_d3da13eb,2))",evt_limit_fengdan_rate_last_by_0930
phase3aa_event_0004_phase3ae_brepair_v1_00004,CSRank(ZScore($evt_limit_fengdan_rate_last_by_0930)),phase3ae_placebo_coverage_mask_00011_phase3aa_event_0004_phase3ae_brepair_v1_00004,CSRank(ZScore($plcov_evt_limit_fengdan_rate_last_by_0930_d3da13eb)),phase3ae_placebo_shuffled_value_00012_phase3aa_event_0004_phase3ae_brepair_v1_00004,CSRank(ZScore($plshuf_evt_limit_fengdan_rate_last_by_0930_d3da13eb)),evt_limit_fengdan_rate_last_by_0930
phase3aa_event_0146_phase3ae_brepair_v1_00224,"CSRank(Neg(Mean($ctx_holder_change_shares,20)))",phase3ae_placebo_coverage_mask_00013_phase3aa_event_0146_phase3ae_brepair_v1_00224,"CSRank(Neg(Mean($plcov_ctx_holder_change_shares_aa9649e1,20)))",phase3ae_placebo_shuffled_value_00014_phase3aa_event_0146_phase3ae_brepair_v1_00224,"CSRank(Neg(Mean($plshuf_ctx_holder_change_shares_aa9649e1,20)))",ctx_holder_change_shares
phase3aa_event_0009_phase3ae_brepair_v1_00009,CSRank($evt_limit_fengdan_rate_last_by_0935),phase3ae_placebo_coverage_mask_00015_phase3aa_event_0009_phase3ae_brepair_v1_00009,CSRank($plcov_evt_limit_fengdan_rate_last_by_0935_451420af),phase3ae_placebo_shuffled_value_00016_phase3aa_event_0009_phase3ae_brepair_v1_00009,CSRank($plshuf_evt_limit_fengdan_rate_last_by_0935_451420af),evt_limit_fengdan_rate_last_by_0935
phase3aa_event_0017_phase3ae_brepair_v1_00017,CSRank($evt_limit_fengdan_rate_last_by_1000),phase3ae_placebo_coverage_mask_00017_phase3aa_event_0017_phase3ae_brepair_v1_00017,CSRank($plcov_evt_limit_fengdan_rate_last_by_1000_2442cb7b),phase3ae_placebo_shuffled_value_00018_phase3aa_event_0017_phase3ae_brepair_v1_00017,CSRank($plshuf_evt_limit_fengdan_rate_last_by_1000_2442cb7b),evt_limit_fengdan_rate_last_by_1000
phase3aa_event_0001_phase3ae_brepair_v1_00001,CSRank($evt_limit_fengdan_rate_last_by_0930),phase3ae_placebo_coverage_mask_00019_phase3aa_event_0001_phase3ae_brepair_v1_00001,CSRank($plcov_evt_limit_fengdan_rate_last_by_0930_d3da13eb),phase3ae_placebo_shuffled_value_00020_phase3aa_event_0001_phase3ae_brepair_v1_00001,CSRank($plshuf_evt_limit_fengdan_rate_last_by_0930_d3da13eb),evt_limit_fengdan_rate_last_by_0930
phase3aa_event_0027_phase3ae_brepair_v1_00027,"CSRank(Log(Add(Abs($evt_limit_fengdan_rate_last_by_1130),1)))",phase3ae_placebo_coverage_mask_00021_phase3aa_event_0027_phase3ae_brepair_v1_00027,"CSRank(Log(Add(Abs($plcov_evt_limit_fengdan_rate_last_by_1130_df29a90b),1)))",phase3ae_placebo_shuffled_value_00022_phase3aa_event_0027_phase3ae_brepair_v1_00027,"CSRank(Log(Add(Abs($plshuf_evt_limit_fengdan_rate_last_by_1130_df29a90b),1)))",evt_limit_fengdan_rate_last_by_1130
phase3aa_event_0003_phase3ae_brepair_v1_00003,"CSRank(Log(Add(Abs($evt_limit_fengdan_rate_last_by_0930),1)))",phase3ae_placebo_coverage_mask_00023_phase3aa_event_0003_phase3ae_brepair_v1_00003,"CSRank(Log(Add(Abs($plcov_evt_limit_fengdan_rate_last_by_0930_d3da13eb),1)))",phase3ae_placebo_shuffled_value_00024_phase3aa_event_0003_phase3ae_brepair_v1_00003,"CSRank(Log(Add(Abs($plshuf_evt_limit_fengdan_rate_last_by_0930_d3da13eb),1)))",evt_limit_fengdan_rate_last_by_0930
phase3aa_event_0011_phase3ae_brepair_v1_00011,"CSRank(Log(Add(Abs($evt_limit_fengdan_rate_last_by_0935),1)))",phase3ae_placebo_coverage_mask_00025_phase3aa_event_0011_phase3ae_brepair_v1_00011,"CSRank(Log(Add(Abs($plcov_evt_limit_fengdan_rate_last_by_0935_451420af),1)))",phase3ae_placebo_shuffled_value_00026_phase3aa_event_0011_phase3ae_brepair_v1_00011,"CSRank(Log(Add(Abs($plshuf_evt_limit_fengdan_rate_last_by_0935_451420af),1)))",evt_limit_fengdan_rate_last_by_0935
phase3aa_event_0014_phase3ae_brepair_v1_00014,"CSRank(Delta($evt_limit_fengdan_rate_last_by_0935,2))",phase3ae_placebo_coverage_mask_00027_phase3aa_event_0014_phase3ae_brepair_v1_00014,"CSRank(Delta($plcov_evt_limit_fengdan_rate_last_by_0935_451420af,2))",phase3ae_placebo_shuffled_value_00028_phase3aa_event_0014_phase3ae_brepair_v1_00014,"CSRank(Delta($plshuf_evt_limit_fengdan_rate_last_by_0935_451420af,2))",evt_limit_fengdan_rate_last_by_0935
phase3aa_event_0008_phase3ae_brepair_v1_00008,"CSRank(Delta($evt_limit_fengdan_rate_last_by_0930,3))",phase3ae_placebo_coverage_mask_00029_phase3aa_event_0008_phase3ae_brepair_v1_00008,"CSRank(Delta($plcov_evt_limit_fengdan_rate_last_by_0930_d3da13eb,3))",phase3ae_placebo_shuffled_value_00030_phase3aa_event_0008_phase3ae_brepair_v1_00008,"CSRank(Delta($plshuf_evt_limit_fengdan_rate_last_by_0930_d3da13eb,3))",evt_limit_fengdan_rate_last_by_0930
phase3aa_event_0023_phase3ae_brepair_v1_00023,"CSRank(Mean($evt_limit_fengdan_rate_last_by_1000,3))",phase3ae_placebo_coverage_mask_00031_phase3aa_event_0023_phase3ae_brepair_v1_00023,"CSRank(Mean($plcov_evt_limit_fengdan_rate_last_by_1000_2442cb7b,3))",phase3ae_placebo_shuffled_value_00032_phase3aa_event_0023_phase3ae_brepair_v1_00023,"CSRank(Mean($plshuf_evt_limit_fengdan_rate_last_by_1000_2442cb7b,3))",evt_limit_fengdan_rate_last_by_1000
phase3aa_event_0165_phase3ae_brepair_v1_00243,"CSRank(Log(Add(Abs($ctx_rzrq_zdf),1)))",phase3ae_placebo_coverage_mask_00033_phase3aa_event_0165_phase3ae_brepair_v1_00243,"CSRank(Log(Add(Abs($plcov_ctx_rzrq_zdf_780fd255),1)))",phase3ae_placebo_shuffled_value_00034_phase3aa_event_0165_phase3ae_brepair_v1_00243,"CSRank(Log(Add(Abs($plshuf_ctx_rzrq_zdf_780fd255),1)))",ctx_rzrq_zdf
phase3aa_event_0168_phase3ae_brepair_v1_00246,"CSRank(Delta($ctx_rzrq_zdf,3))",phase3ae_placebo_coverage_mask_00035_phase3aa_event_0168_phase3ae_brepair_v1_00246,"CSRank(Delta($plcov_ctx_rzrq_zdf_780fd255,3))",phase3ae_placebo_shuffled_value_00036_phase3aa_event_0168_phase3ae_brepair_v1_00246,"CSRank(Delta($plshuf_ctx_rzrq_zdf_780fd255,3))",ctx_rzrq_zdf
phase3aa_event_0140_phase3ae_brepair_v1_00218,"CSRank(Delta($ctx_billboard_turnoverrate,10))",phase3ae_placebo_coverage_mask_00037_phase3aa_event_0140_phase3ae_brepair_v1_00218,"CSRank(Delta($plcov_ctx_billboard_turnoverrate_4e2fe941,10))",phase3ae_placebo_shuffled_value_00038_phase3aa_event_0140_phase3ae_brepair_v1_00218,"CSRank(Delta($plshuf_ctx_billboard_turnoverrate_4e2fe941,10))",ctx_billboard_turnoverrate
phase3aa_event_0121_phase3ae_brepair_v1_00199,CSRank($ctx_billboard_net_bs_amt),phase3ae_placebo_coverage_mask_00039_phase3aa_event_0121_phase3ae_brepair_v1_00199,CSRank($plcov_ctx_billboard_net_bs_amt_2f2e6c31),phase3ae_placebo_shuffled_value_00040_phase3aa_event_0121_phase3ae_brepair_v1_00199,CSRank($plshuf_ctx_billboard_net_bs_amt_2f2e6c31),ctx_billboard_net_bs_amt
