field,coverage,nonnull_rows,total_rows,unique_nonnull,mean,std,date_coverage_min,date_coverage_median,date_coverage_max
ctx_billboard_billboard_deal_amt,0.661305,653373,988005,13993,709023703.2304105,6217810483.447605,0.0,0.6559426571095183,0.7396694214876033
ctx_billboard_billboard_net_amt,0.661305,653373,988005,13943,14185557.731178012,184090107.12608162,0.0,0.6559426571095183,0.7396694214876033
ctx_billboard_net_bs_amt,0.661305,653373,988005,13925,14098933.70925606,184058242.09106225,0.0,0.6559426571095183,0.7396694214876033
ctx_billboard_turnoverrate,0.661305,653373,988005,13761,16.411945555856555,12.294453974758573,0.0,0.6559426571095183,0.7396694214876033
ctx_holder_change_shares,0.842093,831992,988005,3063,9244188.918586958,287542620.757786,0.0,0.840253460063365,0.8898824308660375
ctx_rzrq_spj,0.595936,588788,988005,22590,31.94684108711454,52.66681615825581,0.0,0.5892469527467022,0.6410596026490066
ctx_rzrq_zdf,0.583795,576792,988005,119643,0.12229452939707905,3.7358557442455673,0.0,0.5768589529843281,0.6279801324503311
evt_limit_fengdan_rate_last_by_0930,0.000883,872,988005,478,14.285860091743125,109.26944654199858,0.0,0.0006670001667500417,0.009514271407110666
evt_limit_fengdan_rate_last_by_0935,0.002549,2518,988005,506,5.169050833995233,64.6244479250629,0.0,0.002323651452282158,0.011183441829410784
evt_limit_fengdan_rate_last_by_1000,0.005113,5052,988005,507,2.681866587490102,45.68680521114887,0.0,0.004812479256554929,0.014021031547320982
evt_limit_fengdan_rate_last_by_1130,0.007883,7788,988005,510,1.79889573703133,36.81520555036177,0.0,0.007513775254633495,0.022946458264050548
