deployable_jaccard,deployable_left,deployable_overlap,deployable_right,deployable_union,left_seed,non_gap_cluster_overlap,non_gap_cluster_union,right_seed
1.0,15,15,15,15,Phase3H_H0_G0_stable::s33_h0,18,18,Phase3H_H0_G0_stable::s33_h0
0.142857,15,3,9,21,Phase3H_H0_G0_stable::s33_h0,5,26,Phase3H_H0_G0_stable::s34_h0
0.238095,15,5,11,21,Phase3H_H0_G0_stable::s33_h0,7,28,Phase3H_H0_G0_stable::s35_h0
0.388889,15,7,10,18,Phase3H_H0_G0_stable::s33_h0,8,23,Phase3H_H0_G0_stable::s36_h0
0.5,15,9,12,18,Phase3H_H0_G0_stable::s33_h0,11,22,Phase3H_H1_G2_signal_vector_control::s33_h1
0.227273,15,5,12,22,Phase3H_H0_G0_stable::s33_h0,7,29,Phase3H_H1_G2_signal_vector_control::s34_h1
0.090909,15,2,9,22,Phase3H_H0_G0_stable::s33_h0,4,29,Phase3H_H1_G2_signal_vector_control::s35_h1
0.227273,15,5,12,22,Phase3H_H0_G0_stable::s33_h0,6,30,Phase3H_H1_G2_signal_vector_control::s36_h1
0.421053,15,8,12,19,Phase3H_H0_G0_stable::s33_h0,9,23,Phase3H_H2_G2_turnover_calibrated::s33_h2
0.181818,15,4,11,22,Phase3H_H0_G0_stable::s33_h0,6,28,Phase3H_H2_G2_turnover_calibrated::s34_h2
0.090909,15,2,9,22,Phase3H_H0_G0_stable::s33_h0,4,29,Phase3H_H2_G2_turnover_calibrated::s35_h2
0.227273,15,5,12,22,Phase3H_H0_G0_stable::s33_h0,5,30,Phase3H_H2_G2_turnover_calibrated::s36_h2
0.142857,9,3,15,21,Phase3H_H0_G0_stable::s34_h0,5,26,Phase3H_H0_G0_stable::s33_h0
1.0,9,9,9,9,Phase3H_H0_G0_stable::s34_h0,13,13,Phase3H_H0_G0_stable::s34_h0
0.176471,9,3,11,17,Phase3H_H0_G0_stable::s34_h0,4,26,Phase3H_H0_G0_stable::s35_h0
0.1875,9,3,10,16,Phase3H_H0_G0_stable::s34_h0,4,22,Phase3H_H0_G0_stable::s36_h0
0.166667,9,3,12,18,Phase3H_H0_G0_stable::s34_h0,4,24,Phase3H_H1_G2_signal_vector_control::s33_h1
0.75,9,9,12,12,Phase3H_H0_G0_stable::s34_h0,12,19,Phase3H_H1_G2_signal_vector_control::s34_h1
0.058824,9,1,9,17,Phase3H_H0_G0_stable::s34_h0,2,26,Phase3H_H1_G2_signal_vector_control::s35_h1
0.105263,9,2,12,19,Phase3H_H0_G0_stable::s34_h0,3,28,Phase3H_H1_G2_signal_vector_control::s36_h1
0.166667,9,3,12,18,Phase3H_H0_G0_stable::s34_h0,3,24,Phase3H_H2_G2_turnover_calibrated::s33_h2
0.818182,9,9,11,11,Phase3H_H0_G0_stable::s34_h0,12,17,Phase3H_H2_G2_turnover_calibrated::s34_h2
0.058824,9,1,9,17,Phase3H_H0_G0_stable::s34_h0,2,26,Phase3H_H2_G2_turnover_calibrated::s35_h2
0.105263,9,2,12,19,Phase3H_H0_G0_stable::s34_h0,2,28,Phase3H_H2_G2_turnover_calibrated::s36_h2
0.238095,11,5,15,21,Phase3H_H0_G0_stable::s35_h0,7,28,Phase3H_H0_G0_stable::s33_h0
0.176471,11,3,9,17,Phase3H_H0_G0_stable::s35_h0,4,26,Phase3H_H0_G0_stable::s34_h0
1.0,11,11,11,11,Phase3H_H0_G0_stable::s35_h0,17,17,Phase3H_H0_G0_stable::s35_h0
0.4,11,6,10,15,Phase3H_H0_G0_stable::s35_h0,8,22,Phase3H_H0_G0_stable::s36_h0
0.15,11,3,12,20,Phase3H_H0_G0_stable::s35_h0,3,29,Phase3H_H1_G2_signal_vector_control::s33_h1
0.15,11,3,12,20,Phase3H_H0_G0_stable::s35_h0,4,31,Phase3H_H1_G2_signal_vector_control::s34_h1
0.428571,11,6,9,14,Phase3H_H0_G0_stable::s35_h0,10,22,Phase3H_H1_G2_signal_vector_control::s35_h1
0.15,11,3,12,20,Phase3H_H0_G0_stable::s35_h0,5,30,Phase3H_H1_G2_signal_vector_control::s36_h1
0.210526,11,4,12,19,Phase3H_H0_G0_stable::s35_h0,4,27,Phase3H_H2_G2_turnover_calibrated::s33_h2
0.157895,11,3,11,19,Phase3H_H0_G0_stable::s35_h0,4,29,Phase3H_H2_G2_turnover_calibrated::s34_h2
0.428571,11,6,9,14,Phase3H_H0_G0_stable::s35_h0,10,22,Phase3H_H2_G2_turnover_calibrated::s35_h2
0.15,11,3,12,20,Phase3H_H0_G0_stable::s35_h0,5,29,Phase3H_H2_G2_turnover_calibrated::s36_h2
0.388889,10,7,15,18,Phase3H_H0_G0_stable::s36_h0,8,23,Phase3H_H0_G0_stable::s33_h0
0.1875,10,3,9,16,Phase3H_H0_G0_stable::s36_h0,4,22,Phase3H_H0_G0_stable::s34_h0
