candidate_id,child_cluster,child_expression,complexity_delta,corr_to_parent,deployable,escaped_cluster,parent_cluster,parent_expression,repair_policy,seed,source_failure_reasons,turnover_delta
phase3repair-failure_detail-operator_sanitize-2b72dd1e1855,cluster_007,"CSRank(Sub(Mean($close,6),Mean($close,3)))",,,True,,unknown_parent,,operator_sanitize,s33_h0,,
phase3repair-failure_detail-duplicate_escape-7e210d77983c,cluster_006,"CSRank(Mean($close,34))",,,True,,unknown_parent,,duplicate_escape,s33_h0,,
phase3repair-failure_detail-operator_sanitize-8fb17dfd7ee6,cluster_011,"CSRank(Sub(Mean($close,8),Mean($close,5)))",,,True,,unknown_parent,,operator_sanitize,s33_h0,,
phase3repair-failure_detail-duplicate_escape-342328343b5c,cluster_006,"CSRank(Mean($close,3))",,,True,,unknown_parent,,duplicate_escape,s33_h0,,
phase3repair-failure_detail-duplicate_escape-29e1eb8a1803,cluster_006,"CSRank(Mean($high,3))",,,True,,unknown_parent,,duplicate_escape,s33_h0,,
phase3repair-failure_detail-operator_sanitize-b2b84bc3ef72,cluster_013,"CSRank(Sub(Mean($amount,6),Mean($amount,3)))",,,True,,unknown_parent,,operator_sanitize,s33_h0,,
phase3repair-failure_detail-operator_sanitize-92247745ff4a,cluster_006,"CSRank(Mean(Abs(Delta($close,1)),3))",,,True,,unknown_parent,,operator_sanitize,s33_h0,,
phase3repair-failure_detail-duplicate_escape-962c2202831a,cluster_036,"CSRank(Mul(ZScore(Mean($close,8)),ZScore(Delta($close,11))))",,,True,,unknown_parent,,duplicate_escape,s33_h0,,
phase3repair-failure_detail-duplicate_escape-467a29a8b041,cluster_037,"CSRank(Mul(ZScore(Mean($close,13)),ZScore(Delta($close,6))))",,,False,,unknown_parent,,duplicate_escape,s33_h0,,
phase3repair-failure_detail-operator_sanitize-28e642be47c1,not_clustered_non_metric,"CSRank(Div(Delta($ret,8),Add(Abs(Mean($ret,5)),0.000001)))",,,False,,unknown_parent,,unknown,s33_h1,,
phase3repair-failure_detail-duplicate_escape-7e210d77983c,cluster_006,"CSRank(Mean($close,34))",,,True,,unknown_parent,,unknown,s33_h1,,
phase3repair-failure_detail-duplicate_escape-e7ff54a0ccde,not_clustered_non_metric,"CSRank(Mul(ZScore(Mean($amount,34)),ZScore(Delta($amount,17))))",,,False,,unknown_parent,,unknown,s33_h1,,
phase3repair-failure_detail-operator_sanitize-b2b84bc3ef72,cluster_013,"CSRank(Sub(Mean($amount,6),Mean($amount,3)))",,,True,,unknown_parent,,unknown,s33_h1,,
phase3repair-failure_detail-duplicate_escape-e8fd32a0b1dd,cluster_044,"CSRank(Delta($close,34))",,,True,,unknown_parent,,unknown,s33_h1,,
phase3repair-failure_detail-operator_sanitize-730aef238cb4,not_clustered_non_metric,"CSRank(Div(Delta($ret,17),Add(Abs(Mean($ret,34)),0.000001)))",,,False,,unknown_parent,,unknown,s33_h1,,
phase3repair-failure_detail-duplicate_escape-a160ab8432ed,not_clustered_non_metric,"CSRank(Mul(ZScore(Mean($close,3)),ZScore(Delta($amount,6))))",,,False,,unknown_parent,,unknown,s33_h1,,
phase3repair-failure_detail-operator_sanitize-3fe3add38cb8,not_clustered_non_metric,"CSRank(Div(Delta($ret,11),Add(Abs(Mean($ret,8)),0.000001)))",,,False,,unknown_parent,,unknown,s33_h1,,
phase3repair-failure_detail-duplicate_escape-2c0e37975a80,not_clustered_non_metric,"CSRank(Delta($open,3))",,,False,,unknown_parent,,unknown,s33_h1,,
phase3repair-failure_detail-operator_sanitize-28e642be47c1,not_clustered_non_metric,"CSRank(Div(Delta($ret,8),Add(Abs(Mean($ret,5)),0.000001)))",,,False,,unknown_parent,,unknown,s33_h2,,
phase3repair-failure_detail-duplicate_escape-7e210d77983c,cluster_006,"CSRank(Mean($close,34))",,,True,,unknown_parent,,unknown,s33_h2,,
phase3repair-failure_detail-duplicate_escape-e7ff54a0ccde,not_clustered_non_metric,"CSRank(Mul(ZScore(Mean($amount,34)),ZScore(Delta($amount,17))))",,,False,,unknown_parent,,unknown,s33_h2,,
phase3repair-failure_detail-operator_sanitize-b2b84bc3ef72,cluster_013,"CSRank(Sub(Mean($amount,6),Mean($amount,3)))",,,True,,unknown_parent,,unknown,s33_h2,,
phase3repair-failure_detail-duplicate_escape-e8fd32a0b1dd,cluster_044,"CSRank(Delta($close,34))",,,True,,unknown_parent,,unknown,s33_h2,,
phase3repair-failure_detail-operator_sanitize-730aef238cb4,not_clustered_non_metric,"CSRank(Div(Delta($ret,17),Add(Abs(Mean($ret,34)),0.000001)))",,,False,,unknown_parent,,unknown,s33_h2,,
phase3repair-failure_detail-duplicate_escape-a160ab8432ed,not_clustered_non_metric,"CSRank(Mul(ZScore(Mean($close,3)),ZScore(Delta($amount,6))))",,,False,,unknown_parent,,unknown,s33_h2,,
phase3repair-failure_detail-operator_sanitize-3fe3add38cb8,not_clustered_non_metric,"CSRank(Div(Delta($ret,11),Add(Abs(Mean($ret,8)),0.000001)))",,,False,,unknown_parent,,unknown,s33_h2,,
phase3repair-failure_detail-duplicate_escape-2c0e37975a80,not_clustered_non_metric,"CSRank(Delta($open,3))",,,False,,unknown_parent,,unknown,s33_h2,,
phase3repair-failure_detail-operator_sanitize-7cbb5b8cd0da,cluster_007,"CSRank(Sub(Mean($close,6),Mean($close,3)))",,,True,,unknown_parent,,operator_sanitize,s34_h0,,
phase3repair-failure_detail-duplicate_escape-de6cddaefa02,cluster_006,"CSRank(Mean($close,21))",,,True,,unknown_parent,,duplicate_escape,s34_h0,,
phase3repair-failure_detail-duplicate_escape-90954457d2df,cluster_006,"CSRank(Mean($open,5))",,,True,,unknown_parent,,duplicate_escape,s34_h0,,
phase3repair-failure_detail-duplicate_escape-22b187024447,cluster_006,"CSRank(Mean($close,8))",,,True,,unknown_parent,,duplicate_escape,s34_h0,,
phase3repair-failure_detail-operator_sanitize-1311e5715669,cluster_006,"CSRank(Mean(Abs(Delta($close,1)),3))",,,True,,unknown_parent,,operator_sanitize,s34_h0,,
phase3repair-failure_detail-duplicate_escape-cd2e8d925dad,cluster_037,"CSRank(Mul(ZScore(Mean($open,3)),ZScore(Delta($vwap,6))))",,,False,,unknown_parent,,duplicate_escape,s34_h0,,
phase3repair-failure_detail-duplicate_escape-76d543a4f92a,cluster_037,"CSRank(Mul(ZScore(Mean($high,3)),ZScore(Delta($high,6))))",,,False,,unknown_parent,,duplicate_escape,s34_h0,,
phase3repair-failure_detail-duplicate_escape-066245d90aa4,cluster_039,"CSRank(Mul(ZScore(Mean($final_total_market_cap,34)),ZScore(Delta($final_total_market_cap,17))))",,,True,,unknown_parent,,duplicate_escape,s34_h0,,
phase3repair-failure_detail-operator_sanitize-e1816432212e,not_clustered_non_metric,"CSRank(Sub(Mean($final_float_market_cap,11),Mean($final_float_market_cap,8)))",,,False,,unknown_parent,,operator_sanitize,s34_h0,,
phase3repair-failure_detail-duplicate_escape-066245d90aa4,cluster_039,"CSRank(Mul(ZScore(Mean($final_total_market_cap,34)),ZScore(Delta($final_total_market_cap,17))))",,,True,,unknown_parent,,unknown,s34_h1,,
phase3repair-failure_detail-duplicate_escape-bf05a0234798,not_clustered_non_metric,"CSRank(Delta($ret,3))",,,False,,unknown_parent,,unknown,s34_h1,,
phase3repair-failure_detail-operator_sanitize-e1816432212e,not_clustered_non_metric,"CSRank(Sub(Mean($final_float_market_cap,11),Mean($final_float_market_cap,8)))",,,False,,unknown_parent,,unknown,s34_h1,,
phase3repair-failure_detail-duplicate_escape-d8a105c9a280,not_clustered_non_metric,"CSRank(Delta($final_total_market_cap,34))",,,False,,unknown_parent,,unknown,s34_h1,,
phase3repair-failure_detail-operator_sanitize-7cbb5b8cd0da,cluster_007,"CSRank(Sub(Mean($close,6),Mean($close,3)))",,,True,,unknown_parent,,unknown,s34_h1,,
phase3repair-failure_detail-duplicate_escape-cd2e8d925dad,cluster_037,"CSRank(Mul(ZScore(Mean($open,3)),ZScore(Delta($vwap,6))))",,,False,,unknown_parent,,unknown,s34_h1,,
phase3repair-failure_detail-duplicate_escape-73ca671b9d5d,not_clustered_non_metric,"CSRank(Mul(ZScore(Mean($final_float_market_cap,21)),ZScore(Delta($final_float_market_cap,10))))",,,False,,unknown_parent,,unknown,s34_h1,,
phase3repair-failure_detail-duplicate_escape-f8e82711afa7,not_clustered_non_metric,"CSRank(Mul(ZScore(Mean($close,3)),ZScore(Delta($volume,6))))",,,False,,unknown_parent,,unknown,s34_h1,,
phase3repair-failure_detail-duplicate_escape-38babaee2283,not_clustered_non_metric,"CSRank(Delta($ret,5))",,,False,,unknown_parent,,unknown,s34_h1,,
phase3repair-failure_detail-duplicate_escape-066245d90aa4,cluster_039,"CSRank(Mul(ZScore(Mean($final_total_market_cap,34)),ZScore(Delta($final_total_market_cap,17))))",,,True,,unknown_parent,,unknown,s34_h2,,
phase3repair-failure_detail-duplicate_escape-bf05a0234798,not_clustered_non_metric,"CSRank(Delta($ret,3))",,,False,,unknown_parent,,unknown,s34_h2,,
phase3repair-failure_detail-operator_sanitize-e1816432212e,not_clustered_non_metric,"CSRank(Sub(Mean($final_float_market_cap,11),Mean($final_float_market_cap,8)))",,,False,,unknown_parent,,unknown,s34_h2,,
phase3repair-failure_detail-duplicate_escape-d8a105c9a280,not_clustered_non_metric,"CSRank(Delta($final_total_market_cap,34))",,,False,,unknown_parent,,unknown,s34_h2,,
phase3repair-failure_detail-duplicate_escape-cd2e8d925dad,cluster_037,"CSRank(Mul(ZScore(Mean($open,3)),ZScore(Delta($vwap,6))))",,,False,,unknown_parent,,unknown,s34_h2,,
phase3repair-failure_detail-operator_sanitize-7cbb5b8cd0da,cluster_007,"CSRank(Sub(Mean($close,6),Mean($close,3)))",,,True,,unknown_parent,,unknown,s34_h2,,
phase3repair-failure_detail-duplicate_escape-73ca671b9d5d,not_clustered_non_metric,"CSRank(Mul(ZScore(Mean($final_float_market_cap,21)),ZScore(Delta($final_float_market_cap,10))))",,,False,,unknown_parent,,unknown,s34_h2,,
phase3repair-failure_detail-duplicate_escape-f8e82711afa7,not_clustered_non_metric,"CSRank(Mul(ZScore(Mean($close,3)),ZScore(Delta($volume,6))))",,,False,,unknown_parent,,unknown,s34_h2,,
phase3repair-failure_detail-duplicate_escape-38babaee2283,not_clustered_non_metric,"CSRank(Delta($ret,5))",,,False,,unknown_parent,,unknown,s34_h2,,
phase3repair-failure_detail-operator_sanitize-847125cd4743,cluster_001,"CSRank(Sub(Mean($amount,8),Mean($amount,5)))",,,True,,unknown_parent,,operator_sanitize,s35_h0,,
phase3repair-failure_detail-operator_sanitize-0f81342bb6bb,cluster_003,"CSRank(Sub(Mean($close,11),Mean($close,8)))",,,False,,unknown_parent,,operator_sanitize,s35_h0,,
phase3repair-failure_detail-operator_sanitize-4c73a892ab0b,cluster_007,"CSRank(Sub(Mean($close,6),Mean($close,3)))",,,True,,unknown_parent,,operator_sanitize,s35_h0,,
phase3repair-failure_detail-duplicate_escape-faa59e021428,cluster_006,"CSRank(Mean($close,5))",,,True,,unknown_parent,,duplicate_escape,s35_h0,,
phase3repair-failure_detail-duplicate_escape-93c38591ac13,cluster_006,"CSRank(Mean($close,3))",,,True,,unknown_parent,,duplicate_escape,s35_h0,,
phase3repair-failure_detail-operator_sanitize-c1651694b68c,cluster_006,"CSRank(Mean(Abs(Delta($close,1)),3))",,,True,,unknown_parent,,operator_sanitize,s35_h0,,
phase3repair-failure_detail-operator_sanitize-c58ca242f7a3,cluster_006,"CSRank(Mean(Abs(Delta($close,1)),8))",,,True,,unknown_parent,,operator_sanitize,s35_h0,,
phase3repair-failure_detail-duplicate_escape-bbe23c6fd8a0,cluster_037,"CSRank(Mul(ZScore(Mean($open,3)),ZScore(Delta($vwap,6))))",,,False,,unknown_parent,,duplicate_escape,s35_h0,,
phase3repair-failure_detail-duplicate_escape-962c2202831a,cluster_036,"CSRank(Mul(ZScore(Mean($close,8)),ZScore(Delta($close,11))))",,,True,,unknown_parent,,duplicate_escape,s35_h0,,
phase3repair-failure_detail-duplicate_escape-11ef17e00680,not_clustered_non_metric,"CSRank(Delta($final_total_market_cap,34))",,,False,,unknown_parent,,unknown,s35_h1,,
phase3repair-failure_detail-operator_sanitize-847125cd4743,cluster_001,"CSRank(Sub(Mean($amount,8),Mean($amount,5)))",,,True,,unknown_parent,,unknown,s35_h1,,
phase3repair-failure_detail-operator_sanitize-a3c7820c8db3,not_clustered_non_metric,"CSRank(Div(Delta($ret,11),Add(Abs(Mean($ret,8)),0.000001)))",,,False,,unknown_parent,,unknown,s35_h1,,
phase3repair-failure_detail-duplicate_escape-70a89b51b7fe,not_clustered_non_metric,"CSRank(Mul(ZScore(Mean($amount,8)),ZScore(Delta($amount,11))))",,,False,,unknown_parent,,unknown,s35_h1,,
phase3repair-failure_detail-duplicate_escape-ece55d45682e,not_clustered_non_metric,"CSRank(Delta($open,3))",,,False,,unknown_parent,,unknown,s35_h1,,
phase3repair-failure_detail-operator_sanitize-9659487c169f,not_clustered_non_metric,"CSRank(Div(Delta($ret,10),Add(Abs(Mean($ret,21)),0.000001)))",,,False,,unknown_parent,,unknown,s35_h1,,
phase3repair-failure_detail-duplicate_escape-d306ad9e3aff,not_clustered_non_metric,"CSRank(Delta($ret,8))",,,False,,unknown_parent,,unknown,s35_h1,,
phase3repair-failure_detail-operator_sanitize-0f81342bb6bb,cluster_003,"CSRank(Sub(Mean($close,11),Mean($close,8)))",,,False,,unknown_parent,,unknown,s35_h1,,
phase3repair-failure_detail-duplicate_escape-375687b04a31,not_clustered_non_metric,"CSRank(Mul(ZScore(Mean($final_float_market_cap,8)),ZScore(Delta($final_float_market_cap,11))))",,,False,,unknown_parent,,unknown,s35_h1,,
phase3repair-failure_detail-duplicate_escape-11ef17e00680,not_clustered_non_metric,"CSRank(Delta($final_total_market_cap,34))",,,False,,unknown_parent,,unknown,s35_h2,,
phase3repair-failure_detail-operator_sanitize-847125cd4743,cluster_001,"CSRank(Sub(Mean($amount,8),Mean($amount,5)))",,,True,,unknown_parent,,unknown,s35_h2,,
phase3repair-failure_detail-operator_sanitize-a3c7820c8db3,not_clustered_non_metric,"CSRank(Div(Delta($ret,11),Add(Abs(Mean($ret,8)),0.000001)))",,,False,,unknown_parent,,unknown,s35_h2,,
phase3repair-failure_detail-duplicate_escape-70a89b51b7fe,not_clustered_non_metric,"CSRank(Mul(ZScore(Mean($amount,8)),ZScore(Delta($amount,11))))",,,False,,unknown_parent,,unknown,s35_h2,,
phase3repair-failure_detail-duplicate_escape-d306ad9e3aff,not_clustered_non_metric,"CSRank(Delta($ret,8))",,,False,,unknown_parent,,unknown,s35_h2,,
phase3repair-failure_detail-operator_sanitize-0f81342bb6bb,cluster_003,"CSRank(Sub(Mean($close,11),Mean($close,8)))",,,False,,unknown_parent,,unknown,s35_h2,,
phase3repair-failure_detail-operator_sanitize-9659487c169f,not_clustered_non_metric,"CSRank(Div(Delta($ret,10),Add(Abs(Mean($ret,21)),0.000001)))",,,False,,unknown_parent,,unknown,s35_h2,,
phase3repair-failure_detail-duplicate_escape-375687b04a31,not_clustered_non_metric,"CSRank(Mul(ZScore(Mean($final_float_market_cap,8)),ZScore(Delta($final_float_market_cap,11))))",,,False,,unknown_parent,,unknown,s35_h2,,
phase3repair-failure_detail-duplicate_escape-ece55d45682e,not_clustered_non_metric,"CSRank(Delta($open,3))",,,False,,unknown_parent,,unknown,s35_h2,,
phase3repair-failure_detail-operator_sanitize-9c19eb980be4,cluster_001,"CSRank(Sub(Mean($amount,8),Mean($amount,5)))",,,True,,unknown_parent,,operator_sanitize,s36_h0,,
phase3repair-failure_detail-operator_sanitize-0f81342bb6bb,cluster_003,"CSRank(Sub(Mean($close,11),Mean($close,8)))",,,False,,unknown_parent,,operator_sanitize,s36_h0,,
phase3repair-failure_detail-operator_sanitize-60c2dfc8a49e,cluster_007,"CSRank(Sub(Mean($close,6),Mean($close,3)))",,,True,,unknown_parent,,operator_sanitize,s36_h0,,
phase3repair-failure_detail-duplicate_escape-3eeef96196ea,cluster_006,"CSRank(Mean($open,8))",,,True,,unknown_parent,,duplicate_escape,s36_h0,,
phase3repair-failure_detail-duplicate_escape-773c5144f13c,cluster_006,"CSRank(Mean($open,5))",,,True,,unknown_parent,,duplicate_escape,s36_h0,,
phase3repair-failure_detail-duplicate_escape-342328343b5c,cluster_006,"CSRank(Mean($close,3))",,,True,,unknown_parent,,duplicate_escape,s36_h0,,
phase3repair-failure_detail-operator_sanitize-68bad85aab72,cluster_006,"CSRank(Mean(Abs(Delta($close,1)),3))",,,True,,unknown_parent,,operator_sanitize,s36_h0,,
phase3repair-failure_detail-duplicate_escape-c4a74f3f6484,cluster_036,"CSRank(Mul(ZScore(Mean($open,8)),ZScore(Delta($vwap,11))))",,,True,,unknown_parent,,duplicate_escape,s36_h0,,
phase3repair-failure_detail-duplicate_escape-1d9a05e2e2bc,cluster_037,"CSRank(Mul(ZScore(Mean($open,3)),ZScore(Delta($vwap,6))))",,,False,,unknown_parent,,duplicate_escape,s36_h0,,
phase3repair-failure_detail-operator_sanitize-f0af4c67d68c,not_clustered_non_metric,"CSRank(Div(Delta($ret,8),Add(Abs(Mean($ret,5)),0.000001)))",,,False,,unknown_parent,,unknown,s36_h1,,
phase3repair-failure_detail-operator_sanitize-0f81342bb6bb,cluster_003,"CSRank(Sub(Mean($close,11),Mean($close,8)))",,,False,,unknown_parent,,unknown,s36_h1,,
phase3repair-failure_detail-duplicate_escape-651c9af148d8,not_clustered_non_metric,"CSRank(Mul(ZScore(Mean($amount,34)),ZScore(Delta($amount,17))))",,,False,,unknown_parent,,unknown,s36_h1,,
phase3repair-failure_detail-duplicate_escape-1e2334bec6a5,cluster_045,"CSRank(Mean($amount,34))",,,True,,unknown_parent,,unknown,s36_h1,,
phase3repair-failure_detail-duplicate_escape-a160ab8432ed,not_clustered_non_metric,"CSRank(Mul(ZScore(Mean($close,3)),ZScore(Delta($amount,6))))",,,False,,unknown_parent,,unknown,s36_h1,,
phase3repair-failure_detail-duplicate_escape-fff44bc9843e,not_clustered_non_metric,"CSRank(Delta($ret,3))",,,False,,unknown_parent,,unknown,s36_h1,,
phase3repair-failure_detail-operator_sanitize-9c19eb980be4,cluster_001,"CSRank(Sub(Mean($amount,8),Mean($amount,5)))",,,True,,unknown_parent,,unknown,s36_h1,,
phase3repair-failure_detail-duplicate_escape-af57b0cf4f42,not_clustered_non_metric,"CSRank(Mul(ZScore(Mean($final_float_market_cap,8)),ZScore(Delta($final_float_market_cap,11))))",,,False,,unknown_parent,,unknown,s36_h1,,
phase3repair-failure_detail-duplicate_escape-ece55d45682e,not_clustered_non_metric,"CSRank(Delta($open,3))",,,False,,unknown_parent,,unknown,s36_h1,,
phase3repair-failure_detail-operator_sanitize-f0af4c67d68c,not_clustered_non_metric,"CSRank(Div(Delta($ret,8),Add(Abs(Mean($ret,5)),0.000001)))",,,False,,unknown_parent,,unknown,s36_h2,,
phase3repair-failure_detail-operator_sanitize-0f81342bb6bb,cluster_003,"CSRank(Sub(Mean($close,11),Mean($close,8)))",,,False,,unknown_parent,,unknown,s36_h2,,
phase3repair-failure_detail-duplicate_escape-651c9af148d8,not_clustered_non_metric,"CSRank(Mul(ZScore(Mean($amount,34)),ZScore(Delta($amount,17))))",,,False,,unknown_parent,,unknown,s36_h2,,
phase3repair-failure_detail-duplicate_escape-1e2334bec6a5,cluster_045,"CSRank(Mean($amount,34))",,,True,,unknown_parent,,unknown,s36_h2,,
phase3repair-failure_detail-duplicate_escape-a160ab8432ed,not_clustered_non_metric,"CSRank(Mul(ZScore(Mean($close,3)),ZScore(Delta($amount,6))))",,,False,,unknown_parent,,unknown,s36_h2,,
phase3repair-failure_detail-duplicate_escape-fff44bc9843e,not_clustered_non_metric,"CSRank(Delta($ret,3))",,,False,,unknown_parent,,unknown,s36_h2,,
phase3repair-failure_detail-operator_sanitize-9c19eb980be4,cluster_001,"CSRank(Sub(Mean($amount,8),Mean($amount,5)))",,,True,,unknown_parent,,unknown,s36_h2,,
phase3repair-failure_detail-duplicate_escape-af57b0cf4f42,not_clustered_non_metric,"CSRank(Mul(ZScore(Mean($final_float_market_cap,8)),ZScore(Delta($final_float_market_cap,11))))",,,False,,unknown_parent,,unknown,s36_h2,,
phase3repair-failure_detail-duplicate_escape-ece55d45682e,not_clustered_non_metric,"CSRank(Delta($open,3))",,,False,,unknown_parent,,unknown,s36_h2,,
