signal_cluster_id,candidate_id,rank,abs_corr,registry_entry_id,legacy_cluster_id,registry_source,registry_source_lane,registry_expression
cluster_011,phase3aa_event_1200_cn_research_v2_fundamental_risk_inverse_0031,1,0.102343,registry_047,phase3c_cluster_011,phase3D_cumulative_previous_103,agnostic_freeform_ast,"CSRank(Mul(ZScore(Mean($amount,13)),Mul(CSRank(Std($open,3)),ZScore(Mean(Abs(Delta($vwap,1)),8)))))"
cluster_011,phase3aa_event_1200_cn_research_v2_fundamental_risk_inverse_0031,2,0.088995,registry_129,cluster_065,phase3E_new_vs_phase3D_31,agnostic_freeform_ast,"CSRank(Sub(CSRank(Mean(Abs(Delta($final_total_market_cap,1)),8)),ZScore($volume)))"
cluster_011,phase3aa_event_1200_cn_research_v2_fundamental_risk_inverse_0031,3,0.087613,registry_089,phase3d_cluster_015,phase3D_cumulative_previous_103,,"CSRank(CSResidual(ZScore(Std($high,8)),CSRank($amount)))"
cluster_024,phase3aa_event_1190_cn_research_v2_fundamental_quality_0021,1,0.031658,registry_020,cluster_025,phase3D_cumulative_previous_103,r0_cem_led,"Neg(CSRank(Mul(ZScore(Delta($amount,5)),ZScore(Delta($final_float_market_cap,2)))))"
cluster_024,phase3aa_event_1190_cn_research_v2_fundamental_quality_0021,2,0.031638,registry_100,phase3d_cluster_045,phase3D_cumulative_previous_103,,"CSRank(Mul(ZScore(Delta($open,8)),Mul(ZScore(Mean($final_total_market_cap,21)),CSRank($high))))"
cluster_024,phase3aa_event_1190_cn_research_v2_fundamental_quality_0021,3,0.02988,registry_122,cluster_053,phase3E_new_vs_phase3D_31,agnostic_freeform_ast,"CSRank(Mul(ZScore($turnover_rate),Mul(Sign(Std($final_float_market_cap,8)),ZScore(Mean($open,5)))))"
cluster_028,phase3aa_event_1199_cn_research_v2_fundamental_quality_0030,1,0.088342,registry_040,cluster_054,phase3D_cumulative_previous_103,r0_cem_led,"Neg(CSRank(Mul(ZScore(Std($volume,34)),ZScore(Std($final_float_market_cap,8)))))"
cluster_028,phase3aa_event_1199_cn_research_v2_fundamental_quality_0030,2,0.070985,registry_129,cluster_065,phase3E_new_vs_phase3D_31,agnostic_freeform_ast,"CSRank(Sub(CSRank(Mean(Abs(Delta($final_total_market_cap,1)),8)),ZScore($volume)))"
cluster_028,phase3aa_event_1199_cn_research_v2_fundamental_quality_0030,3,0.069238,registry_049,phase3c_cluster_014,phase3D_cumulative_previous_103,agnostic_freeform_ast,"CSRank(Sub(ZScore($vwap),ZScore($turnover_rate)))"
cluster_029,phase3aa_event_1202_cn_research_v2_fundamental_risk_inverse_0033,1,0.059199,registry_034,cluster_040,phase3D_cumulative_previous_103,r0_cem_led,"CSRank(Mul(ZScore(Mean(Abs($volume),8)),ZScore(Mean(Abs($close),8))))"
cluster_029,phase3aa_event_1202_cn_research_v2_fundamental_risk_inverse_0033,2,0.052952,registry_025,cluster_031,phase3D_cumulative_previous_103,ast_failure_aware_repair,"CSRank(Mul(ZScore(Mean($close,5)),ZScore(Delta($close,8))))"
