variant,clusters,lookback,rebalance,max_weight,shrink_to_equal,days,mean_daily,ann_simple,ann_compound,sharpe,sortino,hit_rate,max_drawdown,total_return
X0_official_6,cluster_001|cluster_005|cluster_006|cluster_009|cluster_002|cluster_004,60,20,0.3,0.5,144,0.00081568,0.205552,0.228099,0.82847,1.413005,0.493056,-0.14103375,0.104995
X0_official_6,cluster_001|cluster_005|cluster_006|cluster_009|cluster_002|cluster_004,90,20,0.3,0.5,114,0.00202174,0.50948,0.663569,2.162767,4.047563,0.508772,-0.1020064,0.243278
X0_official_6,cluster_001|cluster_005|cluster_006|cluster_009|cluster_002|cluster_004,120,20,0.3,0.5,84,0.00215043,0.54191,0.718287,2.333357,4.576603,0.511905,-0.09439039,0.187083
X1_research_9,cluster_001|cluster_005|cluster_008|cluster_006|cluster_009|cluster_003|cluster_002|cluster_007|cluster_004,60,20,0.3,0.5,144,0.00115205,0.290316,0.336626,1.069964,1.789559,0.534722,-0.15101964,0.155792
X1_research_9,cluster_001|cluster_005|cluster_008|cluster_006|cluster_009|cluster_003|cluster_002|cluster_007|cluster_004,90,20,0.3,0.5,114,0.00242234,0.610429,0.839863,2.378687,4.277195,0.570175,-0.10211958,0.298197
X1_research_9,cluster_001|cluster_005|cluster_008|cluster_006|cluster_009|cluster_003|cluster_002|cluster_007|cluster_004,120,20,0.3,0.5,84,0.00262308,0.661016,0.935083,2.568607,4.716106,0.547619,-0.10273134,0.232528
X2_official_6_plus_003,cluster_001|cluster_005|cluster_006|cluster_009|cluster_002|cluster_004|cluster_003,60,20,0.3,0.5,144,0.00125285,0.315717,0.370972,1.216514,2.079477,0.541667,-0.13685376,0.174784
X2_official_6_plus_003,cluster_001|cluster_005|cluster_006|cluster_009|cluster_002|cluster_004|cluster_003,90,20,0.3,0.5,114,0.00237234,0.597829,0.816881,2.416168,4.438952,0.578947,-0.09726036,0.29219
X2_official_6_plus_003,cluster_001|cluster_005|cluster_006|cluster_009|cluster_002|cluster_004|cluster_003,120,20,0.3,0.5,84,0.00258494,0.651406,0.916624,2.666702,5.079999,0.559524,-0.09288276,0.229941
X3_official_6_minus_002,cluster_001|cluster_005|cluster_006|cluster_009|cluster_004,60,20,0.3,0.5,144,0.0008059,0.203087,0.225079,0.841372,1.466872,0.5,-0.13101575,0.104488
X3_official_6_minus_002,cluster_001|cluster_005|cluster_006|cluster_009|cluster_004,90,20,0.3,0.5,114,0.00195517,0.492704,0.635949,2.138174,4.044144,0.508772,-0.09717727,0.234566
X3_official_6_minus_002,cluster_001|cluster_005|cluster_006|cluster_009|cluster_004,120,20,0.3,0.5,84,0.00209891,0.528924,0.696166,2.322897,4.683512,0.511905,-0.08959169,0.18238
X4_official_6_plus_003_minus_002,cluster_001|cluster_005|cluster_006|cluster_009|cluster_004|cluster_003,60,20,0.3,0.5,144,0.00127391,0.321025,0.378259,1.261533,2.156503,0.527778,-0.12814857,0.179229
X4_official_6_plus_003_minus_002,cluster_001|cluster_005|cluster_006|cluster_009|cluster_004|cluster_003,90,20,0.3,0.5,114,0.00233914,0.589463,0.801779,2.415299,4.351049,0.552632,-0.09333991,0.287803
X4_official_6_plus_003_minus_002,cluster_001|cluster_005|cluster_006|cluster_009|cluster_004|cluster_003,120,20,0.3,0.5,84,0.00257542,0.649007,0.912044,2.697449,5.177218,0.547619,-0.0883541,0.229327
