source_file,candidate_id,source_generator,source_lane,selection_rank,expression,fields
reports\cn_integrated_factor_pack_micro_g2_20260602\micro_g2_selected_candidates.csv,phase3repair-failure_detail-duplicate_escape-7e210d77983c,,unknown,,"CSRank(Mean($close,34))",close
reports\cn_integrated_factor_pack_micro_g2_20260602\micro_g2_selected_candidates.csv,stockpit-template-3640ff7d560d,,unknown,,CSRank($close),close
reports\cn_integrated_factor_pack_micro_g2_20260602\micro_g2_selected_candidates.csv,agnostic-freeform-f58db5f7c1ae,,unknown,,"CSRank(CSResidual(ZScore(Mean($high,2)),ZScore(Std($amount,3))))",amount|high
reports\cn_integrated_factor_pack_micro_g2_20260602\micro_g2_selected_candidates.csv,agnostic-freeform-2853176b2b50,,unknown,,"CSRank(Mul(CSRank(Std($final_float_market_cap,34)),Mul(ZScore(Std($high,21)),Sign(Mean($open,5)))))",final_float_market_cap|high|open
reports\cn_integrated_factor_pack_micro_g2_20260602\micro_g2_selected_candidates.csv,phase3aa_event_0205_cn_integrated_v1_rzrq_direct_rank_zrank_00205,,cn_integrated_feature_layer,,CSRank(ZScore($ctx_rzrq_rzjme3d)),ctx_rzrq_rzjme3d
reports\cn_integrated_factor_pack_micro_g2_20260602\micro_g2_selected_candidates.csv,agnostic-freeform-806d5235bba6,,unknown,,"CSRank(Sub(CSRank(Mom($vwap,34)),ZScore(Std($volume,3))))",volume|vwap
reports\cn_integrated_factor_pack_micro_g2_20260602\micro_g2_selected_candidates.csv,phase3aa_event_0206_cn_integrated_v1_rzrq_direct_rank_00206,,cn_integrated_feature_layer,,CSRank($ctx_rzrq_rzjme5d),ctx_rzrq_rzjme5d
reports\cn_integrated_factor_pack_micro_g2_20260602\micro_g2_selected_candidates.csv,phase3repair-failure_detail-operator_sanitize-b2b84bc3ef72,,unknown,,"CSRank(Sub(Mean($amount,6),Mean($amount,3)))",amount
reports\cn_integrated_factor_pack_micro_g2_20260602\micro_g2_selected_candidates.csv,phase3aa_event_0210_cn_integrated_v1_rzrq_direct_rank_00210,,cn_integrated_feature_layer,,CSRank($ctx_rzrq_rzmre10d),ctx_rzrq_rzmre10d
reports\cn_integrated_factor_pack_micro_g2_20260602\micro_g2_selected_candidates.csv,phase3aa_event_0204_cn_integrated_v1_rzrq_direct_rank_00204,,cn_integrated_feature_layer,,CSRank($ctx_rzrq_rzjme3d),ctx_rzrq_rzjme3d
reports\cn_integrated_factor_pack_micro_g2_20260602\micro_g2_selected_candidates.csv,phase3aa_event_0163_cn_integrated_v1_minute_direct_rank_zrank_00163,,cn_integrated_feature_layer,,CSRank(ZScore($m1_first5_range)),m1_first5_range
reports\cn_integrated_factor_pack_micro_g2_20260602\micro_g2_selected_candidates.csv,phase3aa_event_0149_cn_integrated_v1_minute_direct_rank_zrank_00149,,cn_integrated_feature_layer,,CSRank(ZScore($m1_first30_range)),m1_first30_range
reports\cn_integrated_factor_pack_micro_g2_20260602\micro_g2_selected_candidates.csv,phase3repair-failure_detail-operator_sanitize-8fb17dfd7ee6,,unknown,,"CSRank(Sub(Mean($close,8),Mean($close,5)))",close
reports\cn_integrated_factor_pack_micro_g2_20260602\micro_g2_selected_candidates.csv,fgv2-repair-nonlinearize-bfcb608426,,unknown,,"CSRank(Mul(Sign(ZScore(CSRank(Mean(Abs($close),8)))),Mul(ZScore(CSRank(Mean(Abs($close),8))),ZScore(CSRank(Mean(Abs($close),8))))))",close
reports\cn_integrated_factor_pack_micro_g2_20260602\micro_g2_selected_candidates.csv,agnostic-freeform-e6e81d902494,,unknown,,"CSRank(Mean($high,34))",high
reports\cn_integrated_factor_pack_micro_g2_20260602\micro_g2_selected_candidates.csv,phase3repair-failure_detail-operator_sanitize-2b72dd1e1855,,unknown,,"CSRank(Sub(Mean($close,6),Mean($close,3)))",close
reports\cn_integrated_factor_pack_micro_g2_20260602\micro_g2_selected_candidates.csv,stockpit-cem_adaptive_grammar-fc08bbc3ff5f,,unknown,,"CSRank(Mean(Abs($close),8))",close
reports\cn_integrated_factor_pack_micro_g2_20260602\micro_g2_selected_candidates.csv,fgv2-repair-add_confirmation_state-9339936017,,unknown,,"CSRank(Mul(CSRank(Mul(ZScore($final_float_market_cap),ZScore($close))),Mul(Mean(Mul(Sign(Delta($close,1)),Sign(Delta($amount,1))),5),ZScore(Mean(Abs(Delta($close,1)),20)))))",amount|close|final_float_market_cap
reports\cn_integrated_factor_pack_micro_g2_20260602\micro_g2_selected_candidates.csv,phase3aa_event_0040_cn_integrated_v1_fundamental_risk_inverse_00040,,cn_integrated_feature_layer,,CSRank(Neg($ctx_fund_bs_debt_to_assets)),ctx_fund_bs_debt_to_assets
reports\cn_integrated_factor_pack_micro_g2_20260602\micro_g2_selected_candidates.csv,phase3aa_event_0202_cn_integrated_v1_rzrq_direct_rank_00202,,cn_integrated_feature_layer,,CSRank($ctx_rzrq_rzjme10d),ctx_rzrq_rzjme10d
