factor_pack,candidate_id,source_generator,source_lane,factor_lane,expression,fields
cn_event_factor_candidate_pack_v1_20260531.json,cn_factor_direct_event_0001,cn_field_factor_pack_v1,event_derived_feature_layer,direct_event,"CSRank(Mean($limit_up_any_close_not_open_in_t10,2))",limit_up_any_close_not_open_in_t10
cn_event_factor_candidate_pack_v1_20260531.json,cn_factor_direct_event_0002,cn_field_factor_pack_v1,event_derived_feature_layer,direct_event,"CSRank(Mean($limit_up_any_close_not_open_in_t10,3))",limit_up_any_close_not_open_in_t10
cn_event_factor_candidate_pack_v1_20260531.json,cn_factor_direct_event_0003,cn_field_factor_pack_v1,event_derived_feature_layer,direct_event,"CSRank(Mean($limit_up_any_close_not_open_in_t10,5))",limit_up_any_close_not_open_in_t10
cn_event_factor_candidate_pack_v1_20260531.json,cn_factor_direct_event_0004,cn_field_factor_pack_v1,event_derived_feature_layer,direct_event,"CSRank(Mean($limit_up_any_close_not_open_in_t2,2))",limit_up_any_close_not_open_in_t2
cn_event_factor_candidate_pack_v1_20260531.json,cn_factor_direct_event_0005,cn_field_factor_pack_v1,event_derived_feature_layer,direct_event,"CSRank(Mean($limit_up_any_close_not_open_in_t2,3))",limit_up_any_close_not_open_in_t2
cn_event_factor_candidate_pack_v1_20260531.json,cn_factor_direct_event_0006,cn_field_factor_pack_v1,event_derived_feature_layer,direct_event,"CSRank(Mean($limit_up_any_close_not_open_in_t2,5))",limit_up_any_close_not_open_in_t2
cn_event_factor_candidate_pack_v1_20260531.json,cn_factor_direct_event_0007,cn_field_factor_pack_v1,event_derived_feature_layer,direct_event,"CSRank(Mean($limit_up_any_close_not_open_in_t3,2))",limit_up_any_close_not_open_in_t3
cn_event_factor_candidate_pack_v1_20260531.json,cn_factor_direct_event_0008,cn_field_factor_pack_v1,event_derived_feature_layer,direct_event,"CSRank(Mean($limit_up_any_close_not_open_in_t3,3))",limit_up_any_close_not_open_in_t3
cn_event_factor_candidate_pack_v1_20260531.json,cn_factor_direct_event_0009,cn_field_factor_pack_v1,event_derived_feature_layer,direct_event,"CSRank(Mean($limit_up_any_close_not_open_in_t3,5))",limit_up_any_close_not_open_in_t3
cn_event_factor_candidate_pack_v1_20260531.json,cn_factor_direct_event_0010,cn_field_factor_pack_v1,event_derived_feature_layer,direct_event,"CSRank(Mean($limit_up_any_close_not_open_in_t4,2))",limit_up_any_close_not_open_in_t4
