alias_field,in_panel,factor_packs,selector_selected,selector_sources
fund_debt_to_assets,False,cn_flow_liquidity_factor_candidate_pack_v1_20260601.json|cn_research_factor_candidate_pack_v2_20260531.json|cn_underutilized_field_factor_candidate_pack_v1_20260601.json,True,runtime\cn_flow_liquidity_factor_pack_v1_selector64_20260601\selector_safe_v2\aa\phase3e_selector_audit.csv|runtime\cn_research_factor_pack_v2_selector_gate_20260531\selector\aa\phase3e_selector_audit.csv|runtime\cn_underutilized_field_factor_pack_v1_batched_selector256_20260601\selectors\capacity_liquidity_cost\aa\phase3e_selector_audit.csv|runtime\cn_underutilized_field_factor_pack_v1_batched_selector256_20260601\selectors\event_seal_flow\aa\phase3e_selector_audit.csv|runtime\cn_underutilized_field_factor_pack_v1_batched_selector256_20260601\selectors\fund_theme_activity\aa\phase3e_selector_audit.csv
fund_ocf_to_assets,False,cn_flow_liquidity_factor_candidate_pack_v1_20260601.json|cn_research_factor_candidate_pack_v2_20260531.json|cn_underutilized_field_factor_candidate_pack_v1_20260601.json,True,runtime\cn_flow_liquidity_factor_pack_v1_selector64_20260601\selector_safe_v2\aa\phase3e_selector_audit.csv|runtime\cn_research_factor_pack_v2_selector_gate_20260531\selector\aa\phase3e_selector_audit.csv|runtime\cn_underutilized_field_factor_pack_v1_batched_selector256_20260601\selectors\capacity_liquidity_cost\aa\phase3e_selector_audit.csv|runtime\cn_underutilized_field_factor_pack_v1_batched_selector256_20260601\selectors\fund_theme_activity\aa\phase3e_selector_audit.csv|runtime\cn_underutilized_field_factor_pack_v1_batched_selector256_20260601\selectors\pure_flow_price\aa\phase3e_selector_audit.csv
fund_research_to_income,False,cn_research_factor_candidate_pack_v2_20260531.json|cn_underutilized_field_factor_candidate_pack_v1_20260601.json,True,runtime\cn_research_factor_pack_v2_selector_gate_20260531\selector\aa\phase3e_selector_audit.csv|runtime\cn_underutilized_field_factor_pack_v1_batched_selector256_20260601\selectors\capacity_liquidity_cost\aa\phase3e_selector_audit.csv|runtime\cn_underutilized_field_factor_pack_v1_batched_selector256_20260601\selectors\event_seal_flow\aa\phase3e_selector_audit.csv|runtime\cn_underutilized_field_factor_pack_v1_batched_selector256_20260601\selectors\fund_theme_activity\aa\phase3e_selector_audit.csv|runtime\cn_underutilized_field_factor_pack_v1_batched_selector256_20260601\selectors\pure_flow_price\aa\phase3e_selector_audit.csv
fund_top10_holder_pct,False,cn_research_factor_candidate_pack_v2_20260531.json|cn_underutilized_field_factor_candidate_pack_v1_20260601.json,True,runtime\cn_underutilized_field_factor_pack_v1_batched_selector256_20260601\selectors\capacity_liquidity_cost\aa\phase3e_selector_audit.csv|runtime\cn_underutilized_field_factor_pack_v1_batched_selector256_20260601\selectors\fund_theme_activity\aa\phase3e_selector_audit.csv
fund_top1_holder_pct,False,cn_research_factor_candidate_pack_v2_20260531.json|cn_underutilized_field_factor_candidate_pack_v1_20260601.json,True,runtime\cn_underutilized_field_factor_pack_v1_batched_selector256_20260601\selectors\capacity_liquidity_cost\aa\phase3e_selector_audit.csv|runtime\cn_underutilized_field_factor_pack_v1_batched_selector256_20260601\selectors\event_seal_flow\aa\phase3e_selector_audit.csv|runtime\cn_underutilized_field_factor_pack_v1_batched_selector256_20260601\selectors\fund_theme_activity\aa\phase3e_selector_audit.csv|runtime\cn_underutilized_field_factor_pack_v1_selector128_20260601\selector_safe_v1\aa\phase3e_selector_audit.csv
m1_first15_range,True,cn_integrated_feature_factor_candidate_pack_v1_20260602.json|cn_integrated_feature_factor_candidate_pack_v2_20260602.json|cn_integrated_feature_factor_candidate_pack_v2_coverage_aware_20260603.json,False,
m1_first15_vwap,True,cn_integrated_feature_factor_candidate_pack_v1_20260602.json|cn_integrated_feature_factor_candidate_pack_v2_20260602.json|cn_integrated_feature_factor_candidate_pack_v2_coverage_aware_20260603.json,False,
m1_first30_range,True,cn_integrated_feature_factor_candidate_pack_v1_20260602.json|cn_integrated_feature_factor_candidate_pack_v2_20260602.json|cn_integrated_feature_factor_candidate_pack_v2_coverage_aware_20260603.json,True,reports\cn_integrated_factor_pack_micro_g2_20260602\micro_g2_selected_candidates.csv|runtime\cn_integrated_factor_pack_v1_micro_g2_20260602\selector\aa\phase3e_selector_audit.csv
m1_first30_vwap,True,cn_integrated_feature_factor_candidate_pack_v1_20260602.json|cn_integrated_feature_factor_candidate_pack_v2_20260602.json|cn_integrated_feature_factor_candidate_pack_v2_coverage_aware_20260603.json,False,
m1_first5_range,True,cn_integrated_feature_factor_candidate_pack_v1_20260602.json,True,reports\cn_integrated_factor_pack_micro_g2_20260602\micro_g2_selected_candidates.csv|runtime\cn_integrated_factor_pack_v1_micro_g2_20260602\selector\aa\phase3e_selector_audit.csv
ret,False,,True,runtime\cn_integrated_factor_pack_v2_coverage_aware_20260603\selector_only\aa\phase3e_selector_audit.csv|runtime\cn_integrated_factor_pack_v2_coverage_aware_20260603\selector_only_expanded_pool_seed36\aa\phase3e_selector_audit.csv|runtime\cn_integrated_factor_pack_v2_coverage_aware_20260603\selector_only_seed35\aa\phase3e_selector_audit.csv|runtime\cn_integrated_factor_pack_v2_coverage_aware_fresh_pool_20260603\s36\raw_source\phase3e_selector_audit.csv|runtime\cn_integrated_factor_pack_v2_coverage_aware_fresh_pool_20260603\s36\selector_only\aa\phase3e_selector_audit.csv
seal_money,False,cn_event_factor_candidate_pack_v1_20260531.json|cn_flow_liquidity_factor_candidate_pack_v1_20260601.json|cn_research_factor_candidate_pack_v2_20260531.json|cn_underutilized_field_factor_candidate_pack_v1_20260601.json,True,runtime\cn_flow_liquidity_factor_pack_v1_selector64_20260601\selector_safe_v2\aa\phase3e_selector_audit.csv|runtime\cn_underutilized_field_factor_pack_v1_batched_selector256_20260601\selectors\event_seal_flow\aa\phase3e_selector_audit.csv|runtime\cn_underutilized_field_factor_pack_v1_selector128_20260601\selector_safe_v1\aa\phase3e_selector_audit.csv
volume,True,cn_flow_liquidity_factor_candidate_pack_v1_20260601.json|cn_underutilized_field_factor_candidate_pack_v1_20260601.json,True,reports\cn_integrated_factor_pack_micro_g2_20260602\micro_g2_selected_candidates.csv|runtime\cn_flow_liquidity_factor_pack_v1_selector64_20260601\selector_safe_v2\aa\phase3e_selector_audit.csv|runtime\cn_integrated_factor_pack_v1_micro_g2_20260602\selector\aa\phase3e_selector_audit.csv|runtime\cn_integrated_factor_pack_v2_coverage_aware_20260603\selector_only\aa\phase3e_selector_audit.csv|runtime\cn_integrated_factor_pack_v2_coverage_aware_20260603\selector_only_expanded_pool_seed36\aa\phase3e_selector_audit.csv
vwap,True,cn_integrated_feature_factor_candidate_pack_v2_20260602.json|cn_integrated_feature_factor_candidate_pack_v2_coverage_aware_20260603.json,True,reports\cn_integrated_factor_pack_micro_g2_20260602\micro_g2_selected_candidates.csv|runtime\cn_flow_liquidity_factor_pack_v1_selector64_20260601\selector_safe_v2\aa\phase3e_selector_audit.csv|runtime\cn_integrated_factor_pack_v1_micro_g2_20260602\selector\aa\phase3e_selector_audit.csv|runtime\cn_integrated_factor_pack_v2_coverage_aware_20260603\selector_only\aa\phase3e_selector_audit.csv|runtime\cn_integrated_factor_pack_v2_coverage_aware_20260603\selector_only_expanded_pool_seed36\aa\phase3e_selector_audit.csv
