candidate_id,expression,factor_lane,source_lane,source_generator,search_memory_key,expression_hash,parent_candidate_ids,parent_factor_lanes,field_list,note,fresh_search_intent,x0_r3_role
phase3ba_focused_minute_expansion_00741,"CSRank(Add(Add(ZScore(Neg(CSRank(ZScore(Mean(Abs(Delta($vwap,1)),21))))),ZScore(Neg(CSRank(Div(Std($amount,90),Add(Abs(Mean($float_share,90)),0.000001)))))),ZScore(CSRank(Div(Sub($m1_first30_high,$m1_first30_low),Add(Abs($open),0.000001))))))",ba_triple_add,phase3ba_focused_minute_expansion,phase3ba_focused_minute_expansion_pack_v1,phase3ba:e0fd7b818023fd65bf8ffc1b,e0fd7b818023fd65bf8ffc1b,phase3ay_x0_minute_transfer_00002|phase3ax_capacity_refine_00318|phase3azb_opening_window_corrected_00107,ay_old_family_minute_neg|ax_inverse_capacity_flow_volatility|azb_opening_range_ratio,amount|float_share|m1_first30_high|m1_first30_low|open|vwap,old-family plus capacity-flow plus opening-window,True,read_only_research_candidate
phase3ba_focused_minute_expansion_00742,"CSRank(Mul(ZScore(Neg(CSRank(ZScore(Mean(Abs(Delta($vwap,1)),21))))),Mul(ZScore(Neg(CSRank(Div(Std($amount,90),Add(Abs(Mean($float_share,90)),0.000001))))),ZScore(CSRank(Div(Sub($m1_first30_high,$m1_first30_low),Add(Abs($open),0.000001)))))))",ba_triple_interaction,phase3ba_focused_minute_expansion,phase3ba_focused_minute_expansion_pack_v1,phase3ba:375c4744ab23db35de8d63a2,375c4744ab23db35de8d63a2,phase3ay_x0_minute_transfer_00002|phase3ax_capacity_refine_00318|phase3azb_opening_window_corrected_00107,ay_old_family_minute_neg|ax_inverse_capacity_flow_volatility|azb_opening_range_ratio,amount|float_share|m1_first30_high|m1_first30_low|open|vwap,old-family x capacity-flow x opening-window,True,read_only_research_candidate
phase3ba_focused_minute_expansion_00743,"CSRank(Add(Add(ZScore(Neg(CSRank(ZScore(Mean(Abs(Delta($vwap,1)),21))))),ZScore(Neg(CSRank(Div(Std($amount,90),Add(Abs(Mean($float_share,90)),0.000001)))))),ZScore(Neg(CSRank(Div(Sub($m1_first30_high,$m1_first30_low),Add(Abs($open),0.000001)))))))",ba_triple_add,phase3ba_focused_minute_expansion,phase3ba_focused_minute_expansion_pack_v1,phase3ba:2ffa00559ac5afb3fcf0a1e3,2ffa00559ac5afb3fcf0a1e3,phase3ay_x0_minute_transfer_00002|phase3ax_capacity_refine_00318|phase3azb_opening_window_corrected_00108,ay_old_family_minute_neg|ax_inverse_capacity_flow_volatility|azb_opening_range_ratio_inverse,amount|float_share|m1_first30_high|m1_first30_low|open|vwap,old-family plus capacity-flow plus opening-window,True,read_only_research_candidate
phase3ba_focused_minute_expansion_00744,"CSRank(Mul(ZScore(Neg(CSRank(ZScore(Mean(Abs(Delta($vwap,1)),21))))),Mul(ZScore(Neg(CSRank(Div(Std($amount,90),Add(Abs(Mean($float_share,90)),0.000001))))),ZScore(Neg(CSRank(Div(Sub($m1_first30_high,$m1_first30_low),Add(Abs($open),0.000001))))))))",ba_triple_interaction,phase3ba_focused_minute_expansion,phase3ba_focused_minute_expansion_pack_v1,phase3ba:ee89a5fb08866a56c096b87a,ee89a5fb08866a56c096b87a,phase3ay_x0_minute_transfer_00002|phase3ax_capacity_refine_00318|phase3azb_opening_window_corrected_00108,ay_old_family_minute_neg|ax_inverse_capacity_flow_volatility|azb_opening_range_ratio_inverse,amount|float_share|m1_first30_high|m1_first30_low|open|vwap,old-family x capacity-flow x opening-window,True,read_only_research_candidate
phase3ba_focused_minute_expansion_00745,"CSRank(Add(Add(ZScore(Neg(CSRank(ZScore(Mean(Abs(Delta($vwap,1)),21))))),ZScore(Neg(CSRank(Div(Std($amount,90),Add(Abs(Mean($float_share,90)),0.000001)))))),ZScore(CSRank($m1_first30_range))))",ba_triple_add,phase3ba_focused_minute_expansion,phase3ba_focused_minute_expansion_pack_v1,phase3ba:2562741f31b148e3b0e04507,2562741f31b148e3b0e04507,phase3ay_x0_minute_transfer_00002|phase3ax_capacity_refine_00318|phase3azb_opening_window_corrected_00101,ay_old_family_minute_neg|ax_inverse_capacity_flow_volatility|azb_opening_direct,amount|float_share|m1_first30_range|vwap,old-family plus capacity-flow plus opening-window,True,read_only_research_candidate
phase3ba_focused_minute_expansion_00746,"CSRank(Mul(ZScore(Neg(CSRank(ZScore(Mean(Abs(Delta($vwap,1)),21))))),Mul(ZScore(Neg(CSRank(Div(Std($amount,90),Add(Abs(Mean($float_share,90)),0.000001))))),ZScore(CSRank($m1_first30_range)))))",ba_triple_interaction,phase3ba_focused_minute_expansion,phase3ba_focused_minute_expansion_pack_v1,phase3ba:fca72b394850ca80fb85074f,fca72b394850ca80fb85074f,phase3ay_x0_minute_transfer_00002|phase3ax_capacity_refine_00318|phase3azb_opening_window_corrected_00101,ay_old_family_minute_neg|ax_inverse_capacity_flow_volatility|azb_opening_direct,amount|float_share|m1_first30_range|vwap,old-family x capacity-flow x opening-window,True,read_only_research_candidate
phase3ba_focused_minute_expansion_00747,"CSRank(Add(Add(ZScore(Neg(CSRank(ZScore(Mean(Abs(Delta($vwap,1)),21))))),ZScore(Neg(CSRank(Div(Std($amount,90),Add(Abs(Mean($float_share,90)),0.000001)))))),ZScore(Neg(CSRank($m1_first30_range)))))",ba_triple_add,phase3ba_focused_minute_expansion,phase3ba_focused_minute_expansion_pack_v1,phase3ba:84d16cc6ee8c52fde8e29f37,84d16cc6ee8c52fde8e29f37,phase3ay_x0_minute_transfer_00002|phase3ax_capacity_refine_00318|phase3azb_opening_window_corrected_00102,ay_old_family_minute_neg|ax_inverse_capacity_flow_volatility|azb_opening_inverse,amount|float_share|m1_first30_range|vwap,old-family plus capacity-flow plus opening-window,True,read_only_research_candidate
phase3ba_focused_minute_expansion_00748,"CSRank(Mul(ZScore(Neg(CSRank(ZScore(Mean(Abs(Delta($vwap,1)),21))))),Mul(ZScore(Neg(CSRank(Div(Std($amount,90),Add(Abs(Mean($float_share,90)),0.000001))))),ZScore(Neg(CSRank($m1_first30_range))))))",ba_triple_interaction,phase3ba_focused_minute_expansion,phase3ba_focused_minute_expansion_pack_v1,phase3ba:424bb664a7f32c5a32661b61,424bb664a7f32c5a32661b61,phase3ay_x0_minute_transfer_00002|phase3ax_capacity_refine_00318|phase3azb_opening_window_corrected_00102,ay_old_family_minute_neg|ax_inverse_capacity_flow_volatility|azb_opening_inverse,amount|float_share|m1_first30_range|vwap,old-family x capacity-flow x opening-window,True,read_only_research_candidate
phase3ba_focused_minute_expansion_00749,"CSRank(Add(Add(ZScore(Neg(CSRank(ZScore(Mean(Abs(Delta($vwap,1)),21))))),ZScore(Neg(CSRank(Div(Std($amount,90),Add(Abs(Mean($float_share,90)),0.000001)))))),ZScore(CSRank(CSResidual(ZScore($m1_first30_range),ZScore($volume))))))",ba_triple_add,phase3ba_focused_minute_expansion,phase3ba_focused_minute_expansion_pack_v1,phase3ba:0a3d773d6a4e030a1972fcf0,0a3d773d6a4e030a1972fcf0,phase3ay_x0_minute_transfer_00002|phase3ax_capacity_refine_00318|phase3azb_opening_window_corrected_00144,ay_old_family_minute_neg|ax_inverse_capacity_flow_volatility|azb_opening_flow_residual,amount|float_share|m1_first30_range|volume|vwap,old-family plus capacity-flow plus opening-window,True,read_only_research_candidate
phase3ba_focused_minute_expansion_00750,"CSRank(Mul(ZScore(Neg(CSRank(ZScore(Mean(Abs(Delta($vwap,1)),21))))),Mul(ZScore(Neg(CSRank(Div(Std($amount,90),Add(Abs(Mean($float_share,90)),0.000001))))),ZScore(CSRank(CSResidual(ZScore($m1_first30_range),ZScore($volume)))))))",ba_triple_interaction,phase3ba_focused_minute_expansion,phase3ba_focused_minute_expansion_pack_v1,phase3ba:cfb06a5b722a8a997361c907,cfb06a5b722a8a997361c907,phase3ay_x0_minute_transfer_00002|phase3ax_capacity_refine_00318|phase3azb_opening_window_corrected_00144,ay_old_family_minute_neg|ax_inverse_capacity_flow_volatility|azb_opening_flow_residual,amount|float_share|m1_first30_range|volume|vwap,old-family x capacity-flow x opening-window,True,read_only_research_candidate
phase3ba_focused_minute_expansion_00751,"CSRank(Add(Add(ZScore(Neg(CSRank(ZScore(Mean(Abs(Delta($vwap,1)),21))))),ZScore(Neg(CSRank(Div(Std($amount,90),Add(Abs(Mean($float_share,90)),0.000001)))))),ZScore(CSRank(CSResidual(ZScore($m1_first30_range),ZScore($m1_first30_vol))))))",ba_triple_add,phase3ba_focused_minute_expansion,phase3ba_focused_minute_expansion_pack_v1,phase3ba:5968f5f28b647ca2f74c1baf,5968f5f28b647ca2f74c1baf,phase3ay_x0_minute_transfer_00002|phase3ax_capacity_refine_00318|phase3azb_opening_window_corrected_00135,ay_old_family_minute_neg|ax_inverse_capacity_flow_volatility|azb_opening_flow_residual,amount|float_share|m1_first30_range|m1_first30_vol|vwap,old-family plus capacity-flow plus opening-window,True,read_only_research_candidate
