group_type,group_id,row_count,new_vs_134,median_strict_turnover,p90_strict_turnover,median_replay_turnover,median_cost_adjusted_sortino,turnover_gt_0p25_count,turnover_gt_0p75_count
cluster,cluster_001,2,known,0.358245,0.358245,0.369412,0.852602,2,0
cluster,cluster_002,1,known,0.685109,0.685109,0.688203,3.753991,1,0
cluster,cluster_004,1,new,0.342091,0.342091,0.346881,4.320252,1,0
cluster,cluster_005,1,known,0.140328,0.140328,0.152079,8.809615,0,0
cluster,cluster_006,6,known,0.037872,0.072929,0.052267,4.193677,0,0
cluster,cluster_007,1,known,0.338438,0.338438,0.352309,0.24738,1,0
cluster,cluster_010,1,known,0.135047,0.135047,0.147531,3.353882,0,0
cluster,cluster_012,1,known,0.11932,0.11932,0.130728,2.804587,0,0
cluster,cluster_013,1,known,0.432956,0.432956,0.440585,1.404222,1,0
cluster,cluster_014,1,known,0.126863,0.126863,0.148589,3.815874,0,0
cluster,cluster_015,1,new,0.356734,0.356734,0.36877,4.582608,1,0
cluster,cluster_016,1,known,0.055577,0.055577,0.070757,4.2149,0,0
cluster,cluster_018,1,new,0.232384,0.232384,0.257585,3.647021,0,0
cluster,cluster_019,1,new,0.625144,0.625144,0.636582,0.296186,1,0
cluster,cluster_020,1,new,0.391989,0.391989,0.401062,-0.044681,1,0
cluster,cluster_021,1,new,0.127749,0.127749,0.135676,2.554441,0,0
cluster,cluster_022,1,known,0.068622,0.068622,0.08385,3.488905,0,0
cluster,cluster_023,1,known,0.03167,0.03167,0.042595,2.713595,0,0
cluster,cluster_024,5,known,0.081835,0.133096,0.098279,3.284579,0,0
cluster,cluster_025,2,new,0.176155,0.240355,0.191599,2.376996,0,0
cluster,cluster_026,1,new,0.10336,0.10336,0.115093,2.660013,0,0
cluster,cluster_028,1,new,0.154218,0.154218,0.171286,1.562755,0,0
cluster,cluster_029,1,known,0.065116,0.065116,0.077714,1.43894,0,0
cluster,cluster_031,1,known,0.656271,0.656271,0.659448,0.166483,1,0
cluster,cluster_034,1,new,0.376419,0.376419,0.388325,1.803278,1,0
cluster,cluster_038,1,new,0.412346,0.412346,0.425803,0.605013,1,0
cluster,cluster_039,1,new,0.162536,0.162536,0.1715,0.604855,0,0
cluster,cluster_040,1,known,0.33097,0.33097,0.341375,2.257565,1,0
cluster,cluster_041,3,known,0.071967,0.17239,0.085924,0.633782,0,0
cluster,cluster_044,1,known,0.163381,0.163381,0.179438,0.757037,0,0
cluster,cluster_045,1,new,0.035276,0.035276,0.057486,1.2677,0,0
cluster,cluster_046,1,new,0.61568,0.61568,0.576383,0.867769,1,0
cluster,cluster_049,1,new,0.255658,0.255658,0.266491,-0.016159,1,0
cluster,cluster_051,2,known,0.188017,0.202953,0.196932,0.40301,0,0
source_lane,agnostic_freeform_ast,20,mixed,0.163649,0.391989,0.176951,2.406003,7,0
source_lane,ast_failure_aware_repair,8,mixed,0.25091,0.432956,0.265873,0.852602,4,0
source_lane,formula_gen_v2_repair_expansion,11,mixed,0.091433,0.356734,0.105626,3.284579,2,0
source_lane,r0_cem_led,9,mixed,0.072929,0.656271,0.085934,3.970537,2,0
